Hugo_Symbol	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
IRS4	12	0	0	0	0	12	12	12
PCDHGA1	12	0	0	0	0	12	12	12
TAF1L	11	1	0	0	0	12	12	12
PCDHB1	11	0	0	0	0	11	11	11
KCNA1	10	1	0	0	0	11	10	10
CDH1	0	9	0	1	0	10	10	10
MKRN3	10	0	0	0	0	10	10	10
C2orf71	9	0	0	0	0	9	9	9
HIST1H2BC	8	1	0	0	0	9	9	9
TDRD6	8	1	0	0	0	9	9	9
TOPAZ1	9	0	0	0	0	9	9	9
ZP4	7	2	0	0	0	9	9	9
POM121L2	9	1	0	0	0	10	8	8
C3orf30	8	1	0	0	0	9	8	8
LILRA1	7	1	0	1	0	9	8	8
MUC16	7	1	0	0	0	8	8	8
PCDHA1	8	0	0	0	0	8	8	8
LCMT2	9	0	0	0	0	9	7	7
MAGEB4	8	0	0	0	0	8	7	7
PCDH10	7	1	0	0	0	8	7	7
GRK1	6	1	0	0	0	7	7	7
OR2AG1	7	0	0	0	0	7	7	7
PCDH19	7	0	0	0	0	7	7	7
PCDHB14	5	2	0	0	0	7	7	7
PCK1	6	1	0	0	0	7	7	7
RAD51AP2	5	2	0	0	0	7	7	7
SMG8	6	1	0	0	0	7	7	7
VCPIP1	7	0	0	0	0	7	7	7
ZXDB	5	2	0	0	0	7	7	7
OR5H1	8	1	0	0	0	9	6	6
IRS1	6	1	0	0	0	7	6	6
MAP10	5	2	0	0	0	7	6	6
ZBTB3	7	0	0	0	0	7	6	6
CELSR2	6	0	0	0	0	6	6	6
HAND2	6	0	0	0	0	6	6	6
KCND1	6	0	0	0	0	6	6	6
KCND2	6	0	0	0	0	6	6	6
LRRTM1	5	1	0	0	0	6	6	6
NPAP1	6	0	0	0	0	6	6	6
OR10Z1	6	0	0	0	0	6	6	6
PCDH18	6	0	0	0	0	6	6	6
PNMAL1	5	1	0	0	0	6	6	6
PPP1R15B	6	0	0	0	0	6	6	6
RBP3	6	0	0	0	0	6	6	6
RGAG4	5	1	0	0	0	6	6	6
SAMD15	6	0	0	0	0	6	6	6
SIGLEC8	6	0	0	0	0	6	6	6
SIGLEC9	6	0	0	0	0	6	6	6
TSC22D1	6	0	0	0	0	6	6	6
PABPC4L	5	1	0	0	0	6	5	5
TCHH	5	1	0	0	0	6	5	5
ACCSL	5	0	0	0	0	5	5	5
