Hugo_Symbol	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
IRS4	12	0	0	0	0	12	12	12
PCDHGA1	12	0	0	0	0	12	12	12
TAF1L	11	1	0	0	0	12	12	12
CDH1	0	9	0	1	0	10	10	10
MKRN3	10	0	0	0	0	10	10	10
HIST1H2BC	8	1	0	0	0	9	9	9
TDRD6	8	1	0	0	0	9	9	9
LILRA1	7	1	0	1	0	9	8	8
MUC16	7	1	0	0	0	8	8	8
PCDHA1	8	0	0	0	0	8	8	8
LCMT2	9	0	0	0	0	9	7	7
PCDH10	7	1	0	0	0	8	7	7
PCDH19	7	0	0	0	0	7	7	7
PCK1	6	1	0	0	0	7	7	7
SMG8	6	1	0	0	0	7	7	7
VCPIP1	7	0	0	0	0	7	7	7
ZXDB	5	2	0	0	0	7	7	7
IRS1	6	1	0	0	0	7	6	6
MAP10	5	2	0	0	0	7	6	6
ZBTB3	7	0	0	0	0	7	6	6
CELSR2	6	0	0	0	0	6	6	6
HAND2	6	0	0	0	0	6	6	6
KCND1	6	0	0	0	0	6	6	6
KCND2	6	0	0	0	0	6	6	6
PCDH18	6	0	0	0	0	6	6	6
PNMAL1	5	1	0	0	0	6	6	6
PPP1R15B	6	0	0	0	0	6	6	6
RGAG4	5	1	0	0	0	6	6	6
SAMD15	6	0	0	0	0	6	6	6
SIGLEC8	6	0	0	0	0	6	6	6
SIGLEC9	6	0	0	0	0	6	6	6
TSC22D1	6	0	0	0	0	6	6	6
HIST2H3D	5	1	0	0	0	6	5	5
PABPC4L	5	1	0	0	0	6	5	5
BMP5	4	1	0	0	0	5	5	5
CCRL2	5	0	0	0	0	5	5	5
CD19	5	0	0	0	0	5	5	5
CD93	4	1	0	0	0	5	5	5
CHI3L1	5	0	0	0	0	5	5	5
EIF4A2	3	0	0	1	1	5	5	5
FREM2	5	0	0	0	0	5	5	5
HNRNPL	4	1	0	0	0	5	5	5
KRT6B	5	0	0	0	0	5	5	5
LILRA4	5	0	0	0	0	5	5	5
LILRA5	5	0	0	0	0	5	5	5
LILRB5	4	0	0	1	0	5	5	5
MCM7	5	0	0	0	0	5	5	5
PCDHB2	5	0	0	0	0	5	5	5
SLITRK1	5	0	0	0	0	5	5	5
SMCR8	5	0	0	0	0	5	5	5
ZNF281	5	0	0	0	0	5	5	5
ZNF692	4	1	0	0	0	5	5	5
