Chr	Start	End	Name	Score	Strand
chr1	62419	68419	OR4F5	0	+
chr1	448678	454678	OR4F29	0	-
chr1	683654	689654	OR4F16	0	-
chr1	920923	926923	SAMD11	0	+
chr1	957584	963584	KLHL17	0	+
chr1	963482	969482	PLEKHN1	0	+
chr1	997172	1003172	HES4	0	-
chr1	998138	1004138	ISG15	0	+
chr1	1017120	1023120	AGRN	0	+
chr1	1071306	1077306	RNF223	0	-
chr1	1113361	1119361	C1orf159	0	-
chr1	1170880	1176880	TTLL10	0	+
chr1	1203592	1209592	TNFRSF18	0	-
chr1	1211153	1217153	TNFRSF4	0	-
chr1	1229067	1235067	SDF4	0	-
chr1	1229237	1235237	B3GALT6	0	+
chr1	1243722	1249722	C1QTNF12	0	-
chr1	1270864	1276864	UBE2J2	0	-
chr1	1277436	1283436	SCNN1D	0	+
chr1	1306609	1312609	ACAP3	0	-
chr1	1321687	1327687	INTS11	0	-
chr1	1321756	1327756	CPTP	0	+
chr1	1346418	1352418	DVL1	0	-
chr1	1358777	1364777	MXRA8	0	-
chr1	1372207	1378207	AURKAIP1	0	-
chr1	1396335	1402335	CCNL2	0	-
chr1	1404293	1410293	MRPL20	0	-
chr1	1418769	1424769	ANKRD65	0	-
chr1	1422871	1428871	TMEM88B	0	+
chr1	1431861	1437861	VWA1	0	+
chr1	1446689	1452689	ATAD3C	0	+
chr1	1468765	1474765	ATAD3B	0	+
chr1	1509162	1515162	ATAD3A	0	+
chr1	1537624	1543624	TMEM240	0	-
chr1	1571863	1577863	SSU72	0	-
chr1	1597135	1603135	FNDC10	0	-
chr1	1612454	1618454	MIB2	0	+
chr1	1656012	1662012	CDK11B	0	-
chr1	1689795	1695795	SLC35E2B	0	-
chr1	1721357	1727357	CDK11A	0	-
chr1	1777457	1783457	NADK	0	-
chr1	1888117	1894117	GNB1	0	-
chr1	1912108	1918108	CALML6	0	+
chr1	1916279	1922279	TMEM52	0	-
chr1	2000837	2006837	CFAP74	0	-
chr1	2016329	2022329	GABRD	0	+
chr1	2047411	2053411	PRKCZ	0	+
chr1	2225319	2231319	SKI	0	+
chr1	2388707	2394707	MORN1	0	-
chr1	2388775	2394775	RER1	0	+
chr1	2422980	2428980	PLCH2	0	+
chr1	2523597	2529597	PANK4	0	-
chr1	2527263	2533263	HES5	0	-
chr1	2552639	2558639	TNFRSF14	0	+
chr1	2630016	2636016	MMEL1	0	-
chr1	2798717	2804717	TTC34	0	-
chr1	3018467	3024467	ACTRT2	0	+
chr1	3066168	3072168	PRDM16	0	+
chr1	3451665	3457665	ARHGEF16	0	+
chr1	3608508	3614508	MEGF6	0	-
chr1	3622015	3628015	TPRG1L	0	+
chr1	3649516	3655516	TP73	0	+
chr1	3743460	3749460	CCDC27	0	+
chr1	3769749	3775749	SMIM1	0	+
chr1	3793498	3799498	LRRC47	0	-
chr1	3854396	3860396	CEP104	0	-
chr1	3897293	3903293	C1orf174	0	-
chr1	4651609	4657609	AJAP1	0	+
chr1	5989473	5995473	NPHP4	0	-
chr1	6177321	6183321	CHD5	0	-
chr1	6206389	6212389	RPL22	0	-
chr1	6232972	6238972	ICMT	0	-
chr1	6241179	6247179	HES3	0	+
chr1	6258098	6264098	GPR153	0	-
chr1	6390767	6396767	ACOT7	0	-
chr1	6421670	6427670	HES2	0	-
chr1	6421776	6427776	ESPN	0	+
chr1	6517074	6523074	PLEKHG5	0	-
chr1	6551513	6557513	NOL9	0	-
chr1	6552307	6558307	TAS1R1	0	+
chr1	6576994	6582994	ZBTB48	0	+
chr1	6611607	6617607	KLHL21	0	-
chr1	6698924	6704924	DNAJC11	0	-
chr1	6782454	6788454	CAMTA1	0	+
chr1	7768296	7774296	VAMP3	0	+
chr1	7781291	7787291	PER3	0	+
chr1	7940165	7946165	TNFRSF9	0	-
chr1	7951291	7957291	PARK7	0	+
chr1	8023309	8029309	ERRFI1	0	-
chr1	8315114	8321114	SLC45A1	0	+
chr1	8845921	8851921	RERE	0	-
chr1	8876190	8882190	ENO1	0	-
chr1	8942867	8948867	CA6	0	+
chr1	9023423	9029423	SLC2A7	0	-
chr1	9085478	9091478	SLC2A5	0	-
chr1	9126102	9132102	GPR157	0	-
chr1	9231774	9237774	H6PD	0	+
chr1	9289894	9295894	SPSB1	0	+
chr1	9536465	9542465	SLC25A33	0	+
chr1	9585911	9591911	TMEM201	0	+
chr1	9820984	9826984	CLSTN1	0	-
chr1	9907336	9913336	CTNNBIP1	0	-
chr1	9940407	9946407	LZIC	0	-
chr1	9940428	9946428	NMNAT1	0	+
chr1	9994206	10000206	RBP7	0	+
chr1	10029832	10035832	UBE4B	0	+
chr1	10207570	10213570	KIF1B	0	+
chr1	10395592	10401592	PGD	0	+
chr1	10427102	10433102	CENPS-CORT	0	+
chr1	10469288	10475288	PEX14	0	+
chr1	10793650	10799650	CASZ1	0	-
chr1	10979037	10985037	C1orf127	0	-
chr1	11044239	11050239	MASP2	0	-
chr1	11057020	11063020	SRM	0	-
chr1	11096869	11102869	EXOSC10	0	-
chr1	11259551	11265551	MTOR	0	-
chr1	11270198	11276198	UBIAD1	0	+
chr1	11476155	11482155	DISP3	0	+
chr1	11652785	11658785	FBXO2	0	-
chr1	11661200	11667200	FBXO6	0	+
chr1	11688650	11694650	MAD2L2	0	-
chr1	11688710	11694710	DRAXIN	0	+
chr1	11733084	11739084	AGTRAP	0	+
chr1	11758787	11764787	C1orf167	0	+
chr1	11803096	11809096	CLCN6	0	+
chr1	11855945	11861945	NPPB	0	-
chr1	11923428	11929428	KIAA2013	0	-
chr1	11931205	11937205	PLOD1	0	+
chr1	11977181	11983181	MFN2	0	+
