Chr	Start	End	Gene_Name	Strand
1	67008	73008	OR4F5	+
1	941204	947204	NOC2L	-
1	941581	947581	SAMD11	+
1	962715	968715	KLHL17	+
1	972204	978204	PERM1	-
1	972865	978865	PLEKHN1	+
1	995962	1001962	HES4	-
1	1011541	1017541	ISG15	+
1	1053118	1059118	AGRN	+
1	1067966	1073966	RNF223	-
1	1078818	1084818	C1orf159	-
1	1194935	1200935	TTLL10	+
1	1200508	1206508	TNFRSF18	-
1	1208326	1214326	TNFRSF4	-
1	1213908	1219908	SDF4	-
1	1232041	1238041	B3GALT6	+
1	1250909	1256909	UBE2J2	-
1	1289029	1295029	SCNN1D	+
1	1289376	1295376	ACAP3	-
1	1308677	1314677	PUSL1	+
1	1325897	1331897	CPTP	+
1	1332276	1338276	DVL1	-
1	1332306	1338306	TAS1R3	+
1	1349689	1355689	MXRA8	-
1	1370730	1376730	AURKAIP1	-
1	1382711	1388711	CCNL2	-
1	1398908	1404908	MRPL20	-
1	1415420	1421420	ANKRD65	-
1	1424787	1430787	TMEM88B	+
1	1439882	1445882	VWA1	+
1	1467158	1473158	ATAD3C	+
1	1494848	1500848	ATAD3B	+
1	1531687	1537687	ATAD3A	+
1	1532174	1538174	TMEM240	-
1	1538673	1544673	SSU72	-
1	1595012	1601012	FNDC10	-
1	1627610	1633610	MIB2	+
1	1631405	1637405	MMP23B	+
1	1632263	1638263	MMP23B	+
1	1656529	1662529	SLC35E2B	-
1	1659740	1665740	SLC35E2B	-
1	1660401	1666401	SLC35E2B	-
1	1699730	1705730	CDK11A	-
1	1721838	1727838	SLC35E2	-
1	1748232	1754232	NADK	-
1	1782285	1788285	GNB1	-
1	1914296	1920296	CALML6	+
1	1914590	1920590	TMEM52	-
1	1918951	1924951	CFAP74	-
1	2027751	2033751	GABRD	+
1	2181461	2187461	FAAP20	-
1	2182395	2188395	PRKCZ	+
1	2307119	2313119	SKI	+
1	2318253	2324253	MORN1	-
1	2400964	2406964	PEX10	-
1	2402444	2408444	RER1	+
1	2502530	2508530	PLCH2	+
1	2505533	2511533	PANK4	-
1	2525745	2531745	HES5	-
1	2562382	2568382	TNFRSF14	+
1	2587639	2593639	MMEL1	-
1	2588469	2594469	FAM213B	+
1	3435621	3441621	PRDM16	+
1	3478113	3484113	ARHGEF16	+
1	3486920	3492920	MEGF6	-
1	3627127	3633127	TPRG1L	+
1	3627767	3633767	WRAP73	-
1	3733201	3739201	TP73	+
1	3768645	3774645	CCDC27	+
1	3772982	3778982	SMIM1	+
1	3775558	3781558	LRRC47	-
1	3809081	3815081	CEP104	-
1	3882429	3888429	DFFB	+
1	3886125	3892125	C1orf174	-
1	4789534	4795534	AJAP1	+
1	5859811	5865811	NPHP4	-
1	6098193	6104193	KCNAB2	+
1	6098793	6104793	CHD5	-
1	6178269	6184269	RPL22	-
1	6218193	6224193	ICMT	-
1	6218299	6224299	RNF207	+
1	6242578	6248578	HES3	+
1	6244346	6250346	GPR153	-
1	6261269	6267269	ACOT7	-
1	6409418	6415418	HES2	-
1	6458151	6464151	TNFRSF25	-
1	6458370	6464370	ESPN	+
1	6463092	6469092	PLEKHG5	-
1	6518347	6524347	NOL9	-
1	6576757	6582757	TAS1R1	+
1	6586280	6592280	ZBTB48	+
1	6587724	6593724	KLHL21	-
1	6621033	6627033	PHF13	+
1	6631168	6637168	DNAJC11	-
1	6632586	6638586	THAP3	+
1	7363717	7369717	CAMTA1	+
1	7379536	7385536	CAMTA1	+
1	7766706	7772706	CAMTA1	+
1	7778432	7784432	VAMP3	+
1	7840083	7846083	UTS2	-
1	7842177	7848177	PER3	+
1	7912894	7918894	TNFRSF9	-
1	7982505	7988505	PARK7	+
1	8001404	8007404	ERRFI1	-
1	8341167	8347167	SLC45A1	+
1	8349397	8355397	RERE	-
1	8501450	8507450	RERE	-
1	8858002	8864002	ENO1	-
1	8972092	8978092	CA6	+
1	9000300	9006300	SLC2A7	-
1	9032107	9038107	SLC2A5	-
1	9097305	9103305	GPR157	-
1	9268337	9274337	H6PD	+
1	9366532	9372532	SPSB1	+
1	9539159	9545159	SLC25A33	+
1	9582179	9588179	SLC25A33	+
1	9611873	9617873	TMEM201	+
1	9726026	9732026	CLSTN1	-
1	9726114	9732114	PIK3CD	+
1	9845276	9851276	CTNNBIP1	-
1	9919113	9925113	LZIC	-
1	9982501	9988501	NMNAT1	+
1	10013020	10019020	RBP7	+
1	10178239	10184239	UBE4B	+
1	10378603	10384603	KIF1B	+
1	10417144	10423144	PGD	+
1	10448902	10454902	CORT	+
1	10453522	10459522	DFFA	-
1	10627758	10633758	PEX14	+
1	10633604	10639604	CASZ1	-
1	10943471	10949471	C1orf127	-
1	11023420	11029420	TARDBP	+
1	11023523	11029523	MASP2	-
1	11051584	11057584	SRM	-
1	11063618	11069618	EXOSC10	-
1	11103535	11109535	MTOR	-
1	11259507	11265507	ANGPTL7	+
1	11293049	11299049	UBIAD1	+
1	11534584	11540584	DISP3	+
1	11645367	11651367	FBXO2	-
1	11660327	11666327	FBXO44	+
1	11671354	11677354	FBXO6	+
1	11671480	11677480	MAD2L2	-
1	11722857	11728857	DRAXIN	+
1	11751802	11757802	AGTRAP	+
1	11782723	11788723	MTHFR	-
1	11786585	11792585	C1orf167	+
1	11840144	11846144	CLCN6	+
1	11842709	11848709	NPPA	-
1	11854464	11860464	NPPB	-
1	11916591	11922591	KIAA2013	-
1	11972538	11978538	PLOD1	+
1	12010514	12016514	MFN2	+
1	12029045	12035045	MIIP	+
1	12141207	12147207	TNFRSF8	+
1	12206228	12212228	TNFRSF1B	+
1	12354936	12360936	VPS13D	+
1	12360979	12366979	VPS13D	+
1	12374840	12380840	VPS13D	+
1	12378929	12384929	VPS13D	+
1	12389560	12395560	VPS13D	+
1	12393029	12399029	VPS13D	+
1	12397961	12403961	VPS13D	+
1	12424242	12430242	VPS13D	+
1	12453636	12459636	VPS13D	+
1	12485669	12491669	VPS13D	+
1	12507525	12513525	VPS13D	+
1	12509047	12515047	VPS13D	+
1	12564910	12570910	DHRS3	-
1	12566215	12572215	DHRS3	-
1	12566298	12572298	DHRS3	-
1	12579839	12585839	DHRS3	-
1	12580421	12586421	DHRS3	-
1	12580497	12586497	DHRS3	-
1	12580594	12586594	DHRS3	-
1	12581969	12587969	DHRS3	-
1	12583828	12589828	DHRS3	-
1	12584728	12590728	DHRS3	-
1	12585245	12591245	DHRS3	-
1	12586391	12592391	DHRS3	-
1	12595392	12601392	DHRS3	-
1	12599177	12605177	DHRS3	-
1	12602078	12608078	DHRS3	-
1	12603138	12609138	DHRS3	-
1	12603311	12609311	DHRS3	-
1	12611703	12617703	DHRS3	-
1	12613834	12619834	DHRS3	-
1	12614520	12620520	DHRS3	-
1	12655108	12661108	AADACL4	+
1	12664086	12670086	AADACL4	+
1	12844408	12850408	HNRNPCL1	-
1	12858909	12864909	PRAMEF2	+
1	12876224	12882224	PRAMEF4	-
1	12883027	12889027	PRAMEF4	-
1	12889896	12895896	PRAMEF10	-
1	12917482	12923482	PRAMEF7	+
1	12935472	12941472	PRAMEF6	-
1	12942984	12948984	PRAMEF6	-
1	13112496	13118496	HNRNPCL2	-
1	13220026	13226026	PRAMEF18	-
1	13389629	13395629	PRAMEF17	+
1	13414908	13420908	PRAMEF20	+
1	13418328	13424328	PRAMEF20	+
1	13614957	13620957	PDPN	+
1	13822079	13828079	PRDM2	+
1	14366964	14372964	KAZN	+
1	15115043	15121043	KAZN	+
1	15217480	15223480	TMEM51	+
1	15397283	15403283	FHAD1	+
1	15427343	15433343	EFHD2	+
1	15440382	15446382	CTRC	+
1	15446242	15452242	CTRC	+
1	15469091	15475091	CELA2A	+
