Chr	Start	End	Strand	Gene_ID	Gene_Name	Transcript_ID	Transcript_Length
chr1	62419	68419	+	ENSG00000186092	OR4F5	ENST00000641515	6166
chr1	448678	454678	-	ENSG00000284733	OR4F29	ENST00000426406	938
chr1	683654	689654	-	ENSG00000284662	OR4F16	ENST00000332831	938
chr1	920923	926923	+	ENSG00000187634	SAMD11	ENST00000616016	20651
chr1	956256	962256	-	ENSG00000188976	NOC2L	ENST00000327044	15053
chr1	957584	963584	+	ENSG00000187961	KLHL17	ENST00000338591	5135
chr1	963482	969482	+	ENSG00000187583	PLEKHN1	ENST00000379410	9383
chr1	979093	985093	-	ENSG00000187642	PERM1	ENST00000341290	6889
chr1	997172	1003172	-	ENSG00000188290	HES4	ENST00000428771	1210
chr1	998138	1004138	+	ENSG00000187608	ISG15	ENST00000624697	13402
chr1	1017120	1023120	+	ENSG00000188157	AGRN	ENST00000379370	35996
chr1	1071306	1077306	-	ENSG00000237330	RNF223	ENST00000453464	3339
chr1	1113095	1119095	-	ENSG00000131591	C1orf159	ENST00000379325	34272
chr1	1170880	1176880	+	ENSG00000162571	TTLL10	ENST00000379290	24056
chr1	1203592	1209592	-	ENSG00000186891	TNFRSF18	ENST00000379268	3084
chr1	1211153	1217153	-	ENSG00000186827	TNFRSF4	ENST00000379236	2813
chr1	1229067	1235067	-	ENSG00000078808	SDF4	ENST00000660930	15158
chr1	1229237	1235237	+	ENSG00000176022	B3GALT6	ENST00000379198	2804
chr1	1243722	1249722	-	ENSG00000184163	C1QTNF12	ENST00000330388	4269
chr1	1270853	1276853	-	ENSG00000160087	UBE2J2	ENST00000450390	19944
chr1	1277436	1283436	+	ENSG00000162572	SCNN1D	ENST00000379116	11589
chr1	1304930	1310930	-	ENSG00000131584	ACAP3	ENST00000354700	15539
chr1	1305597	1311597	+	ENSG00000169972	PUSL1	ENST00000379031	3080
chr1	1321687	1327687	-	ENSG00000127054	INTS11	ENST00000540437	13102
chr1	1321802	1327802	+	ENSG00000224051	CPTP	ENST00000343938	4094
chr1	1328280	1334280	+	ENSG00000169962	TAS1R3	ENST00000339381	4034
chr1	1346418	1352418	-	ENSG00000107404	DVL1	ENST00000378888	14140
chr1	1358777	1364777	-	ENSG00000162576	MXRA8	ENST00000477278	9085
chr1	1372207	1378207	-	ENSG00000175756	AURKAIP1	ENST00000338338	1471
chr1	1396335	1402335	-	ENSG00000221978	CCNL2	ENST00000400809	13624
chr1	1404293	1410293	-	ENSG00000242485	MRPL20	ENST00000344843	5384
