Chr	Start	End	Gene_Name	Strand
1	66091	72091	OR4F5	+
1	920928	926928	SAMD11	+
1	956309	962309	NOC2L	-
1	957587	963587	KLHL17	+
1	963497	969497	PLEKHN1	+
1	979093	985093	PERM1	-
1	997172	1003172	HES4	-
1	998138	1004138	ISG15	+
1	1017123	1023123	AGRN	+
1	1071307	1077307	RNF223	-
1	1113361	1119361	C1orf159	-
1	1170884	1176884	TTLL10	+
1	1203691	1209691	TNFRSF18	-
1	1211138	1217138	TNFRSF4	-
1	1229031	1235031	SDF4	-
1	1229265	1235265	B3GALT6	+
1	1270885	1276885	UBE2J2	-
1	1277436	1283436	SCNN1D	+
1	1305567	1311567	PUSL1	+
1	1306609	1312609	ACAP3	-
1	1321756	1327756	CPTP	+
1	1328314	1334314	TAS1R3	+
1	1346350	1352350	DVL1	-
1	1358777	1364777	MXRA8	-
1	1372495	1378495	AURKAIP1	-
1	1396328	1402328	CCNL2	-
1	1404313	1410313	MRPL20	-
1	1418769	1424769	ANKRD65	-
1	1423128	1429128	TMEM88B	+
1	1431861	1437861	VWA1	+
1	1446689	1452689	ATAD3C	+
1	1468769	1474769	ATAD3B	+
1	1509151	1515151	ATAD3A	+
1	1537453	1543453	TMEM240	-
1	1571869	1577869	SSU72	-
1	1597096	1603096	FNDC10	-
1	1612415	1618415	MIB2	+
1	1629095	1635095	MMP23B	+
1	1631408	1637408	MMP23B	+
1	1659739	1665739	SLC35E2B	-
1	1660380	1666380	SLC35E2B	-
1	1689728	1695728	SLC35E2B	-
1	1721324	1727324	CDK11A	-
1	1742992	1748992	SLC35E2	-
1	1777457	1783457	NADK	-
1	1888117	1894117	GNB1	-
1	1911827	1917827	CALML6	+
1	1916273	1922273	TMEM52	-
1	2000837	2006837	CFAP74	-
1	2016324	2022324	GABRD	+
1	2047470	2053470	PRKCZ	+
1	2209720	2215720	FAAP20	-
1	2225695	2231695	SKI	+
1	2388707	2394707	MORN1	-
1	2388775	2394775	RER1	+
1	2410797	2416797	PEX10	-
1	2422980	2428980	PLCH2	+
1	2523628	2529628	PANK4	-
1	2527245	2533245	HES5	-
1	2552639	2558639	TNFRSF14	+
1	2583491	2589491	FAM213B	+
1	2629990	2635990	MMEL1	-
1	3066168	3072168	PRDM16	+
1	3451426	3457426	ARHGEF16	+
1	3608495	3614495	MEGF6	-
1	3622002	3628002	TPRG1L	+
1	3649520	3655520	TP73	+
1	3649761	3655761	WRAP73	-
1	3743460	3749460	CCDC27	+
1	3769788	3775788	SMIM1	+
1	3793504	3799504	LRRC47	-
1	3854214	3860214	CEP104	-
1	3854267	3860267	DFFB	+
1	3897293	3903293	C1orf174	-
1	4651732	4657732	AJAP1	+
1	5988466	5994466	KCNAB2	+
1	5989473	5995473	NPHP4	-
1	6177123	6183123	CHD5	-
1	6202475	6208475	RNF207	+
1	6206389	6212389	RPL22	-
1	6232972	6238972	ICMT	-
1	6241192	6247192	HES3	+
1	6257975	6263975	GPR153	-
1	6391391	6397391	ACOT7	-
1	6421670	6427670	HES2	-
1	6421788	6427788	ESPN	+
1	6463195	6469195	TNFRSF25	-
1	6517061	6523061	PLEKHG5	-
1	6551535	6557535	NOL9	-
1	6552181	6558181	TAS1R1	+
1	6577001	6583001	ZBTB48	+
1	6610685	6616685	PHF13	+
1	6611607	6617607	KLHL21	-
1	6621866	6627866	THAP3	+
1	6698924	6704924	DNAJC11	-
1	6782324	6788324	CAMTA1	+
1	7363717	7369717	CAMTA1	+
1	7379537	7385537	CAMTA1	+
1	7768269	7774269	VAMP3	+
1	7781320	7787320	PER3	+
1	7850512	7856512	UTS2	-
1	7940165	7946165	TNFRSF9	-
1	7951291	7957291	PARK7	+
1	8023308	8029308	ERRFI1	-
1	8314826	8320826	SLC45A1	+
1	8501449	8507449	RERE	-
1	8814643	8820643	RERE	-
1	8876249	8882249	ENO1	-
1	8942867	8948867	CA6	+
1	9023345	9029345	SLC2A7	-
1	9085478	9091478	SLC2A5	-
1	9126170	9132170	GPR157	-
1	9231775	9237775	H6PD	+
1	9289880	9295880	SPSB1	+
1	9536482	9542482	SLC25A33	+
1	9539160	9545160	SLC25A33	+
1	9585922	9591922	TMEM201	+
1	9648732	9654732	PIK3CD	+
1	9821526	9827526	CLSTN1	-
1	9907336	9913336	CTNNBIP1	-
1	9940407	9946407	LZIC	-
1	9940428	9946428	NMNAT1	+
1	9994206	10000206	RBP7	+
1	10029832	10035832	UBE4B	+
1	10207805	10213805	KIF1B	+
1	10395592	10401592	PGD	+
1	10446719	10452719	CORT	+
1	10469288	10475288	PEX14	+
1	10469526	10475526	DFFA	-
1	10793650	10799650	CASZ1	-
1	10979037	10985037	C1orf127	-
1	11009344	11015344	TARDBP	+
1	11044233	11050233	MASP2	-
1	11057024	11063024	SRM	-
1	11096881	11102881	EXOSC10	-
1	11186341	11192341	ANGPTL7	+
1	11192981	11198981	MTOR	-
1	11270206	11276206	UBIAD1	+
1	11476166	11482166	DISP3	+
1	11651375	11657375	FBXO44	+
1	11652785	11658785	FBXO2	-
1	11661124	11667124	FBXO6	+
1	11688650	11694650	MAD2L2	-
1	11688729	11694729	DRAXIN	+
1	11733084	11739084	AGTRAP	+
1	11758787	11764787	C1orf167	+
1	11803096	11809096	CLCN6	+
1	11803920	11809920	MTHFR	-
1	11845345	11851345	NPPA	-
1	11855931	11861931	NPPB	-
1	11923428	11929428	KIAA2013	-
1	11931205	11937205	PLOD1	+
1	11977181	11983181	MFN2	+
1	12016466	12022466	MIIP	+
1	12060377	12066377	TNFRSF8	+
1	12163943	12169943	TNFRSF1B	+
1	12227067	12233067	VPS13D	+
1	12354937	12360937	VPS13D	+
1	12360980	12366980	VPS13D	+
1	12374841	12380841	VPS13D	+
1	12378929	12384929	VPS13D	+
1	12389564	12395564	VPS13D	+
1	12393029	12399029	VPS13D	+
1	12397965	12403965	VPS13D	+
1	12424242	12430242	VPS13D	+
1	12453637	12459637	VPS13D	+
1	12485670	12491670	VPS13D	+
1	12507527	12513527	VPS13D	+
1	12566215	12572215	DHRS3	-
1	12566294	12572294	DHRS3	-
1	12579839	12585839	DHRS3	-
1	12580417	12586417	DHRS3	-
1	12580493	12586493	DHRS3	-
1	12580590	12586590	DHRS3	-
1	12581965	12587965	DHRS3	-
1	12583828	12589828	DHRS3	-
1	12584723	12590723	DHRS3	-
1	12585242	12591242	DHRS3	-
1	12586391	12592391	DHRS3	-
1	12595391	12601391	DHRS3	-
1	12599170	12605170	DHRS3	-
1	12602078	12608078	DHRS3	-
1	12603136	12609136	DHRS3	-
1	12603311	12609311	DHRS3	-
1	12611702	12617702	DHRS3	-
1	12613834	12619834	DHRS3	-
1	12614520	12620520	DHRS3	-
1	12614731	12620731	DHRS3	-
1	12641547	12647547	AADACL4	+
1	12655116	12661116	AADACL4	+
1	12845725	12851725	HNRNPCL1	-
1	12854086	12860086	PRAMEF2	+
1	12883027	12889027	PRAMEF4	-
1	12883201	12889201	PRAMEF4	-
1	12895270	12901270	PRAMEF10	-
1	12913610	12919610	PRAMEF7	+
1	12942980	12948980	PRAMEF6	-
1	12944580	12950580	PRAMEF6	-
1	13113854	13119854	HNRNPCL2	-
1	13221541	13227541	PRAMEF18	-
1	13386632	13392632	PRAMEF17	+
1	13407450	13413450	PRAMEF20	+
1	13414910	13420910	PRAMEF20	+
1	13580465	13586465	PDPN	+
1	13697198	13703198	PRDM2	+
1	13889792	13895792	KAZN	+
1	14366964	14372964	KAZN	+
1	15149532	15155532	TMEM51	+
1	15244272	15250272	FHAD1	+
1	15406895	15412895	EFHD2	+
1	15435439	15441439	CTRC	+
1	15440383	15446383	CTRC	+
1	15453728	15459728	CELA2A	+
1	15462909	15468909	CELA2B	+
1	15523534	15529534	CASP9	-
1	15523813	15529813	DNAJC16	+
1	15589379	15595379	AGMAT	-
1	15614500	15620500	DDI2	+
1	15656869	15662869	RSC1A1	+
1	15681332	15687332	PLEKHM2	+
1	15733405	15739405	SLC25A34	+
1	15739422	15745422	TMEM82	+
1	15753607	15759607	FBLIM1	+
1	15806348	15812348	UQCRHL	-
1	15844864	15850864	SPEN	+
1	15973132	15979132	ZBTB17	-
1	16015875	16021875	CLCNKA	+
1	16016594	16022594	HSPB7	-
1	16040736	16046736	CLCNKB	+
1	16070632	16076632	FAM131C	-
1	16153087	16159087	EPHA2	-
1	16209609	16215609	ARHGEF19	-
1	16234162	16240162	RSG1	-
1	16349454	16355454	FBXO42	-
1	16349575	16355575	SZRD1	+
1	16434424	16440424	SPATA21	-
1	16437672	16443672	NECAP2	+
1	16610562	16616562	NBPF1	-
1	16977835	16983835	MFAP2	-
1	17008928	17014928	ATP13A2	-
1	17051170	17057170	SDHB	-
1	17116435	17122435	PADI2	-
1	17202126	17208126	PADI1	+
1	17246098	17252098	PADI3	+
1	17436724	17442724	RCC2	-
1	17536835	17542835	ARHGEF10L	+
1	17752313	17758313	ACTL8	+
1	18856682	18862682	TAS1R2	-
1	18899781	18905781	ALDH4A1	-
1	18953686	18959686	IFFO2	-
1	19207276	19213276	UBR4	-
1	19248539	19254539	MRTO4	+
1	19248552	19254552	EMC1	-
1	19286250	19292250	AKR7A3	-
1	19309146	19315146	AKR7A2	-
1	19309326	19315326	PQLC2	+
1	19482539	19488539	CAPZB	-
1	19593977	19599977	MINOS1	+
1	19593979	19599979	MINOS1-NBL1	+
1	19637554	19643554	NBL1	+
1	19648293	19654293	MINOS1-NBL1	+
1	19648293	19654293	NBL1	+
1	19662287	19668287	HTR6	+
1	19796945	19802945	TMCO4	-
1	19879513	19885513	OTUD3	+
1	20116566	20122566	PLA2G2D	-
1	20483220	20489220	CAMK2N1	-
1	20505161	20511161	MUL1	-
1	20549439	20555439	FAM43B	+
1	20585948	20591948	CDA	+
1	20630455	20636455	PINK1	+
1	20658544	20664544	DDOST	-
1	20715017	20721017	KIF17	-
1	20729837	20735837	SH2D5	-
1	20784323	20790323	HP1BP3	-
1	21173888	21179888	EIF4G3	-
1	21342504	21348504	ECE1	-
1	21437128	21443128	NBPF3	+
1	21506372	21512372	ALPL	+
1	21666363	21672363	RAP1GAP	-
1	21780606	21786606	USP48	-
1	21809265	21815265	LDLRAD2	+
1	21934297	21940297	HSPG2	-
1	21974021	21980021	CELA3B	+
1	21998656	22004656	CELA3A	+
1	22049627	22055627	CDC42	+
1	22140969	22146969	WNT4	-
1	22448851	22454851	ZBTB40	+
1	22560564	22566564	EPHA8	+
1	22707839	22713839	EPHB2	+
1	22962338	22968338	LACTBL1	-
1	23016448	23022448	KDM1A	+
1	23174808	23180808	LUZP1	-
1	23191729	23197729	HTR1D	-
1	23341336	23347336	HNRNPR	-
1	23366442	23372442	ZNF436	-
1	23421740	23427740	TCEA3	-
1	23481568	23487568	ASAP3	-
1	23528220	23534220	E2F2	-
1	23556794	23562794	ID3	-
1	23688779	23694779	RPL11	+
1	23775405	23781405	PITHD1	+
1	23787970	23793970	LYPLA2	+
1	23797804	23803804	GALE	-
1	23835620	23841620	HMGCL	-
1	23865294	23871294	FUCA1	-
1	23910362	23916362	CNR2	-
1	23956109	23962109	PNRC2	+
1	23977927	23983927	SRSF10	-
1	24109175	24115175	MYOM3	-
1	24140121	24146121	IL22RA1	-
1	24184959	24190959	IFNLR1	-
1	24316322	24322322	GRHL3	+
1	24412794	24418794	NIPAL3	+
1	24413934	24419934	STPG1	-
1	24499351	24505351	RCAN3	+
1	24553111	24559111	NCMAP	+
1	24628716	24634716	SRRM1	+
1	24742357	24748357	CLIC4	+
1	24962121	24968121	RUNX3	-
1	25229502	25235502	SYF2	-
1	25269393	25275393	RHD	+
1	25327445	25333445	RSRP1	-
1	25334917	25340917	TMEM50A	+
1	25427192	25433192	RHCE	-
1	25540580	25546580	LDLRAP1	+
1	25614468	25620468	MAN1C1	+
1	25815640	25821640	MTFR1L	+
1	25856458	25862458	AUNIP	-
1	25868253	25874253	PAQR7	-
1	25903991	25909991	STMN1	-
1	25995157	26001157	PAFAH2	-
1	26016884	26022884	EXTL1	+
1	26065436	26071436	TRIM63	-
1	26108165	26114165	PDIK1L	+
1	26156020	26162020	FAM110D	+
1	26166871	26172871	ZNF593	+
1	26174403	26180403	CNKSR1	+
1	26187561	26193561	CATSPER4	+
1	26231153	26237153	CEP85	+
1	26276176	26282176	SH3BGRL3	+
1	26314957	26320957	CD52	+
1	26315363	26321363	UBXN11	-
1	26371522	26377522	ZNF683	-
1	26407778	26413778	LIN28A	+
1	26429282	26435282	DHDDS	+
1	26469450	26475450	HMGN2	+
1	26526761	26532761	RPS6KA1	+
1	26690236	26696236	ARID1A	+
1	26784472	26790472	PIGV	+
1	26823710	26829710	ZDHHC18	+
1	26860138	26866138	SFN	+
1	26887297	26893297	GPN2	-
1	26897238	26903238	NUDC	+
1	26897466	26903466	GPATCH3	-
1	26943862	26949862	NR0B2	-
1	26957406	26963406	KDF1	-
1	26990707	26996707	TRNP1	+
1	27009836	27015836	FAM46B	-
1	27163981	27169981	SLC9A1	-
1	27231516	27237516	WDTC1	+
1	27319145	27325145	TMEM222	+
1	27339020	27345020	SYTL1	+
1	27363892	27369892	MAP3K6	-
1	27371824	27377824	FCN3	-
1	27380380	27386380	CD164L2	-
1	27389644	27395644	GPR3	+
1	27402599	27408599	WASF2	-
1	27414908	27420908	WASF2	-
1	27417514	27423514	WASF2	-
1	27419618	27425618	WASF2	-
1	27420775	27426775	WASF2	-
1	27421530	27427530	WASF2	-
1	27422838	27428838	WASF2	-
1	27423513	27429513	WASF2	-
1	27426164	27432164	WASF2	-
1	27429647	27435647	WASF2	-
1	27432302	27438302	WASF2	-
1	27438753	27444753	WASF2	-
1	27439990	27445990	WASF2	-
1	27440307	27446307	WASF2	-
1	27443781	27449781	WASF2	-
1	27447192	27453192	WASF2	-
1	27487158	27493158	WASF2	-
1	27601431	27607431	AHDC1	-
1	27632277	27638277	FGR	-
1	27669218	27675218	IFI6	-
1	27722979	27728979	FAM76A	+
1	27770183	27776183	STX12	+
1	27827778	27833778	PPP1R8	+
1	27869543	27875543	THEMIS2	+
1	27911746	27917746	RPA2	-
1	27931993	27937993	SMPDL3B	+
1	27956462	27962462	XKR8	+
1	28085696	28091696	EYA3	-
1	28190936	28196936	PTAFR	-
1	28230025	28236025	DNAJC8	-
1	28256527	28262527	SESN2	+
1	28326002	28332002	MED18	+
1	28366582	28372582	PHACTR4	+
1	28469850	28475850	PHACTR4	+
1	28502943	28508943	RCC1	+
1	28550085	28556085	TRNAU1AP	+
1	28589200	28595200	RAB42	+
1	28592443	28598443	TAF12	-
1	28665732	28671732	GMEB1	+
1	28733621	28739621	YTHDF2	+
1	28809142	28815142	OPRD1	+
1	28884091	28890091	EPB41	+
1	29120935	29126935	TMEM200B	-
1	29178987	29184987	SRSF4	-
1	29227942	29233942	MECR	-
1	29233516	29239516	PTPRU	+
1	30720587	30726587	MATN1	-
1	30754820	30760820	LAPTM5	-
1	30905761	30911761	SDC3	-
1	31062991	31068991	PUM1	-
1	31236554	31242554	NKAIN1	-
1	31293782	31299782	SNRNP40	-
1	31293982	31299982	ZCCHC17	+
1	31373850	31379850	FABP3	-
1	31406565	31412565	SERINC2	+
1	31573485	31579485	TINAGL1	+
1	31614686	31620686	HCRTR1	+
1	31641896	31647896	PEF1	-
1	31701319	31707319	COL16A1	-
1	31761893	31767893	ADGRB2	-
1	31813051	31819051	SPOCD1	-
1	31941856	31947856	PTP4A2	-
1	32010829	32016829	KHDRBS1	+
1	32069031	32075031	TMEM39B	+
1	32105038	32111038	KPNA6	+
1	32176686	32182686	TXLNA	+
1	32197386	32203386	CCDC28B	+
1	32202661	32208661	IQCC	+
1	32206094	32212094	DCDC2B	+
1	32218928	32224928	EIF3I	+
1	32219359	32225359	TMEM234	-
1	32244233	32250233	FAM167B	+
1	32248239	32254239	LCK	+
1	32289086	32295086	HDAC1	+
1	32333379	32339379	MARCKSL1	-
1	32348521	32354521	TSSK3	+
1	32361312	32367312	FAM229A	-
1	32391731	32397731	BSDC1	-
1	32462069	32468069	ZBTB8B	+
1	32536427	32542427	ZBTB8A	+
1	32647903	32653903	ZBTB8OS	-
1	32648142	32654142	RBBP4	+
1	32700596	32706596	SYNC	-
1	32738885	32744885	KIAA1522	+
1	32813767	32819767	S100PBP	+
1	32815153	32821153	YARS	-
1	32869482	32875482	FNDC5	-
1	32882994	32888994	HPCA	+
1	32898438	32904438	TMEM54	-
1	32961685	32967685	RNF19B	-
1	33077996	33083996	AK2	-
1	33078104	33084104	AZIN2	+
1	33179059	33185059	TRIM62	-
1	33253545	33259545	ZNF362	+
1	33318098	33324098	A3GALT2	-
1	33428052	33434052	PHC2	-
1	33469645	33475645	ZSCAN20	+
1	33478200	33484200	ZSCAN20	+
1	33721360	33727360	CSMD2	-
1	34162842	34168842	CSMD2	-
1	34163883	34169883	C1orf94	+
1	34709737	34715737	GJB4	+
1	34752047	34758047	GJB3	+
1	34756741	34762741	GJA4	+
1	34789998	34795998	GJB5	+
1	34792747	34798747	SMIM12	-
1	34926585	34932585	DLGAP3	-
1	34982353	34988353	TMEM35B	-
1	35028968	35034968	ZMYM6	-
1	35056786	35062786	ZMYM1	+
1	35190148	35196148	SFPQ	-
1	35265967	35271967	ZMYM4	+
1	35554473	35560473	NCDN	+
1	35554950	35560950	KIAA0319L	-
1	35570370	35576370	TFAP2E	+
1	35638844	35644844	PSMB2	-
1	35716472	35722472	C1orf216	-
1	35766967	35772967	CLSPN	-
1	35805172	35811172	AGO4	+
1	35866808	35872808	AGO1	+
1	35927718	35933718	AGO3	+
1	36081075	36087075	TEKT2	+
1	36085875	36091875	ADPRHL2	+
1	36122220	36128220	COL8A2	-
1	36152579	36158579	MAP7D1	+
1	36153053	36159053	TRAPPC3	-
1	36221416	36227416	THRAP3	+
1	36303387	36309387	SH3D21	+
1	36321886	36327886	EVA1B	-
1	36382896	36388896	STK40	-
1	36394892	36400892	LSM10	-
1	36447451	36453451	OSCP1	-
1	36461437	36467437	MRPS15	-
1	36480278	36486278	CSF3R	-
1	37471552	37477552	ZC3H12A	+
