Chr	Start	End	Mutation	Size	Middle	Start_C	End_C	Mutations_C
chr1	145845583	145848365	145847270	2782	145846974	-1391	1391	296
chr1	150470714	150474232	150471903	3518	150472473	-1759	1759	-570
chr1	153770262	153776516	153772667	6254	153773389	-3127	3127	-722
chr1	156925923	156933388	156927625	7465	156929655	-3732	3733	-2030
chr1	117074836	117076768	117075536	1932	117075802	-966	966	-266
chr1	181088390	181090557	181088914	2167	181089473	-1083	1084	-559
chr1	153662647	153663921	153662780	1274	153663284	-637	637	-504
chr1	11053065	11060620	11056717	7555	11056842	-3777	3778	-125
chr1	6472624	6476719	6475105	4095	6474671	-2047	2048	434
chr1	15926508	15928947	15928519	2439	15927727	-1219	1220	792
chr1	16198828	16203797	16202498	4969	16201312	-2484	2485	1186
chr1	43702147	43705575	43703590	3428	43703861	-1714	1714	-271
chr1	153618818	153620573	153618854	1755	153619695	-877	878	-841
chr1	32202502	32207732	32207474	5230	32205117	-2615	2615	2357
chr1	39563140	39565012	39564767	1872	39564076	-936	936	691
chr1	108922686	108924661	108924216	1975	108923673	-987	988	543
chr1	109236669	109240175	109237770	3506	109238422	-1753	1753	-652
chr1	150259585	150261859	150260233	2274	150260722	-1137	1137	-489
chr1	151397194	151402348	151400643	5154	151399771	-2577	2577	872
chr1	154550069	154556304	154555955	6235	154553186	-3117	3118	2769
chr1	155043623	155049605	155046085	5982	155046614	-2991	2991	-529
chr1	155266297	155267644	155266853	1347	155266970	-673	674	-117
chr1	156937683	156942123	156940313	4440	156939903	-2220	2220	410
chr1	161121454	161124393	161124279	2939	161122923	-1469	1470	1356
chr1	161173127	161176094	161173837	2967	161174610	-1483	1484	-773
chr1	165752018	165752897	165752168	879	165752457	-439	440	-289
chr1	180014995	180017161	180015937	2166	180016078	-1083	1083	-141
chr1	206731327	206735449	206732725	4122	206733388	-2061	2061	-663
chr1	214332725	214334587	214334031	1862	214333656	-931	931	375
chr1	226068609	226072173	226071473	3564	226070391	-1782	1782	1082
chr1	226378936	226383187	226383034	4251	226381061	-2125	2126	1973
chr1	244854759	244856700	244856308	1941	244855729	-970	971	579
chr1	117366145	117368601	117368238	2456	117367373	-1228	1228	865
chr1	26182702	26187437	26183369	4735	26185069	-2367	2368	-1700
chr1	44761818	44766318	44761971	4500	44764068	-2250	2250	-2097
chr1	180273799	180275177	180274002	1378	180274488	-689	689	-486
chr1	202892025	202895056	202893286	3031	202893540	-1515	1516	-254
chr1	214332725	214334587	214333953	1862	214333656	-931	931	297
chr1	1638370	1642737	1638532	4367	1640553	-2183	2184	-2021
chr1	6211044	6214118	6212390	3074	6212581	-1537	1537	-191
