Chr	Start	End	Mutations
chr1	150601328	150602421	0
chr1	153615196	153616879	0
chr1	153615196	153616879	0
chr1	962692	969728	0
chr1	998286	1000706	0
chr1	1015509	1026203	0
chr1	1194868	1196934	0
chr1	1222215	1235822	0
chr1	1244485	1246955	0
chr1	1293347	1301401	0
chr1	1293347	1301401	0
chr1	1376139	1380171	0
chr1	1538089	1542285	0
chr1	2308196	2310457	0
chr1	2519913	2526255	5
chr1	6517874	6523372	0
chr1	6585870	6592689	1
chr1	6585870	6592689	1
chr1	7763598	7767333	1
chr1	16055397	16058154	0
chr1	16055397	16058154	0
chr1	19281995	19284538	0
chr1	27098194	27099372	0
chr1	27851993	27855778	0
chr1	41478446	41487042	0
chr1	44136792	44140514	0
chr1	44136792	44140514	0
chr1	54835895	54842679	0
chr1	110279955	110281158	0
chr1	117111297	117115889	0
chr1	151289152	151290602	0
chr1	151337441	151340469	0
chr1	153923539	153928859	0
chr1	153941922	153945051	0
chr1	154319958	154322770	0
chr1	154549269	154550549	0
chr1	154549269	154550549	0
chr1	154941462	154943655	0
chr1	154957678	154960208	0
chr1	154976150	154978640	0
chr1	155165608	155178225	0
chr1	155249650	155256257	0
chr1	155249650	155256257	0
chr1	156005010	156011185	0
chr1	156696069	156699135	0
chr1	160186117	160188092	0
chr1	161037805	161039918	0
chr1	161070996	161072329	0
chr1	179076883	179081218	0
chr1	181057526	181059665	0
chr1	227915834	227923816	0
chr1	228095614	228098073	0
chr1	228095614	228098073	0
chr1	228392701	228399084	0
chr1	936956	942420	0
chr1	970885	974403	0
chr1	974402	978384	0
chr1	989771	997092	0
chr1	1005128	1015510	0
chr1	1203252	1206876	0
chr1	1246954	1252100	0
chr1	1253572	1257618	0
chr1	1283838	1290699	0
chr1	1283838	1290699	0
chr1	1290698	1292982	0
chr1	1290698	1292982	0
chr1	1322179	1326321	0
chr1	1329779	1339069	0
chr1	1329779	1339069	0
chr1	1429390	1432089	0
chr1	1432088	1439141	0
chr1	1494826	1495966	0
chr1	1495965	1497416	0
chr1	1594406	1597811	0
chr1	1656930	1659631	0
chr1	2306508	2308197	0
chr1	2314965	2319471	0
chr1	2319605	2322165	0
chr1	2322164	2324380	0
chr1	3732318	3735326	0
chr1	3737442	3740407	0
chr1	6245038	6246109	0
chr1	6245038	6246109	0
chr1	6259109	6261709	0
chr1	6524029	6527190	0
chr1	7842862	7845603	0
chr1	11847059	11851244	1
chr1	11853664	11855938	0
chr1	12668814	12673529	0
chr1	16053232	16055372	0
chr1	16053232	16055372	0
chr1	19655087	19660147	1
chr1	19810354	19813223	0
chr1	19814169	19815325	1
chr1	24118379	24121913	1
chr1	24121912	24126553	0
chr1	26201364	26204500	3
chr1	26797251	26800122	1
chr1	27333073	27337007	1
chr1	27663791	27667761	1
chr1	31903857	31905566	0
chr1	31906285	31910295	0
chr1	32679994	32683351	3
chr1	33004590	33006308	0
chr1	43281715	43283177	2
chr1	44140513	44142302	0
chr1	46031634	46035464	3
chr1	46035829	46037812	0
chr1	46557796	46559125	0
chr1	52823885	52826897	0
chr1	52827144	52830589	0
chr1	94145150	94148735	0
chr1	108741741	108744063	1
chr1	109232757	109236021	0
chr1	109491289	109492699	0
chr1	109505676	109509013	3
chr1	109505676	109509013	3
chr1	110025746	110029215	0
