0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	Middle	Start	End
chr1	963535	968263	2	1895.0	-657.0																																								965899	-2364	2364
chr1	1054391	1061712	3	2609.0	2677.0	2675.0																																							1058051	-3660	3661
chr1	1215591	1219550	0																																										1217570	-1979	1980
chr1	1233874	1235276	0																																										1234575	-701	701
chr1	1254620	1258777	2	1452.0	1356.0																																								1256698	-2078	2079
chr1	1348458	1355319	1	-2557.0																																									1351888	-3430	3431
chr1	1370140	1372391	0																																										1371265	-1125	1126
chr1	1385742	1390941	1	1033.0																																									1388341	-2599	2600
chr1	1440759	1444791	0																																										1442775	-2016	2016
chr1	1532379	1537640	1	1022.0																																									1535009	-2630	2631
chr1	1538009	1541656	0																																										1539832	-1823	1824
chr1	1541736	1543981	0																																										1542858	-1122	1123
chr1	1593441	1598509	0																																										1595975	-2534	2534
chr1	1635239	1642737	6	456.0	2031.0	1104.0	2614.0	1514.0	1176.0																																				1638988	-3749	3749
chr1	1655356	1657018	2	754.0	802.0																																								1656187	-831	831
chr1	1744310	1749459	1	1112.0																																									1746884	-2574	2575
chr1	1752175	1756443	0																																										1754309	-2134	2134
chr1	1780322	1786118	0																																										1783220	-2898	2898
chr1	1915137	1918067	2	-226.0	-217.0																																								1916602	-1465	1465
chr1	2303710	2307934	2	1318.0	1243.0																																								2305822	-2112	2112
chr1	2311222	2313509	0																																										2312365	-1143	1144
chr1	2400894	2403280	0																																										2402087	-1193	1193
chr1	3476538	3483859	2	-256.0	663.0																																								3480198	-3660	3661
chr1	3488653	3493713	1	602.0																																									3491183	-2530	2530
chr1	3632340	3634704	0																																										3633522	-1182	1182
chr1	3776669	3780368	0																																										3778518	-1849	1850
chr1	3780434	3783270	2	712.0	585.0																																								3781852	-1418	1418
chr1	3808718	3812225	0																																										3810471	-1753	1754
chr1	3886786	3889134	0																																										3887960	-1174	1174
chr1	5856318	5862875	0																																										5859596	-3278	3279
chr1	6094063	6100872	2	33.0	-1133.0																																								6097467	-3404	3405
chr1	6183333	6184051	0																																										6183692	-359	359
chr1	6184978	6186049	0																																										6185513	-535	536
chr1	6186790	6189635	0																																										6188212	-1422	1423
chr1	6218152	6220871	1	265.0																																									6219511	-1359	1360
chr1	6223918	6229975	0																																										6226946	-3028	3029
chr1	6457814	6463312	1	-1509.0																																									6460563	-2749	2749
chr1	6463969	6471224	1	-2965.0																																									6467596	-3627	3628
chr1	6577938	6581497	3	493.0	-986.0	-1024.0																																							6579717	-1779	1780
chr1	6583468	6589608	1	656.0																																									6586538	-3070	3070
