Chr	Start	End	Mutation	Size	Middle	Start_C	End_C	Mutations_C
chr1	11847599	11853093	11847627	5494	11850346	-2747	2747	-2719
chr1	153987648	153993163	153992859	5515	153990405	-2757	2758	2454
chr1	149886886	149889648	149887265	2762	149888267	-1381	1381	-1002
chr1	1532379	1537640	1533987	5261	1535009	-2630	2631	-1022
chr1	1915137	1918067	1916828	2930	1916602	-1465	1465	226
chr1	154990293	154994176	154993642	3883	154992234	-1941	1942	1408
chr1	155941011	155944906	155942473	3895	155942958	-1947	1948	-485
chr1	149886886	149889648	149887475	2762	149888267	-1381	1381	-792
chr1	156925923	156933388	156932549	7465	156929655	-3732	3733	2894
chr1	1915137	1918067	1916819	2930	1916602	-1465	1465	217
chr1	45617194	45623000	45621953	5806	45620097	-2903	2903	1856
chr1	149886886	149889648	149887046	2762	149888267	-1381	1381	-1221
chr1	149886886	149889648	149887316	2762	149888267	-1381	1381	-951
chr1	155941011	155944906	155942618	3895	155942958	-1947	1948	-340
chr1	151170822	151175655	151170920	4833	151173238	-2416	2417	-2318
chr1	109605792	109606713	109606045	921	109606252	-460	461	-207
chr1	151170822	151175655	151171457	4833	151173238	-2416	2417	-1781
chr1	45617194	45623000	45622814	5806	45620097	-2903	2903	2717
chr1	151165561	151170119	151166168	4558	151167840	-2279	2279	-1672
chr1	151700935	151708597	151702656	7662	151704766	-3831	3831	-2110
chr1	44782831	44785213	44784666	2382	44784022	-1191	1191	644
chr1	155941011	155944906	155942696	3895	155942958	-1947	1948	-262
chr1	154990293	154994176	154993959	3883	154992234	-1941	1942	1725
chr1	149886886	149889648	149887097	2762	149888267	-1381	1381	-1170
chr1	149886886	149889648	149887749	2762	149888267	-1381	1381	-518
chr1	149886886	149889648	149887584	2762	149888267	-1381	1381	-683
chr1	155941011	155944906	155942707	3895	155942958	-1947	1948	-251
chr1	156925923	156933388	156932516	7465	156929655	-3732	3733	2861
chr1	155290311	155295192	155291782	4881	155292751	-2440	2441	-969
chr1	6577938	6581497	6579224	3559	6579717	-1779	1780	-493
chr1	154990293	154994176	154990329	3883	154992234	-1941	1942	-1905
chr1	155290311	155295192	155293212	4881	155292751	-2440	2441	461
chr1	156925923	156933388	156930613	7465	156929655	-3732	3733	958
chr1	156925923	156933388	156932633	7465	156929655	-3732	3733	2978
chr1	149886886	149889648	149887226	2762	149888267	-1381	1381	-1041
chr1	6577938	6581497	6580703	3559	6579717	-1779	1780	986
chr1	153987648	153993163	153991226	5515	153990405	-2757	2758	821
chr1	45617194	45623000	45622606	5806	45620097	-2903	2903	2509
chr1	6094063	6100872	6098600	6809	6097467	-3404	3405	1133
chr1	156925923	156933388	156932005	7465	156929655	-3732	3733	2350
chr1	6577938	6581497	6580741	3559	6579717	-1779	1780	1024
chr1	149886886	149889648	149887261	2762	149888267	-1381	1381	-1006
chr1	154550069	154556304	154551807	6235	154553186	-3117	3118	-1379
chr1	45617194	45623000	45622793	5806	45620097	-2903	2903	2696
chr1	149886886	149889648	149887004	2762	149888267	-1381	1381	-1263
chr1	154990293	154994176	154992746	3883	154992234	-1941	1942	512
chr1	154990293	154994176	154993659	3883	154992234	-1941	1942	1425
chr2	111119713	111125232	111123896	5519	111122472	-2759	2760	1424
chr2	73291083	73293066	73291880	1983	73292074	-991	992	-194
chr2	219535489	219538367	219538034	2878	219536928	-1439	1439	1106
chr2	73291083	73293066	73292301	1983	73292074	-991	992	227
chr2	73291083	73293066	73292188	1983	73292074	-991	992	114
chr2	73291083	73293066	73291496	1983	73292074	-991	992	-578
chr2	111119713	111125232	111123929	5519	111122472	-2759	2760	1457
chr2	27304827	27308636	27305034	3809	27306731	-1904	1905	-1697
chr2	113499063	113501311	113499655	2248	113500187	-1124	1124	-532
chr2	112740740	112744014	112742622	3274	112742377	-1637	1637	245
chr2	219535489	219538367	219537078	2878	219536928	-1439	1439	150
chr2	113499063	113501311	113499651	2248	113500187	-1124	1124	-536
chr3	48619303	48624248	48621492	4945	48621775	-2472	2473	-283
chr3	48619303	48624248	48620972	4945	48621775	-2472	2473	-803
chr3	73061434	73062951	73062332	1517	73062192	-758	759	140
chr3	73061434	73062951	73062533	1517	73062192	-758	759	341
chr3	126434634	126439307	126438334	4673	126436970	-2336	2337	1364
chr3	73061434	73062951	73062842	1517	73062192	-758	759	650
chr3	10283749	10285704	10285455	1955	10284726	-977	978	729
chr4	150580312	150584789	150583320	4477	150582550	-2238	2239	770
chr4	150580312	150584789	150583629	4477	150582550	-2238	2239	1079
chr4	150580312	150584789	150583700	4477	150582550	-2238	2239	1150
chr4	150580312	150584789	150583551	4477	150582550	-2238	2239	1001
chr4	150580312	150584789	150583784	4477	150582550	-2238	2239	1234
chr6	27866609	27868605	27867086	1996	27867607	-998	998	-521
chr6	27836509	27838789	27838771	2280	27837649	-1140	1140	1122
chr6	27866609	27868605	27866966	1996	27867607	-998	998	-641
chr6	73415673	73417133	73416197	1460	73416403	-730	730	-206
chr6	27145127	27146672	27146555	1545	27145899	-772	773	656
chr6	27836509	27838789	27838335	2280	27837649	-1140	1140	686
chr6	73415673	73417133	73416112	1460	73416403	-730	730	-291
chr6	27836509	27838789	27838123	2280	27837649	-1140	1140	474
chr6	35495749	35502112	35498299	6363	35498930	-3181	3182	-631
chr6	27836509	27838789	27838112	2280	27837649	-1140	1140	463
chr6	31531513	31537583	31532822	6070	31534548	-3035	3035	-1726
chr6	27836509	27838789	27838306	2280	27837649	-1140	1140	657
chr6	27836509	27838789	27838745	2280	27837649	-1140	1140	1096
chr6	27866609	27868605	27867101	1996	27867607	-998	998	-506
chr6	27836509	27838789	27837976	2280	27837649	-1140	1140	327
chr6	31721065	31726370	31723649	5305	31723717	-2652	2653	-68
chr6	27866609	27868605	27867416	1996	27867607	-998	998	-191
chr6	27836509	27838789	27837957	2280	27837649	-1140	1140	308
chr6	42697171	42699158	42698397	1987	42698164	-993	994	233
chr6	27145127	27146672	27146601	1545	27145899	-772	773	702
chr6	27836509	27838789	27838278	2280	27837649	-1140	1140	629
chr6	27836509	27838789	27838154	2280	27837649	-1140	1140	505
