0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	Middle	Start	End
chr1	963535	968263	2	1895.0	-657.0																																								965899	-2364	2364
chr1	1054391	1061712	3	2609.0	2677.0	2675.0																																							1058051	-3660	3661
chr1	1254620	1258777	2	1452.0	1356.0																																								1256698	-2078	2079
chr1	1370140	1372391	0																																										1371265	-1125	1126
chr1	1385742	1390941	1	1033.0																																									1388341	-2599	2600
chr1	1532379	1537640	1	1022.0																																									1535009	-2630	2631
chr1	1538009	1541656	0																																										1539832	-1823	1824
chr1	1541736	1543981	0																																										1542858	-1122	1123
chr1	1657211	1662285	0																																										1659748	-2537	2537
chr1	1752175	1756443	0																																										1754309	-2134	2134
chr1	1780322	1786118	0																																										1783220	-2898	2898
chr1	1915137	1918067	2	-226.0	-217.0																																								1916602	-1465	1465
chr1	2186892	2191124	1	2005.0																																									2189008	-2116	2116
chr1	2303710	2307934	2	1318.0	1243.0																																								2305822	-2112	2112
chr1	2311222	2313509	0																																										2312365	-1143	1144
chr1	2315035	2318620	0																																										2316827	-1792	1793
chr1	2320967	2325327	1	1702.0																																									2323147	-2180	2180
chr1	2400894	2403280	0																																										2402087	-1193	1193
chr1	2584673	2588475	0																																										2586574	-1901	1901
chr1	3480653	3483859	0																																										3482256	-1603	1603
chr1	3632340	3634704	0																																										3633522	-1182	1182
chr1	3776669	3780368	0																																										3778518	-1849	1850
chr1	3780434	3783270	2	712.0	585.0																																								3781852	-1418	1418
chr1	5856318	5862875	0																																										5859596	-3278	3279
chr1	6094063	6100872	2	33.0	-1133.0																																								6097467	-3404	3405
chr1	6183333	6184051	0																																										6183692	-359	359
chr1	6184978	6186049	0																																										6185513	-535	536
chr1	6186790	6189635	0																																										6188212	-1422	1423
chr1	6218152	6220871	1	265.0																																									6219511	-1359	1360
chr1	6223918	6229975	0																																										6226946	-3028	3029
chr1	6457814	6463312	1	-1509.0																																									6460563	-2749	2749
chr1	6463969	6471224	1	-2965.0																																									6467596	-3627	3628
chr1	6577938	6581497	3	493.0	-986.0	-1024.0																																							6579717	-1779	1780
chr1	6583468	6589608	1	656.0																																									6586538	-3070	3070
chr1	6592407	6598369	0																																										6595388	-2981	2981
chr1	6631057	6633306	0																																										6632181	-1124	1125
chr1	6635174	6638504	2	-434.0	1626.0																																								6636839	-1665	1665
chr1	7782802	7785543	0																																										7784172	-1370	1371
chr1	7982398	7988876	0																																										7985637	-3239	3239
chr1	8007307	8011769	0																																										8009538	-2231	2231
chr1	8344981	8350728	0																																										8347854	-2873	2874
