Chr	Start	End	Mutations
chr1	912790	935857	1
chr1	963535	968263	2
chr1	992847	1007040	1
chr1	1014022	1021822	1
chr1	1022832	1027254	0
chr1	1067525	1094379	3
chr1	1164463	1171738	0
chr1	1176572	1184994	2
chr1	1197112	1205446	0
chr1	1215591	1216972	0
chr1	1238330	1248046	0
chr1	1267872	1271496	0
chr1	1309105	1316720	4
chr1	1318192	1338413	5
chr1	1342813	1347267	0
chr1	1348458	1357602	1
chr1	1357967	1366021	0
chr1	1370140	1372391	0
chr1	1394399	1405127	5
chr1	1405968	1413830	0
chr1	1423306	1428604	0
chr1	1538009	1541656	0
chr1	1602709	1606905	0
chr1	1614359	1617352	0
chr1	1725491	1728192	0
chr1	1777912	1780271	0
chr1	1780322	1786118	0
chr1	2226608	2232196	1
chr1	2388166	2392941	2
chr1	2393373	2395165	0
chr1	2519538	2525707	5
chr1	3453918	3466380	2
chr1	6208240	6214118	8
chr1	6545483	6554804	1
chr1	6785207	6789718	0
chr1	7782802	7785543	0
chr1	8025308	8027928	0
chr1	8877550	8880655	0
chr1	9290616	9294604	0
chr1	11053700	11060620	2
chr1	12614580	12626870	0
chr1	15834147	15835973	1
chr1	15971348	15977601	0
chr1	16611274	16615778	0
chr1	17437125	17440021	0
chr1	17538204	17545753	0
chr1	18955501	18958044	0
chr1	19253018	19254861	0
chr1	19311895	19318460	1
chr1	19483860	19486729	0
chr1	19487675	19488831	0
chr1	20483305	20487334	0
chr1	21343530	21346841	0
chr1	23422988	23426067	0
chr1	23555336	23556869	0
chr1	23557678	23560173	2
chr1	23742077	23744357	0
chr1	23791889	23800063	6
chr1	23958954	23961374	0
chr1	25230493	25232618	1
chr1	25874873	25878009	0
chr1	26170947	26173169	0
chr1	26470760	26473631	1
chr1	26692212	26698612	0
chr1	26786670	26789109	0
chr1	26889215	26895939	3
chr1	27002757	27010516	1
chr1	27337300	27341270	0
chr1	27343827	27358602	10
chr1	27363084	27367245	1
chr1	28508641	28511311	0
chr1	29179322	29181740	0
chr1	31411662	31414505	0
chr1	32196214	32201054	0
chr1	32202502	32207732	3
chr1	32208028	32217750	10
chr1	32333381	32336657	2
chr1	32388382	32392473	0
chr1	33255300	33259816	0
chr1	33321856	33324631	1
chr1	35191421	35193804	2
chr1	35556333	35563060	1
chr1	35930123	35931726	0
chr1	36087282	36090966	1
chr1	36306051	36310275	0
chr1	36380554	36384434	0
chr1	36384726	36389466	0
chr1	36461980	36470629	5
chr1	37473322	37477433	0
chr1	37552317	37555665	1
chr1	37805349	37809614	2
chr1	37985555	37987597	0
chr1	38990210	38992393	0
chr1	39573504	39577639	0
chr1	40691214	40692994	1
chr1	40858194	40859926	0
chr1	41012774	41025547	0
chr1	41363465	41367966	0
chr1	42784046	42788476	0
chr1	42816044	42817506	2
chr1	43271233	43274984	0
chr1	43360652	43361855	0
chr1	43363659	43368474	0
chr1	43386394	43389005	2
chr1	43975882	43977538	4
chr1	43978611	43986441	0
chr1	44776008	44778123	1
chr1	44799003	44809839	9
chr1	45002551	45008655	7
chr1	45326597	45333684	2
chr1	45620780	45623000	4
chr1	45623157	45627396	0
chr1	51342705	51346997	0
chr1	51347468	51353024	0
chr1	53236464	53239145	0
chr1	54883378	54886375	1
chr1	58543280	58547368	0
chr1	58575507	58578070	2
chr1	58780835	58786137	2
chr1	65420273	65424490	0
chr1	67429614	67431328	0
chr1	67684293	67689096	1
chr1	77682859	77685609	0
chr1	77976171	77977756	0
chr1	84504965	84507348	0
chr1	85200410	85202209	0
chr1	85273701	85274641	0
chr1	85275807	85280169	0
chr1	85574641	85578563	0
chr1	85580671	85582611	3
chr1	89523957	89526174	0
chr1	91021217	91022203	0
chr1	103525990	103528626	1
chr1	107058523	107058627	0
chr1	107142615	107142742	0
chr1	108199119	108201441	1
chr1	108690135	108693399	2
chr1	108963054	108966391	0
chr1	109070756	109074884	0
chr1	109483124	109486593	0
chr1	109490617	109492495	1
chr1	109546098	109549996	0
chr1	109982949	109985970	0
chr1	110337341	110342887	5
chr1	111192741	111198855	3
chr1	112672693	112675865	0
chr1	113389727	113392011	1
chr1	113904126	113906812	2
chr1	114509492	114512042	0
chr1	114713576	114714496	1
chr1	114716234	114719986	1
chr1	114757313	114759085	0
chr1	116372497	116375426	0
chr1	116568675	116573267	0
chr1	116665724	116667199	0
chr1	145923787	145930160	5
chr1	146227817	146229575	0
chr1	149844826	149846279	0
chr1	149881565	149884562	0
chr1	149922555	149924928	1
chr1	149939396	149947480	2
chr1	150149511	150155523	1
chr1	150263349	150266356	4
chr1	150267428	150270167	4
chr1	150281278	150286016	3
chr1	150576527	150576902	0
chr1	150577006	150582535	2
chr1	150625649	150629945	4
chr1	150806278	150808039	1
chr1	151034134	151037655	2
chr1	151189230	151192864	2
chr1	151198717	151202076	1
chr1	151345180	151350219	0
chr1	151398646	151400519	1
chr1	151400860	151402348	2
chr1	151457515	151459723	1
chr1	151538765	151545989	1
chr1	151700935	151708597	2
chr1	153618818	153620573	1
chr1	153628108	153632845	2
chr1	153633777	153635521	0
chr1	153668142	153671246	1
chr1	153940738	153949410	8
chr1	153951063	153956383	6
chr1	153957573	153964497	2
chr1	153972617	153977782	5
chr1	153988080	153991349	1
chr1	154267602	154271369	1
chr1	154271572	154272063	0
chr1	154323517	154328328	1
chr1	154550069	154556304	6
chr1	154938941	154943584	0
chr1	154958882	154962939	2
chr1	154967340	154975235	5
chr1	154985202	154987732	0
chr1	154990692	154993450	1
chr1	154996217	155006164	0
chr1	155060158	155062797	3
chr1	155123365	155128727	2
chr1	155129000	155131746	2
chr1	155134709	155135407	0
chr1	155135584	155138430	3
chr1	155182105	155186992	2
chr1	155188018	155208434	11
chr1	155255309	155257248	0
chr1	155261785	155262911	2
chr1	155263029	155264030	3
chr1	155271737	155275785	0
chr1	155279859	155286466	5
chr1	155317947	155318924	1
chr1	155319387	155320229	2
chr1	155321746	155328952	7
