Chr	Start	End	Mutation	Size	Middle	Start_C	End_C	Mutations_C
chr1	11847599	11850118	11847627	2519	11848858	-1259	1260	-1231
chr1	156929492	156933388	156932549	3896	156931440	-1948	1948	1109
chr1	45620780	45623000	45621953	2220	45621890	-1110	1110	63
chr1	151170822	151172343	151170920	1521	151171582	-760	761	-662
chr1	151170822	151172343	151171457	1521	151171582	-760	761	-125
chr1	45620780	45623000	45622814	2220	45621890	-1110	1110	924
chr1	154323517	154328328	154327817	4811	154325922	-2405	2406	1895
chr1	151165561	151170119	151166168	4558	151167840	-2279	2279	-1672
chr1	151700935	151708597	151702656	7662	151704766	-3831	3831	-2110
chr1	156929492	156933388	156932516	3896	156931440	-1948	1948	1076
chr1	155290311	155295192	155291782	4881	155292751	-2440	2441	-969
chr1	155290311	155295192	155293212	4881	155292751	-2440	2441	461
chr1	156929492	156933388	156930613	3896	156931440	-1948	1948	-827
chr1	156929492	156933388	156932633	3896	156931440	-1948	1948	1193
chr1	155279859	155286466	155285743	6607	155283162	-3303	3304	2581
chr1	153988080	153991349	153991226	3269	153989714	-1634	1635	1512
chr1	45620780	45623000	45622606	2220	45621890	-1110	1110	716
chr1	6094063	6100872	6098600	6809	6097467	-3404	3405	1133
chr1	156929492	156933388	156932005	3896	156931440	-1948	1948	565
chr1	154550069	154556304	154551807	6235	154553186	-3117	3118	-1379
chr1	45620780	45623000	45622793	2220	45621890	-1110	1110	903
chr1	154990692	154993450	154992746	2758	154992071	-1379	1379	675
chr2	111119713	111125232	111123896	5519	111122472	-2759	2760	1424
chr2	219535489	219538367	219538034	2878	219536928	-1439	1439	1106
chr2	111119713	111125232	111123929	5519	111122472	-2759	2760	1457
chr2	27304827	27308636	27305034	3809	27306731	-1904	1905	-1697
chr2	219535489	219538367	219537078	2878	219536928	-1439	1439	150
chr3	48619303	48624248	48621492	4945	48621775	-2472	2473	-283
chr3	48401925	48405303	48404446	3378	48403614	-1689	1689	832
chr3	48619303	48624248	48620972	4945	48621775	-2472	2473	-803
chr3	126434634	126439307	126438334	4673	126436970	-2336	2337	1364
