0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	Middle	Start	End
chr1	943077	949970	0																																										946523	-3446	3447
chr1	963535	968263	2	1895.0	-657.0																																								965899	-2364	2364
chr1	1014022	1021822	1	3646.0																																									1017922	-3900	3900
chr1	1054391	1061712	3	2609.0	2677.0	2675.0																																							1058051	-3660	3661
chr1	1215591	1216972	0																																										1216281	-690	691
chr1	1254620	1258777	2	1452.0	1356.0																																								1256698	-2078	2079
chr1	1309105	1316720	4	-2007.0	-976.0	-967.0	2360.0																																						1312912	-3807	3808
chr1	1370140	1372391	0																																										1371265	-1125	1126
chr1	1385742	1390941	1	1033.0																																									1388341	-2599	2600
chr1	1423306	1428604	0																																										1425955	-2649	2649
chr1	1440759	1444791	0																																										1442775	-2016	2016
chr1	1538009	1541656	0																																										1539832	-1823	1824
chr1	1752175	1756443	0																																										1754309	-2134	2134
chr1	1780322	1786118	0																																										1783220	-2898	2898
chr1	2186892	2191124	1	2005.0																																									2189008	-2116	2116
chr1	2303710	2307934	2	1318.0	1243.0																																								2305822	-2112	2112
chr1	2311222	2313509	0																																										2312365	-1143	1144
chr1	2401750	2403280	0																																										2402515	-765	765
chr1	2495943	2503581	3	635.0	935.0	-3037.0																																							2499762	-3819	3819
chr1	3476538	3478900	0																																										3477719	-1181	1181
chr1	3480653	3483859	0																																										3482256	-1603	1603
chr1	3776669	3780368	0																																										3778518	-1849	1850
chr1	3780434	3783270	2	712.0	585.0																																								3781852	-1418	1418
chr1	6094063	6100872	2	33.0	-1133.0																																								6097467	-3404	3405
chr1	6184978	6186049	0																																										6185513	-535	536
chr1	6223918	6229975	0																																										6226946	-3028	3029
chr1	6415399	6418089	0																																										6416744	-1345	1345
chr1	6457814	6463312	1	-1509.0																																									6460563	-2749	2749
chr1	6463969	6471224	1	-2965.0																																									6467596	-3627	3628
chr1	6585134	6589608	1	1489.0																																									6587371	-2237	2237
chr1	6592407	6595532	0																																										6593969	-1562	1563
chr1	6631057	6633306	0																																										6632181	-1124	1125
chr1	7782802	7785543	0																																										7784172	-1370	1371
chr1	7982398	7988876	0																																										7985637	-3239	3239
chr1	8348844	8350728	0																																										8349786	-942	942
chr1	8354824	8361599	4	2096.0	3158.0	-3161.0	-3183.0																																						8358211	-3387	3388
chr1	8858873	8860469	0																																										8859671	-798	798
chr1	8860490	8861790	0																																										8861140	-650	650
chr1	8863037	8864806	0																																										8863921	-884	885
chr1	9614370	9616900	0																																										9615635	-1265	1265
chr1	9730426	9732155	2	163.0	732.0																																								9731290	-864	865
chr1	9840544	9847733	0																																										9844138	-3594	3595
chr1	10633649	10638161	1	-1338.0																																									10635905	-2256	2256
chr1	11023294	11024080	0																																										11023687	-393	393
chr1	11053700	11060620	2	443.0	-2113.0																																								11057160	-3460	3460
chr1	11066658	11070313	0																																										11068485	-1827	1828
chr1	11669859	11675057	3	-1308.0	-2202.0	455.0																																							11672458	-2599	2599
chr1	11676350	11683590	0																																										11679970	-3620	3620
chr1	11752340	11755023	0																																										11753681	-1341	1342
chr1	11787002	11791187	2	479.0	-1598.0																																								11789094	-2092	2093
chr1	11847599	11850118	1	1231.0																																									11848858	-1259	1260
chr1	12007696	12013475	1	-961.0																																									12010585	-2889	2890
chr1	15426968	15431613	0																																										15429290	-2322	2323
chr1	15935117	15937568	5	654.0	-960.0	-1119.0	517.0	222.0																																					15936342	-1225	1226
chr1	15940968	15947097	5	-902.0	1344.0	-546.0	-158.0	-1754.0																																					15944032	-3064	3065
chr1	16243655	16247114	0																																										16245384	-1729	1730
chr1	16384515	16386004	0																																										16385259	-744	745
chr1	16452945	16458724	0																																										16455834	-2889	2890
chr1	16972989	16975911	0																																										16974450	-1461	1461
chr1	17404089	17407157	0																																										17405623	-1534	1534
chr1	17407736	17414325	4	-2084.0	1047.0	2074.0	2211.0																																						17411030	-3294	3295
chr1	19255468	19258083	2	780.0	-1197.0																																								19256775	-1307	1308
chr1	19260349	19262165	0																																										19261257	-908	908
chr1	19328593	19333653	0																																										19331123	-2530	2530
chr1	19336557	19343499	1	304.0																																									19340028	-3471	3471
chr1	19678476	19682179	0																																										19680327	-1851	1852
chr1	20483305	20487334	0																																										20485319	-2014	2015
chr1	20498984	20500701	0																																										20499842	-858	859
chr1	20644338	20650240	3	2748.0	1733.0	2797.0																																							20647289	-2951	2951
chr1	20651547	20656470	0																																										20654008	-2461	2462
chr1	22103422	22104912	0																																										22104167	-745	745
chr1	22118960	22123510	2	1001.0	775.0																																								22121235	-2275	2275
chr1	23084750	23085698	1	-137.0																																									23085224	-474	474
chr1	23086310	23089033	0																																										23087671	-1361	1362
chr1	23422988	23426067	0																																										23424527	-1539	1540
chr1	23555336	23556869	0																																										23556102	-766	767
chr1	23557678	23560173	2	-126.0	884.0																																								23558925	-1247	1248
chr1	23759880	23761080	0																																										23760480	-600	600
chr1	23958954	23961374	0																																										23960164	-1210	1210
chr1	25217702	25219499	0																																										25218600	-898	899
chr1	25812520	25816193	0																																										25814356	-1836	1837
chr1	25817550	25819346	0																																										25818448	-898	898
chr1	26170947	26173169	0																																										26172058	-1111	1111
chr1	26182702	26187437	5	1700.0	665.0	-2119.0	-92.0	32.0																																					26185069	-2367	2368
chr1	26279692	26283348	0																																										26281520	-1828	1828
chr1	26470760	26473631	1	-1309.0																																									26472195	-1435	1436
chr1	26779388	26781241	11	451.0	451.0	669.0	-11.0	582.0	442.0	-712.0	575.0	307.0	249.0	797.0																															26780314	-926	927
chr1	26853009	26858472	1	1895.0																																									26855740	-2731	2732
chr1	26875119	26878270	0																																										26876694	-1575	1576
chr1	27002757	27010516	1	30.0																																									27006636	-3879	3880
chr1	27337300	27341270	0																																										27339285	-1985	1985
chr1	27363084	27367245	1	290.0																																									27365164	-2080	2081
chr1	27403227	27407478	1	-316.0																																									27405352	-2125	2126
chr1	27849031	27850920	1	-240.0																																									27849975	-944	945
chr1	28578239	28579511	0																																										28578875	-636	636
chr1	28714314	28716590	2	683.0	884.0																																								28715452	-1138	1138
chr1	29120343	29125958	1	2192.0																																									29123150	-2807	2808
chr1	30932953	30935482	2	1005.0	1030.0																																								30934217	-1264	1265
chr1	31366713	31369611	1	718.0																																									31368162	-1449	1449
chr1	31431010	31432719	0																																										31431864	-854	855
chr1	31433438	31437448	2	1258.0	1094.0																																								31435443	-2005	2005
chr1	31622642	31629892	4	-591.0	1263.0	-1000.0	2715.0																																						31626267	-3625	3625
chr1	32056771	32058834	0																																										32057802	-1031	1032
chr1	32063790	32065709	0																																										32064749	-959	960
chr1	32100261	32104545	1	-83.0																																									32102403	-2142	2142
chr1	32188076	32195407	1	-601.0																																									32191741	-3665	3666
chr1	32196214	32201054	0																																										32198634	-2420	2420
chr1	32202502	32207732	3	-2357.0	1192.0	-2162.0																																							32205117	-2615	2615
chr1	32325315	32332699	7	-2715.0	1358.0	-1888.0	-3136.0	1462.0	-102.0	-2706.0																																			32329007	-3692	3692
chr1	32333381	32336657	2	8.0	190.0																																								32335019	-1638	1638
chr1	32360321	32367284	5	-3.0	2442.0	-302.0	1023.0	210.0																																					32363802	-3481	3482
chr1	32767962	32774402	6	768.0	-1690.0	-156.0	-1727.0	-1938.0	3077.0																																				32771182	-3220	3220
chr1	32774722	32776518	0																																										32775620	-898	898
chr1	32892842	32898619	2	2129.0	-2398.0																																								32895730	-2888	2889
chr1	33005541	33008045	0																																										33006793	-1252	1252
chr1	33301225	33304223	0																																										33302724	-1499	1499
chr1	33321856	33324631	1	-563.0																																									33323243	-1387	1388
chr1	34864045	34865689	0																																										34864867	-822	822
chr1	35176335	35178903	0																																										35177619	-1284	1284
chr1	35429431	35435226	0																																										35432328	-2897	2898
chr1	35595018	35597362	0																																										35596190	-1172	1172
chr1	35930123	35931726	0																																										35930924	-801	802
chr1	36087282	36090966	1	1150.0																																									36089124	-1842	1842
chr1	36306051	36310275	0																																										36308163	-2112	2112
chr1	36384726	36389466	0																																										36387096	-2370	2370
