Chr	Start	End	Name	Score	Strand
chr1	62419	68419	OR4F5	0	+
chr1	1106260	1112260	TTLL10	0	+
chr1	1358251	1364251	TMEM88B	0	+
chr1	1473004	1479004	TMEM240	0	-
chr1	1843547	1849547	CALML6	0	+
chr1	1932276	1938276	CFAP74	0	-
chr1	2458702	2464702	HES5	0	-
chr1	2715258	2721258	TTC34	0	-
chr1	2935031	2941031	ACTRT2	0	+
chr1	3660024	3666024	CCDC27	0	+
chr1	6237381	6243381	CHD5	0	-
chr1	6301239	6307239	HES3	0	+
chr1	6612367	6618367	TAS1R1	0	+
chr1	9002926	9008926	CA6	0	+
chr1	9083482	9089482	SLC2A7	0	-
chr1	11039133	11045133	C1orf127	0	-
chr1	11536212	11542212	DISP3	0	+
chr1	11916002	11922002	NPPB	0	-
chr1	12701104	12707104	AADACL4	0	+
chr1	12773113	12779113	AADACL3	0	+
chr1	12803148	12809148	CFAP107	0	+
chr1	12830881	12836881	PRAMEF12	0	+
chr1	12848546	12854546	PRAMEF1	0	+
chr1	12913941	12919941	PRAMEF2	0	+
chr1	12943025	12949025	PRAMEF4	0	-
chr1	12955101	12961101	PRAMEF10	0	-
chr1	12973430	12979430	PRAMEF7	0	+
chr1	13004406	13010406	PRAMEF6	0	-
chr1	13049998	13055998	PUTATIVE	0	-
chr1	13216581	13222581	PUTATIVE	0	-
chr1	13387765	13393765	KNOWN	0	-
chr1	13418176	13424176	KNOWN	0	+
chr1	13449656	13455656	PRAMEF13	0	-
chr1	13670511	13676511	PRAMEF14	0	-
chr1	13695405	13701405	PRAMEF19	0	-
chr1	13713092	13719092	PRAMEF17	0	+
chr1	13733907	13739907	PRAMEF20	0	+
chr1	15761938	15767938	CTRC	0	+
chr1	16065994	16071994	TMEM82	0	+
chr1	16327731	16333731	SRARP	0	+
chr1	16342370	16348370	CLCNKA	0	+
chr1	16363747	16369747	CLCNKB	0	+
chr1	16996498	17002498	KNOWN	0	+
chr1	17057956	17063956	KNOWN	0	-
chr1	17631690	17637690	PADI4	0	+
chr1	17695691	17701691	PADI6	0	+
chr1	18954340	18960340	PAX7	0	+
chr1	19597688	19603688	AKR7L	0	-
chr1	19988368	19994368	HTR6	0	+
chr1	20247110	20253110	PLA2G2E	0	-
chr1	20510011	20516011	PLA2G2C	0	-
chr1	20876066	20882066	FAM43B	0	+
chr1	22300515	22306515	CELA3B	0	+
chr1	22325150	22331150	CELA3A	0	+
chr1	22886982	22892982	EPHA8	0	+
chr1	23296359	23302359	LACTBL1	0	-
chr1	23342593	23348593	TEX46	0	-
chr1	24236852	24242852	CNR2	0	-
chr1	26343375	26349375	EXTL1	0	+
chr1	26391927	26397927	TRIM63	0	-
chr1	26492454	26498454	C1orf232	0	-
chr1	26514052	26520052	CATSPER4	0	+
chr1	26734308	26740308	LIN28A	0	+
chr1	29135682	29141682	OPRD1	0	+
chr1	31193432	31199432	MATN1	0	-
chr1	33783699	33789699	A3GALT2	0	-
chr1	34629484	34635484	C1orf94	0	+
chr1	36546695	36552695	TEKT2	0	+
chr1	37497116	37503116	GRIK3	0	-
chr1	38097564	38103564	RSPO1	0	-
chr1	40134779	40140779	NT5C1A	0	-
chr1	40154157	40160157	HPCAL4	0	-
chr1	40708619	40714619	TMCO2	0	+
chr1	42616081	42622081	GUCA2B	0	+
chr1	43202925	43208925	CLDN19	0	-
chr1	43800489	43806489	MPL	0	+
chr1	44581493	44587493	KLF17	0	+
chr1	44604303	44610303	KLF18	0	-
chr1	45250842	45256842	BEST4	0	-
chr1	47006641	47012641	TMEM275	0	-
chr1	47014319	47020319	KNCN	0	-
chr1	47404156	47410156	CYP4A11	0	-
chr1	47529903	47535903	CYP4Z1	0	+
chr1	47600107	47606107	CYP4A22	0	+
chr1	47878957	47884957	FOXE3	0	+
chr1	48685357	48691357	SLC5A9	0	+
chr1	50486626	50492626	AGBL4	0	-
chr1	50486701	50492701	ELAVL4	0	+
chr1	51564893	51570893	C1orf185	0	+
chr1	53095840	53101840	SHISAL2A	0	+
chr1	53922072	53928072	DMRTB1	0	+
chr1	54353912	54359912	DIO1	0	+
chr1	54480859	54486859	LDLRAD1	0	-
chr1	54662746	54668746	ENSG00000256407	0	-
chr1	55268736	55274736	LEXM	0	+
chr1	55461606	55467606	BSND	0	+
chr1	57282369	57288369	FYB2	0	-
chr1	57317441	57323441	C8A	0	+
chr1	57437056	57443056	C8B	0	-
chr1	60536442	60542442	C1orf87	0	-
chr1	62657521	62663521	L1TD1	0	+
chr1	63785238	63791238	FOXD3	0	+
chr1	64666306	64672306	UBE2U	0	+
chr1	67215142	67221142	DYNLT5	0	+
chr1	67263959	67269959	INSL5	0	-
chr1	67694536	67700536	C1orf141	0	-
chr1	68912637	68918637	RPE65	0	-
chr1	70030605	70036605	LRRC7	0	+
chr1	74660871	74666871	LRRIQ3	0	-
chr1	75136476	75142476	ERICH3	0	-
chr1	75591119	75597119	LHX8	0	+
chr1	76259567	76265567	MSH4	0	+
chr1	76395089	76401089	ASB17	0	-
chr1	84861167	84867167	DNASE2B	0	+
chr1	85461830	85467830	DNAI3	0	+
chr1	86931051	86937051	CLCA1	0	+
chr1	91179859	91185859	BARHL2	0	-
chr1	91867413	91873413	HFM1	0	-
chr1	92411900	92417900	BRDT	0	+
chr1	92680472	92686472	C1orf146	0	+
chr1	99690485	99696485	PLPPR5	0	-
chr1	101000695	101006695	GPR88	0	+
chr1	102459482	102465482	OLFM3	0	-
chr1	104157049	104163049	AMY2A	0	+
chr1	104195382	104201382	AMY1A	0	+
chr1	104236076	104242076	AMY1B	0	-
chr1	104284945	104290945	AMY1C	0	+
chr1	108783703	108789703	NBPF4	0	-
chr1	108989904	108995904	NBPF6	0	+
chr1	109252530	109258530	FNDC7	0	+
chr1	109846633	109852633	MYBPHL	0	-
chr1	110006168	110012168	SYPL2	0	+
chr1	110079494	110085494	GPR61	0	+
chr1	110159551	110165551	GNAT2	0	-
chr1	110652065	110658065	UBL4B	0	+
