	Chr	Start	End	Name	Score	Strand
ENSG00000002586	chrX	2691187	2741309	CD99	0	+
ENSG00000002586	chrY	2691187	2741309	CD99	0	+
ENSG00000004939	chr17	44248390	44268141	SLC4A1	0	-
ENSG00000006116	chr16	24256335	24362412	CACNG3	0	+
ENSG00000006659	chr19	39704481	39709444	LGALS14	0	+
ENSG00000007001	chr2	157876702	158136154	UPP2	0	+
ENSG00000008197	chr6	50713526	50773033	TFAP2D	0	+
ENSG00000008438	chr19	46019153	46023053	PGLYRP1	0	-
ENSG00000010282	chr3	42692663	42702824	HHATL	0	-
ENSG00000016490	chr1	86468368	86500259	CLCA1	0	+
ENSG00000021852	chr1	56929207	56966140	C8B	0	-
ENSG00000022355	chr5	161847063	161899981	GABRA1	0	+
ENSG00000036473	chrX	38352586	38421446	OTC	0	+
ENSG00000036565	chr8	20144855	20183206	SLC18A1	0	-
ENSG00000042813	chr7	49850421	50121329	ZPBP	0	-
ENSG00000044012	chr1	42153410	42155820	GUCA2B	0	+
ENSG00000054796	chr20	57329803	57343994	SPO11	0	+
ENSG00000054803	chr20	55997357	56005519	CBLN4	0	-
ENSG00000061492	chr5	138083990	138092365	WNT8A	0	+
ENSG00000063515	chr22	19146993	19150292	GSC2	0	-
ENSG00000064835	chr3	87259404	87276584	POU1F1	0	-
ENSG00000066813	chr16	20536226	20576427	ACSM2B	0	-
ENSG00000069018	chr5	136212745	136365545	TRPC7	0	-
ENSG00000069206	chr8	24440930	24526970	ADAM7	0	+
ENSG00000070748	chr10	49609095	49667942	CHAT	0	+
ENSG00000071203	chr11	60492778	60507430	MS4A12	0	+
ENSG00000071677	chr2	237566574	237567175	PRLH	0	+
ENSG00000072080	chr2	234050679	234077134	SPP2	0	+
ENSG00000072315	chrX	111768011	112082776	TRPC5	0	-
ENSG00000073754	chr1	157830911	157898256	CD5L	0	-
ENSG00000074771	chr6	155395368	155455839	NOX3	0	-
ENSG00000074803	chr15	48178438	48304078	SLC12A1	0	+
ENSG00000075429	chr17	66835117	66894751	CACNG5	0	+
ENSG00000077009	chr19	3933069	3942416	NMRK2	0	+
ENSG00000077498	chr11	89177875	89295759	TYR	0	+
ENSG00000079557	chr4	73481745	73504001	AFM	0	+
ENSG00000080166	chr13	94436811	94479682	DCT	0	-
ENSG00000080511	chr19	10013249	10022279	RDH8	0	+
ENSG00000080572	chrX	107206611	107244247	DNAAF6	0	+
ENSG00000080910	chr1	196943738	196959622	CFHR2	0	+
ENSG00000081800	chr7	123113531	123199972	SLC13A1	0	-
ENSG00000082126	chr2	201644870	201698694	MPP4	0	-
ENSG00000088782	chr20	157454	159163	DEFB127	0	+
ENSG00000088926	chr4	186266189	186289681	F11	0	+
ENSG00000091664	chr11	22338381	22379503	SLC17A6	0	+
ENSG00000094661	chr19	15082211	15092970	OR1I1	0	+
ENSG00000095110	chr11	114521645	114559895	NXPE1	0	-
ENSG00000095981	chr6	39314698	39322968	KCNK16	0	-
ENSG00000096264	chr6	41335608	41350889	NCR2	0	+
ENSG00000096395	chr6	33794673	33804003	MLN	0	-
ENSG00000099721	chrY	6865918	6911752	AMELY	0	-
ENSG00000100012	chr22	30447959	30472017	SEC14L3	0	-
ENSG00000100341	chr22	43879678	43892013	PNPLA5	0	-
ENSG00000100565	chr14	76826372	76870304	LRRC74A	0	+
ENSG00000100987	chr20	25070885	25082141	VSX1	0	-
ENSG00000101074	chr20	44337043	44351238	R3HDML	0	+
ENSG00000101200	chr20	3082556	3084724	AVP	0	-
ENSG00000101204	chr20	63343223	63378401	CHRNA4	0	-
ENSG00000101251	chr20	13849247	13996443	SEL1L2	0	-
ENSG00000101292	chr20	5299218	5316954	PROKR2	0	-
ENSG00000101323	chr20	7882985	7940458	HAO1	0	-
ENSG00000101327	chr20	1978757	1994285	PDYN	0	-
ENSG00000101405	chr20	3071620	3072517	OXT	0	+
ENSG00000101435	chr20	23564732	23568484	CST9L	0	-
ENSG00000101438	chr20	38724486	38729372	SLC32A1	0	+
ENSG00000101448	chr20	45540626	45547752	EPPIN	0	-
ENSG00000101890	chrX	109372906	109482086	GUCY2F	0	-
ENSG00000101892	chrX	120362085	120383249	ATP1B4	0	+
ENSG00000101981	chrX	139530739	139563459	F9	0	+
ENSG00000102021	chrX	115289715	115307563	LUZP4	0	+
ENSG00000102055	chrX	42777366	42778163	PPP1R2C	0	-
ENSG00000102076	chrX	154144243	154159032	OPN1LW	0	+
ENSG00000102145	chrX	48786562	48794311	GATA1	0	+
ENSG00000102195	chrX	151176584	151181465	GPR50	0	+
ENSG00000102539	chr13	49220338	49222377	MLNR	0	+
ENSG00000102794	chr13	76948511	76958638	ACOD1	0	+
ENSG00000103310	chr16	21197450	21214510	ZP2	0	-
ENSG00000103375	chr16	25215731	25228932	AQP8	0	+
ENSG00000104499	chr8	142834247	142916506	GML	0	+
ENSG00000104938	chr19	7763210	7769605	CLEC4M	0	+
ENSG00000104941	chr19	45795713	45815308	RSPH6A	0	-
ENSG00000105198	chr19	39602524	39607474	LGALS13	0	+
ENSG00000105370	chr19	51379909	51387974	LIM2	0	-
ENSG00000105392	chr19	47819779	47843330	CRX	0	+
ENSG00000105428	chr19	5455417	5456856	ZNRF4	0	+
ENSG00000105507	chr19	48029383	48044079	CABP5	0	-
ENSG00000105550	chr19	48755524	48758333	FGF21	0	+
ENSG00000105610	chr19	12884422	12887201	KLF1	0	-
ENSG00000105695	chr19	35292125	35313807	MAG	0	+
ENSG00000105954	chr7	25224570	25228486	NPVF	0	-
ENSG00000106304	chr7	123925237	123971414	SPAM1	0	+
ENSG00000106331	chr7	127610292	127618142	PAX4	0	-
ENSG00000106341	chr7	31687215	31708455	PPP1R17	0	+
ENSG00000106384	chr7	101195007	101201038	MOGAT3	0	-
ENSG00000106436	chr7	101613330	101629296	MYL10	0	-
ENSG00000106648	chr7	151956379	152019929	GALNTL5	0	+
ENSG00000107447	chr10	96304409	96338564	DNTT	0	+
ENSG00000107859	chr10	102230186	102241512	PITX3	0	-
ENSG00000108255	chr17	29246859	29254494	CRYBA1	0	+
ENSG00000108702	chr17	34360328	34363233	CCL1	0	-
ENSG00000108878	chr17	67044554	67056797	CACNG1	0	+
ENSG00000109047	chr17	9896320	9905271	RCVRN	0	-
ENSG00000109061	chr17	10492307	10518542	MYH1	0	-
ENSG00000109132	chr4	41744082	41748725	PHOX2B	0	-
ENSG00000109158	chr4	46918900	46993581	GABRA4	0	-
ENSG00000109163	chr4	67737118	67754388	GNRHR	0	-
ENSG00000109208	chr4	70360760	70367158	SMR3A	0	+
ENSG00000109471	chr4	122451470	122456725	IL2	0	-
ENSG00000109851	chr11	20156155	20160475	DBX1	0	-
ENSG00000110243	chr11	116789367	116792420	APOA5	0	-
ENSG00000110244	chr11	116820700	116823304	APOA4	0	-
ENSG00000110887	chr12	108858932	108901043	DAO	0	+
ENSG00000111046	chr12	80707634	80709474	MYF6	0	+
ENSG00000111049	chr12	80716912	80719671	MYF5	0	+
ENSG00000111241	chr12	4428155	4445815	FGF6	0	-
ENSG00000111536	chr12	68201349	68225810	IL26	0	-
ENSG00000111701	chr12	7649400	7665908	APOBEC1	0	-
ENSG00000111704	chr12	7787794	7799146	NANOG	0	+
ENSG00000111783	chr12	106583004	106762803	RFX4	0	+
ENSG00000112038	chr6	154010496	154246867	OPRM1	0	+
ENSG00000112077	chr6	49605175	49636839	RHAG	0	-
