Chr	Start	End	Name	Region_Type	Orientation
chr1	997172	1004138	HES4-ISG15	D	-+
chr1	1229031	1235237	SDF4-B3GALT6	D	-+
chr1	1270864	1283436	UBE2J2-SCNN1D	D	-+
chr1	1321687	1327756	INTS11-CPTP	D	-+
chr1	1418769	1428871	ANKRD65-TMEM88B	D	-+
chr1	2388707	2394775	MORN1-RER1	D	-+
chr1	6232972	6247179	ICMT-HES3	D	-+
chr1	6421670	6427776	HES2-ESPN	D	-+
chr1	6551513	6558307	NOL9-TAS1R1	D	-+
chr1	9940407	9946428	LZIC-NMNAT1	D	-+
chr1	11923428	11937205	KIAA2013-PLOD1	D	-+
chr1	12845720	12860086	HNRNPCL1-PRAMEF2	D	-+
chr1	13053575	13063769	PRAMEF27-HNRNPCL3	D	-+
chr1	13162631	13174848	HNRNPCL4-PRAMEF9	D	-+
chr1	15523534	15529813	CASP9-DNAJC16	D	-+
chr1	16434424	16443721	SPATA21-NECAP2	D	-+
chr1	19248552	19254805	EMC1-MRTO4	D	-+
chr1	19309144	19315326	AKR7A2-SLC66A1	D	-+
chr1	23016100	23022443	TEX46-KDM1A	D	-+
chr1	25427192	25433858	RHCE-MACO1	D	-+
chr1	26168832	26180484	ZNF593OS-CNKSR1	D	-+
chr1	26887283	26903238	GPN2-NUDC	D	-+
chr1	27380333	27395622	CD164L2-GPR3	D	-+
chr1	28230029	28239109	DNAJC8-ATP5IF1	D	-+
chr1	29227942	29239516	MECR-PTPRU	D	-+
chr1	31293788	31299982	SNRNP40-ZCCHC17	D	-+
chr1	33077996	33084104	AK2-AZIN2	D	-+
chr1	34162842	34169883	CSMD2-C1orf94	D	-+
chr1	35028741	35035172	ENSG00000271741-ZMYM1	D	-+
chr1	37689249	37695481	C1orf109-CDCA8	D	-+
chr1	38002606	38012258	FHL3-UTP11	D	-+
chr1	39688485	39695182	HPCAL4-PPIE	D	-+
chr1	42453253	42466221	ZMYND12-CCDC30	D	-+
chr1	43386808	43392882	MED8-SZT2	D	-+
chr1	45539732	45553543	PRDX1-AKR1A1	D	-+
chr1	46300616	46306698	LRRC41-UQCRH	D	-+
chr1	50020954	50027029	AGBL4-ELAVL4	D	-+
chr1	50957267	50963745	FAF1-CDKN2C	D	-+
chr1	52052191	52059199	TXNDC12-BTF3L4	D	-+
chr1	52924212	52930276	ECHDC2-SCP2	D	-+
chr1	53886798	53894239	YIPF1-DIO1	D	-+
chr1	53942699	53949085	HSPB11-LRRC42	D	-+
chr1	54050504	54056584	TMEM59-TCEANC2	D	-+
chr1	54798323	54809063	TTC22-LEXM	D	-+
chr1	66921856	66927895	DNAI4-MIER1	D	-+
chr1	74195187	74201235	LRRIQ3-FPGT-TNNI3K	D	-+
chr1	77976110	77982542	FUBP1-GIPC2	D	-+
chr1	84994113	85002147	MCOLN2-DNAI3	D	-+
chr1	85575363	85583761	DDAH1-CCN1	D	-+
chr1	86911424	86917635	SELENOF-HS2ST1	D	-+
chr1	92072411	92083305	SETSIP-BTBD8	D	-+
chr1	92295987	92302059	GLMN-RPAP2	D	-+
chr1	100892179	100899076	EXTL2-SLC30A7	D	-+
chr1	112708433	112721905	ENSG00000271810-TAFA3	D	-+
chr1	119645266	119651411	ZNF697-PHGDH	D	-+
chr1	145092528	145098974	SRGAP2B-FAM72D	D	-+
chr1	145923741	145930258	ENSG00000289565-ENSG00000280778	D	-+
chr1	149839750	149854061	H2AC18-H2AC19	D	-+
chr1	149883682	149889918	H2BC21-H2AC20	D	-+
chr1	151005376	151011420	MINDY1-PRUNE1	D	-+
chr1	151067325	151073578	CDC42SE1-GABPB2	D	-+
chr1	151192321	151200949	VPS72-PIP5K1A	D	-+
chr1	152803651	152814971	LCE1C-LCE1B	D	-+
chr1	153345841	153360854	PGLYRP4-S100A9	D	-+
chr1	153628360	153636982	S100A13-CHTOP	D	-+
chr1	153668028	153681688	ILF2-NPR1	D	-+
chr1	153983358	153993762	RAB13-RPS27	D	-+
chr1	154556028	154570778	UBE2Q1-CHRNB2	D	-+
chr1	154971395	154977653	SHC1-CKS1B	D	-+
chr1	155298438	155311748	PKLR-FDPS	D	-+
chr1	155560162	155566235	ASH1L-MSTO1	D	-+
chr1	155856400	155862567	GON4L-SYT11	D	-+
chr1	155931413	155944638	KHDC4-RXFP4	D	-+
chr1	156050798	156057782	UBQLN4-LAMTOR2	D	-+
chr1	156079465	156085573	MEX3A-LMNA	D	-+
chr1	156279825	156285935	SMG5-TMEM79	D	-+
chr1	156364873	156372211	CCT3-RHBG	D	-+
chr1	156569604	156582723	IQGAP3-TTC24	D	-+
chr1	156738590	156753610	MRPL24-PRCC	D	-+
chr1	161086558	161101361	NECTIN4-KLHDC9	D	-+
chr1	161306968	161317381	MPZ-SDHC	D	-+
chr1	162373854	162381841	SPATA46-C1orf226	D	-+
chr1	166972540	166978582	ILDR2-MAEL	D	-+
chr1	177161973	177173958	ASTN1-BRINP2	D	-+
chr1	179874803	179885042	TOR1AIP2-TOR1AIP1	D	-+
chr1	182397667	182412192	TEDDM1-RGSL1	D	-+
chr1	183632783	183639085	ARPC5-RGL1	D	-+
chr1	185154072	185160080	TRMT1L-SWT1	D	-+
chr1	186372693	186378838	TPR-ODR4	D	-+
chr1	201943588	201958503	LMOD1-TIMM17A	D	-+
chr1	202338984	202351699	UBE2T-PPP1R12B	D	-+
chr1	203083012	203093654	MYOG-ADORA1	D	-+
chr1	207029756	207037366	C1orf116-PFKFB2	D	-+
chr1	212788782	212794828	NSL1-TATDN3	D	-+
chr1	217628090	217634324	GPATCH2-SPATA17	D	-+
chr1	220087462	220097132	BPNT1-IARS2	D	-+
chr1	228454873	228461103	H2AW-H2BU1	D	-+
chr1	229623122	229629247	TAF5L-URB2	D	-+
chr1	230742576	230750384	AGT-CAPN9	D	-+
chr1	230975875	230981981	TTC13-ARV1	D	-+
chr1	231238187	231244207	C1orf131-GNPAT	D	-+
chr1	235325219	235331570	ARID4B-TBCE	D	-+
chr1	244448909	244457377	ADSS2-CATSPERE	D	-+
chr1	246563261	246569444	TFB2M-CNST	D	-+
chr1	247757556	247773169	OR1C1-OR9H1P	D	-+
chr2	3374830	3382675	EIPR1-TRAPPC12	D	-+
chr2	11667195	11680595	NTSR2-LPIN1	D	-+
chr2	23924123	23930285	ATAD2B-UBXN2A	D	-+
chr2	24073373	24079526	SF3B6-FAM228B	D	-+
chr2	26555756	26565585	OTOF-FAM166C	D	-+
chr2	27116128	27126789	CGREF1-ABHD1	D	-+
chr2	27136410	27152004	PRR30-TCF23	D	-+
chr2	27209958	27220369	SLC5A6-CAD	D	-+
chr2	27272817	27285429	SLC30A3-TRIM54	D	-+
chr2	27367338	27373496	EIF2B4-SNX17	D	-+
chr2	27492200	27499839	FNDC4-GCKR	D	-+
chr2	31230858	31237152	CAPN14-EHD3	D	-+
chr2	38748494	38754534	SRSF7-GEMIN6	D	-+
chr2	42490982	42497569	KCNG3-MTA3	D	-+
chr2	61885671	61891724	CCT4-COMMD1	D	-+
chr2	68464294	68470572	FBXO48-APLF	D	-+
chr2	70245615	70260386	C2orf42-PCYOX1	D	-+
chr2	71127239	71133310	MCEE-MPHOSPH10	D	-+
chr2	73230239	73236420	PRADC1-CCT7	D	-+
chr2	73777132	73787183	DUSP11-C2orf78	D	-+
chr2	74418662	74424678	ENSG00000159239-WDR54	D	-+
chr2	74504695	74516463	PCGF1-TLX2	D	-+
chr2	74645338	74657228	M1AP-SEMA4F	D	-+
chr2	85415432	85421714	CAPG-SH2D6	D	-+
chr2	85558532	85564562	GGCX-VAMP8	D	-+
chr2	86103155	86109223	POLR1A-PTCD3	D	-+
chr2	86192472	86202355	IMMT-MRPL35	D	-+
chr2	88061252	88070825	KRCC1-SMYD1	D	-+
chr2	88688518	88694673	EIF2AK3-RPIA	D	-+
chr2	95162391	95168432	ENSG00000289685-ZNF2	D	-+
chr2	96262997	96269159	TMEM127-CIAO1	D	-+
chr2	96318271	96328317	SNRNP200-ITPRIPL1	D	-+
chr2	97661044	97667217	ACTR1B-C2orf92	D	-+
chr2	98605515	98611579	COA5-UNC50	D	-+
chr2	101249866	101255886	TBC1D8-CNOT11	D	-+
chr2	102733888	102739905	MFSD9-TMEM182	D	-+
chr2	105326735	105340532	TGFBRAP1-C2orf49	D	-+
chr2	109611143	109617364	SEPTIN10-SOWAHC	D	-+
chr2	113049867	113061638	IL36B-IL36RN	D	-+
chr2	119363834	119369924	C2orf76-DBI	D	-+
chr2	121733911	121740103	NIFK-TSN	D	-+
chr2	127523886	127538683	IWS1-MYO7B	D	-+
chr2	130339699	130345877	CCDC115-IMP4	D	-+
