Chr	Start	End	Name	Region_Type	Orientation
chr1	898099	904862	KLHL17-PLEKHN1	T	++
chr1	946920	958500	ISG15-AGRN	T	++
chr1	1006686	1020198	RNF223-C1orf159	T	--
chr1	1138972	1149706	TNFRSF18-TNFRSF4	T	--
chr1	1146533	1155311	TNFRSF4-SDF4	T	--
chr1	1179102	1192289	C1QTNF12-UBE2J2	T	--
chr1	1241989	1249965	ACAP3-INTS11	T	--
chr1	1281798	1291069	DVL1-MXRA8	T	--
chr1	1331715	1340289	CCNL2-MRPL20	T	--
chr1	1362635	1373241	TMEM88B-VWA1	T	++
chr1	1375262	1388069	VWA1-ATAD3C	T	++
chr1	1402543	1410145	ATAD3C-ATAD3B	T	++
chr1	1473004	1480053	TMEM240-SSU72	T	--
chr1	1587473	1593990	CDK11B-SLC35E2B	T	--
chr1	1621234	1636818	SLC35E2B-CDK11A	T	--
chr1	1708896	1719724	NADK-GNB1	T	--
chr1	1847718	1856390	TMEM52-CFAP74	T	--
chr1	2455036	2463184	PANK4-HES5	T	--
chr1	2561455	2571425	MMEL1-TTC34	T	--
chr1	3685209	3692313	CCDC27-SMIM1	T	++
chr1	6237381	6248080	CHD5-RPL22	T	--
chr1	6318158	6327329	GPR153-ACOT7	T	--
chr1	6577134	6584407	PLEKHG5-NOL9	T	--
chr1	6636815	6643054	TAS1R1-ZBTB48	T	++
chr1	7826766	7834356	CAMTA1-VAMP3	T	++
chr1	7838492	7847351	VAMP3-PER3	T	++
chr1	9083482	9098165	SLC2A7-SLC2A5	T	--
chr1	9642231	9651969	SLC25A33-TMEM201	T	++
chr1	10477568	10493159	PGD-CENPS-CORT	T	++
chr1	11104296	11117641	MASP2-SRM	T	--
chr1	11117077	11129675	SRM-EXOSC10	T	--
chr1	11156926	11169592	EXOSC10-MTOR	T	--
chr1	11811859	11824844	AGTRAP-C1orf167	T	++
chr1	12032595	12043238	PLOD1-MFN2	T	++
chr1	12072268	12082523	MFN2-MIIP	T	++
chr1	12943025	12955727	PRAMEF4-PRAMEF10	T	--
chr1	15723779	15739384	FHAD1-EFHD2	T	++
chr1	15753835	15767938	EFHD2-CTRC	T	++
chr1	16058264	16065753	PLEKHM2-SLC25A34	T	++
chr1	16064887	16071994	SLC25A34-TMEM82	T	++
chr1	16071477	16086102	TMEM82-FBLIM1	T	++
chr1	16357545	16369747	CLCNKA-CLCNKB	T	++
chr1	16553038	16561187	KNOWN-CPLANE2	T	--
chr1	16560678	16576335	CPLANE2-FBXO42	T	--
chr1	17304127	17315453	MFAP2-ATP13A2	T	--
chr1	17335423	17348217	ATP13A2-SDHB	T	--
chr1	17569502	17578593	PADI1-PADI3	T	++
chr1	17687499	17701691	PADI4-PADI6	T	++
chr1	19533760	19545154	UBR4-EMC1	T	--
chr1	19597688	19612067	AKR7L-AKR7A3	T	--
chr1	19981949	19994368	NBL1-HTR6	T	++
chr1	20985037	20993507	DDOST-KIF17	T	--
chr1	21041510	21049224	KIF17-SH2D5	T	--
chr1	21056330	21069759	SH2D5-HP1BP3	T	--
chr1	21992850	22007791	RAP1GAP-USP48	T	--
chr1	22322135	22331150	CELA3B-CELA3A	T	++
chr1	22967560	22982255	ENSG00000289692-C1QB	T	++
chr1	23748241	23758056	TCEA3-ASAP3	T	--
chr1	24111722	24120635	PITHD1-LYPLA2	T	++
chr1	24124271	24131375	GALE-HMGCL	T	--
chr1	24162110	24174567	HMGCL-FUCA1	T	--
chr1	24191780	24200005	FUCA1-CNR2	T	--
chr1	24435625	24449261	MYOM3-IL22RA1	T	--
chr1	25555993	25571740	SYF2-RSRP1	T	--
chr1	26182949	26190975	AUNIP-PAQR7	T	--
chr1	26199199	26213672	PAQR7-STMN1	T	--
chr1	26369609	26380792	SLC30A2-TRIM63	T	--
chr1	26492454	26499007	C1orf232-ZNF593OS	T	--
chr1	26513375	26520052	CNKSR1-CATSPER4	T	++
chr1	26641854	26651189	UBXN11-CRYBG2	T	--
chr1	26683571	26691125	CRYBG2-ZNF683	T	--
chr1	26753219	26761773	LIN28A-DHDDS	T	++
chr1	26794797	26801931	DHDDS-HMGN2	T	++
chr1	27105595	27116545	ARID1A-PIGV	T	++
chr1	27181095	27192640	ZDHHC18-SFN	T	++
chr1	27659891	27671511	TMEM222-SYTL1	T	++
chr1	27690452	27698601	MAP3K6-FCN3	T	--
chr1	27698315	27708666	FCN3-CD164L2	T	--
chr1	27927942	27941575	AHDC1-FGR	T	--
chr1	28147954	28160293	STX12-PPP1R8	T	++
chr1	28282668	28289099	SMPDL3B-XKR8	T	++
chr1	28517447	28528967	PTAFR-DNAJC8	T	--
chr1	28823876	28835455	PHACTR4-RCC1	T	++
chr1	31193432	31208316	MATN1-LAPTM5	T	--
chr1	32107497	32120864	PEF1-COL16A1	T	--
chr1	32565467	32576657	TMEM39B-KPNA6	T	++
chr1	32639164	32648276	KPNA6-TXLNA	T	++
chr1	32660886	32669196	TXLNA-CCDC28B	T	++
chr1	32668054	32674272	CCDC28B-IQCC	T	++
chr1	32707998	32715823	EIF3I-FAM167B	T	++
chr1	32711457	32719845	FAM167B-LCK	T	++
chr1	32748766	32760684	LCK-HDAC1	T	++
chr1	33783699	33792224	A3GALT2-PHC2	T	--
chr1	35322356	35334037	SMIM12-DLGAP3	T	--
chr1	36181495	36188819	C1orf216-CLSPN	T	--
chr1	36393133	36399319	AGO1-AGO3	T	++
chr1	36550876	36557493	TEKT2-ADPRS	T	++
chr1	36767958	36774969	THRAP3-SH3D21	T	++
chr1	36848525	36859839	STK40-LSM10	T	--
chr1	36913052	36924319	OSCP1-MRPS15	T	--
chr1	36926985	36934644	MRPS15-CSF3R	T	--
chr1	38270880	38278246	YRDC-MTF1	T	--
chr1	38322264	38329369	MTF1-INPP5B	T	--
chr1	38409729	38425647	INPP5B-SF3A3	T	--
