Hugo_Symbol	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
HRAS	17	1	0	0	0	18	18	18
TCHH	18	0	0	0	0	18	15	15
ZNF804A	15	0	0	0	0	15	15	15
ARID1A	9	7	0	0	0	16	14	14
MAGEC1	13	2	0	0	0	15	14	14
NES	14	1	0	0	0	15	14	14
ACTB	13	1	0	0	0	14	14	14
METTL3	14	1	0	0	0	15	13	13
ADAM29	10	3	0	0	0	13	12	12
KCNB2	13	0	0	0	0	13	12	12
IRX1	11	1	0	0	0	12	12	12
USP29	14	0	0	0	0	14	11	11
ZNF750	12	2	0	0	0	14	11	11
SCG2	12	0	0	0	0	12	11	11
ACTG1	10	1	0	0	0	11	11	11
LRRC66	11	0	0	0	0	11	11	11
NFE2L3	11	0	0	0	0	11	11	11
PPP1R3A	9	2	0	0	0	11	11	11
RLF	10	1	0	0	0	11	11	11
RP1L1	10	1	0	0	0	11	11	11
ZNF502	10	1	0	0	0	11	11	11
CHGB	12	0	0	0	0	12	10	10
PPL	11	1	0	0	0	12	10	10
RBBP6	10	1	0	0	0	11	10	10
SPATA31A1	10	1	0	0	0	11	10	10
ZIM3	9	2	0	0	0	11	10	10
ZNF160	11	0	0	0	0	11	10	10
OR4P4	10	0	0	0	0	10	10	10
TMEM200A	10	0	0	0	0	10	10	10
PRX	12	1	0	0	0	13	9	9
HSPA8	9	1	0	0	0	10	9	9
ZFP36L1	7	3	0	0	0	10	9	9
AMIGO3	8	1	0	0	0	9	9	9
ELF3	8	1	0	0	0	9	9	9
EMILIN3	9	0	0	0	0	9	9	9
FAT4	7	2	0	0	0	9	9	9
FLG	9	0	0	0	0	9	9	9
HSPA1L	9	0	0	0	0	9	9	9
KMT2E	8	1	0	0	0	9	9	9
OR4N2	8	1	0	0	0	9	9	9
OR8K3	9	0	0	0	0	9	9	9
PCDH20	7	1	1	0	0	9	9	9
SPHK2	8	1	0	0	0	9	9	9
ZBTB7B	8	1	0	0	0	9	9	9
ZNF112	8	1	0	0	0	9	9	9
ZNF14	9	0	0	0	0	9	9	9
ZNF180	8	1	0	0	0	9	9	9
ZNF35	9	0	0	0	0	9	9	9
ZNF804B	9	0	0	0	0	9	9	9
GPS2	4	5	0	2	0	11	8	8
ZNF425	10	0	0	0	0	10	8	8
ZNF599	10	0	0	0	0	10	8	8
