Chr	Start	End	Mutation	Size	Middle	Start_C	End_C	Mutations_C
chr1	32202502	32207732	32207474	5230	32205117	-2615	2615	2357
chr1	11847599	11853093	11847627	5494	11850346	-2747	2747	-2719
chr1	149886886	149889648	149887265	2762	149888267	-1381	1381	-1002
chr1	1915137	1918067	1916828	2930	1916602	-1465	1465	226
chr1	154990293	154994176	154993642	3883	154992234	-1941	1942	1408
chr1	26182702	26187437	26187188	4735	26185069	-2367	2368	2119
chr1	155941011	155944906	155942473	3895	155942958	-1947	1948	-485
chr1	149886886	149889648	149887475	2762	149888267	-1381	1381	-792
chr1	1915137	1918067	1916819	2930	1916602	-1465	1465	217
chr1	45617194	45623000	45621953	5806	45620097	-2903	2903	1856
chr1	33321856	33324631	33323806	2775	33323243	-1387	1388	563
chr1	149886886	149889648	149887046	2762	149888267	-1381	1381	-1221
chr1	149886886	149889648	149887316	2762	149888267	-1381	1381	-951
chr1	155941011	155944906	155942618	3895	155942958	-1947	1948	-340
chr1	45617194	45623000	45622814	5806	45620097	-2903	2903	2717
chr1	151170822	151175655	151174830	4833	151173238	-2416	2417	1592
chr1	151170822	151175655	151174492	4833	151173238	-2416	2417	1254
chr1	44782831	44785213	44784666	2382	44784022	-1191	1191	644
chr1	155941011	155944906	155942696	3895	155942958	-1947	1948	-262
chr1	154990293	154994176	154993959	3883	154992234	-1941	1942	1725
chr1	151175675	151178927	151176917	3252	151177301	-1626	1626	-384
chr1	149886886	149889648	149887097	2762	149888267	-1381	1381	-1170
chr1	149886886	149889648	149887749	2762	149888267	-1381	1381	-518
chr1	149886886	149889648	149887584	2762	149888267	-1381	1381	-683
chr1	155941011	155944906	155942707	3895	155942958	-1947	1948	-251
chr1	154990293	154994176	154990329	3883	154992234	-1941	1942	-1905
chr1	32202502	32207732	32207279	5230	32205117	-2615	2615	2162
chr1	149886886	149889648	149887226	2762	149888267	-1381	1381	-1041
chr1	151170822	151175655	151174776	4833	151173238	-2416	2417	1538
chr1	45617194	45623000	45622606	5806	45620097	-2903	2903	2509
chr1	149886886	149889648	149887261	2762	149888267	-1381	1381	-1006
chr1	45617194	45623000	45622793	5806	45620097	-2903	2903	2696
chr1	151175675	151178927	151178084	3252	151177301	-1626	1626	783
chr1	149886886	149889648	149887004	2762	149888267	-1381	1381	-1263
chr1	154990293	154994176	154992746	3883	154992234	-1941	1942	512
chr1	154990293	154994176	154993659	3883	154992234	-1941	1942	1425
