0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	Middle	Start	End
chr1	963535	968263	2	1895.0	-657.0																												965899	-2364	2364
chr1	1022832	1027254	0																														1025043	-2211	2211
chr1	1267872	1271496	0																														1269684	-1812	1812
chr1	1342813	1347267	0																														1345040	-2227	2227
chr1	1370140	1372391	0																														1371265	-1125	1126
chr1	1405968	1413830	0																														1409899	-3931	3931
chr1	1532379	1537640	1	1022.0																													1535009	-2630	2631
chr1	1538009	1541656	0																														1539832	-1823	1824
chr1	1541736	1543981	0																														1542858	-1122	1123
chr1	1602709	1606905	0																														1604807	-2098	2098
chr1	1614359	1617352	0																														1615855	-1496	1497
chr1	1657211	1662285	0																														1659748	-2537	2537
chr1	1725491	1728192	0																														1726841	-1350	1351
chr1	1777912	1780271	0																														1779091	-1179	1180
chr1	1780322	1786118	0																														1783220	-2898	2898
chr1	1889515	1892688	0																														1891101	-1586	1587
chr1	1915137	1918067	2	-226.0	-217.0																												1916602	-1465	1465
chr1	2388166	2392941	2	2295.0	2262.0																												2390553	-2387	2388
chr1	2393373	2395165	0																														2394269	-896	896
chr1	6211044	6214118	7	191.0	687.0	614.0	-586.0	-243.0	-288.0	213.0																							6212581	-1537	1537
chr1	6577938	6581497	3	493.0	-986.0	-1024.0																											6579717	-1779	1780
chr1	7782802	7785543	0																														7784172	-1370	1371
chr1	8025308	8027928	0																														8026618	-1310	1310
chr1	8875612	8880655	0																														8878133	-2521	2522
chr1	9236853	9238520	0																														9237686	-833	834
chr1	11053065	11060620	2	125.0	-2431.0																												11056842	-3777	3778
chr1	15834147	15835973	1	-557.0																													15835060	-913	913
chr1	15971348	15977601	0																														15974474	-3126	3127
chr1	16611274	16615778	0																														16613526	-2252	2252
chr1	17437125	17440021	0																														17438573	-1448	1448
chr1	19253018	19254861	0																														19253939	-921	922
chr1	19311895	19318460	1	-2553.0																													19315177	-3282	3283
chr1	19483860	19486729	0																														19485294	-1434	1435
chr1	19487675	19488831	0																														19488253	-578	578
chr1	19596619	19598190	0																														19597404	-785	786
chr1	20505729	20507647	0																														20506688	-959	959
chr1	21339755	21343118	0																														21341436	-1681	1682
chr1	21343530	21346841	0																														21345185	-1655	1656
chr1	21671527	21673699	0																														21672613	-1086	1086
chr1	23422988	23426067	0																														23424527	-1539	1540
chr1	23691991	23694027	0																														23693009	-1018	1018
chr1	23742077	23744357	0																														23743217	-1140	1140
chr1	23958954	23961374	0																														23960164	-1210	1210
chr1	23975171	23978259	0																														23976715	-1544	1544
chr1	23979715	23982041	1	566.0																													23980878	-1163	1163
chr1	25874873	25878009	0																														25876441	-1568	1568
chr1	25905277	25907252	0																														25906264	-987	988
chr1	26168774	26173169	0																														26170971	-2197	2198
chr1	26468716	26469811	2	-63.0	301.0																												26469263	-547	548
chr1	26470760	26473631	1	-1309.0																													26472195	-1435	1436
chr1	26692212	26699815	0																														26696013	-3801	3802
chr1	26786670	26789109	0																														26787889	-1219	1220
chr1	26889215	26895939	3	-827.0	-128.0	1530.0																											26892577	-3362	3362
chr1	27337300	27341270	0																														27339285	-1985	1985
chr1	27363084	27367245	1	290.0																													27365164	-2080	2081
chr1	28508516	28511311	0																														28509913	-1397	1398
chr1	28736003	28738275	1	-437.0																													28737139	-1136	1136
chr1	29179322	29181740	0																														29180531	-1209	1209
chr1	30720498	30722377	0																														30721437	-939	940
chr1	32012132	32015346	0																														32013739	-1607	1607
chr1	32196214	32201054	0																														32198634	-2420	2420
chr1	32202502	32207732	3	-2357.0	1192.0	-2162.0																											32205117	-2615	2615
chr1	32388382	32392473	0																														32390427	-2045	2046
chr1	32813961	32818240	0																														32816100	-2139	2140
chr1	33255300	33259816	0																														33257558	-2258	2258
chr1	33321856	33324631	1	-563.0																													33323243	-1387	1388
chr1	34855299	34857231	1	871.0																													34856265	-966	966
chr1	35191421	35193804	2	-438.0	-354.0																												35192612	-1191	1192
chr1	35568981	35571182	0																														35570081	-1100	1101
chr1	35930123	35931726	0																														35930924	-801	802
chr1	36087282	36090966	1	1150.0																													36089124	-1842	1842
chr1	36306051	36310275	0																														36308163	-2112	2112
chr1	36380554	36384434	0																														36382494	-1940	1940
chr1	36384726	36389466	0																														36387096	-2370	2370
chr1	37473322	37476070	0																														37474696	-1374	1374
chr1	37552317	37555665	1	1304.0																													37553991	-1674	1674
chr1	37594332	37595600	0																														37594966	-634	634
chr1	37691157	37694903	0																														37693030	-1873	1873
chr1	37805349	37809614	2	579.0	-1628.0																												37807481	-2132	2133
chr1	37985555	37987597	0																														37986576	-1021	1021
chr1	37987626	37993686	0																														37990656	-3030	3030
chr1	38990210	38992393	0																														38991301	-1091	1092
chr1	39024341	39028618	0																														39026479	-2138	2139
chr1	39573504	39577639	0																														39575571	-2067	2068
chr1	40039674	40042412	0																														40041043	-1369	1369
chr1	40691214	40692994	1	274.0																													40692104	-890	890
chr1	40979514	40981285	0																														40980399	-885	886
chr1	41026153	41029083	0																														41027618	-1465	1465
chr1	42784046	42788476	0																														42786261	-2215	2215
chr1	42816044	42817506	2	334.0	283.0																												42816775	-731	731
chr1	42957940	42959329	0																														42958634	-694	695
chr1	43271233	43274984	0																														43273108	-1875	1876
chr1	43360652	43361855	0																														43361253	-601	602
chr1	43362511	43368474	2	2359.0	2434.0																												43365492	-2981	2982
chr1	43386394	43389005	2	1099.0	1111.0																												43387699	-1305	1306
chr1	43934167	43937911	2	-649.0	437.0																												43936039	-1872	1872
chr1	43972896	43974124	0																														43973510	-614	614
chr1	43978611	43986441	0																														43982526	-3915	3915
chr1	44213785	44215897	0																														44214841	-1056	1056
chr1	44776008	44781385	1	1081.0																													44778696	-2688	2689
chr1	44782831	44785213	1	-644.0																													44784022	-1191	1191
chr1	45002551	45008655	7	-2907.0	724.0	-1375.0	-2763.0	-2731.0	1678.0	694.0																							45005603	-3052	3052
chr1	45586769	45590003	0																														45588386	-1617	1617
chr1	45617194	45623000	4	-1856.0	-2717.0	-2509.0	-2696.0																										45620097	-2903	2903
chr1	45623157	45627396	0																														45625276	-2119	2120
chr1	45685412	45687572	0																														45686492	-1080	1080
chr1	46301164	46303751	0																														46302457	-1293	1294
chr1	51342705	51346997	0																														51344851	-2146	2146
chr1	51347468	51353024	0																														51350246	-2778	2778
chr1	51517811	51519824	0																														51518817	-1006	1007
chr1	52695632	52699595	0																														52697613	-1981	1982
chr1	53236464	53239145	0																														53237804	-1340	1341
chr1	53325461	53330155	0																														53327808	-2347	2347
chr1	58543280	58545901	0																														58544590	-1310	1311
chr1	58575507	58578070	2	272.0	272.0																												58576788	-1281	1282
chr1	58699052	58700844	0																														58699948	-896	896
chr1	58780835	58786137	2	773.0	749.0																												58783486	-2651	2651
chr1	62435646	62438023	1	-305.0																													62436834	-1188	1189
chr1	65420273	65424490	0																														65422381	-2108	2109
chr1	67428820	67431328	0																														67430074	-1254	1254
chr1	77682859	77685609	0																														77684234	-1375	1375
chr1	77976171	77977756	0																														77976963	-792	793
chr1	84504965	84507348	0																														84506156	-1191	1192
chr1	85200410	85202209	0																														85201309	-899	900
chr1	85275807	85280169	0																														85277988	-2181	2181
