Chr	Start	End	Name	Region_Type	Orientation
chr1	932552	939518	HES4-ISG15	D	-+
chr1	1164411	1170617	SDF4-B3GALT6	D	-+
chr1	1206244	1218816	UBE2J2-SCNN1D	D	-+
chr1	1257067	1263136	INTS11-CPTP	D	-+
chr1	1354149	1364251	ANKRD65-TMEM88B	D	-+
chr1	2320146	2326214	MORN1-RER1	D	-+
chr1	6293032	6307239	ICMT-HES3	D	-+
chr1	6481730	6487836	HES2-ESPN	D	-+
chr1	6611573	6618367	NOL9-TAS1R1	D	-+
chr1	10000465	10006486	LZIC-NMNAT1	D	-+
chr1	11983485	11997262	KIAA2013-PLOD1	D	-+
chr1	12905573	12919941	HNRNPCL1-PRAMEF2	D	-+
chr1	15850029	15856308	CASP9-DNAJC16	D	-+
chr1	16760919	16770216	SPATA21-NECAP2	D	-+
chr1	17057956	17069768	KNOWN-CROCC	D	-+
chr1	19575046	19581299	EMC1-MRTO4	D	-+
chr1	19635638	19641820	AKR7A2-SLC66A1	D	-+
chr1	23342593	23348936	TEX46-KDM1A	D	-+
chr1	25753683	25760349	RHCE-MACO1	D	-+
chr1	26495323	26506975	ZNF593OS-CNKSR1	D	-+
chr1	27213774	27229729	GPN2-NUDC	D	-+
chr1	27706823	27722126	CD164L2-GPR3	D	-+
chr1	28556540	28565620	DNAJC8-ATP5IF1	D	-+
chr1	29554454	29566028	MECR-PTPRU	D	-+
chr1	31766635	31772829	SNRNP40-ZCCHC17	D	-+
chr1	33427410	33442268	RNF19B-KNOWN	D	-+
chr1	33543597	33549705	AK2-AZIN2	D	-+
chr1	34628443	34635484	CSMD2-C1orf94	D	-+
chr1	35494342	35500773	ENSG00000271741-ZMYM1	D	-+
chr1	38154921	38161153	C1orf109-CDCA8	D	-+
chr1	38468278	38477930	FHL3-UTP11	D	-+
chr1	40154157	40160854	HPCAL4-PPIE	D	-+
chr1	42918924	42931892	ZMYND12-CCDC30	D	-+
chr1	43852479	43858553	MED8-SZT2	D	-+
chr1	46005404	46019215	PRDX1-AKR1A1	D	-+
chr1	46766288	46772370	LRRC41-UQCRH	D	-+
chr1	50486626	50492701	AGBL4-ELAVL4	D	-+
chr1	51422939	51429417	FAF1-CDKN2C	D	-+
chr1	52517863	52524871	TXNDC12-BTF3L4	D	-+
chr1	53389884	53395948	ECHDC2-SCP2	D	-+
chr1	54352471	54359912	YIPF1-DIO1	D	-+
chr1	54408372	54414758	HSPB11-LRRC42	D	-+
chr1	54516177	54522257	TMEM59-TCEANC2	D	-+
chr1	55263996	55274736	TTC22-LEXM	D	-+
chr1	67387539	67393578	DNAI4-MIER1	D	-+
chr1	74660871	74666919	LRRIQ3-FPGT-TNNI3K	D	-+
chr1	78441794	78448226	FUBP1-GIPC2	D	-+
chr1	85459796	85467830	MCOLN2-DNAI3	D	-+
chr1	86041046	86049444	DDAH1-CCN1	D	-+
chr1	87377107	87383318	SELENOF-HS2ST1	D	-+
chr1	92537968	92548862	SETSIP-BTBD8	D	-+
chr1	92761544	92767616	GLMN-RPAP2	D	-+
chr1	101357735	101364632	EXTL2-SLC30A7	D	-+
chr1	113251055	113264527	ENSG00000271810-TAFA3	D	-+
chr1	120187889	120194034	ZNF697-PHGDH	D	-+
chr1	145504835	145511352	ENSG00000280778-ENSG00000289565	D	-+
chr1	149811478	149825628	KNOWN-H2AC19	D	-+
chr1	149855232	149861468	H2BC21-H2AC20	D	-+
chr1	150977852	150983896	MINDY1-PRUNE1	D	-+
chr1	151039801	151046054	CDC42SE1-GABPB2	D	-+
chr1	151164797	151173425	VPS72-PIP5K1A	D	-+
chr1	152776127	152787447	LCE1C-LCE1B	D	-+
chr1	153318317	153333330	PGLYRP4-S100A9	D	-+
chr1	153600836	153609458	S100A13-CHTOP	D	-+
chr1	153640504	153654164	ILF2-NPR1	D	-+
chr1	153955834	153966238	RAB13-RPS27	D	-+
chr1	154528504	154543254	UBE2Q1-CHRNB2	D	-+
chr1	154943871	154950129	SHC1-CKS1B	D	-+
chr1	155268229	155281539	PKLR-FDPS	D	-+
chr1	155529953	155536026	ASH1L-MSTO1	D	-+
chr1	155826191	155832358	GON4L-SYT11	D	-+
chr1	155901204	155914429	KHDC4-RXFP4	D	-+
chr1	156020589	156027573	UBQLN4-LAMTOR2	D	-+
chr1	156049256	156055364	MEX3A-LMNA	D	-+
chr1	156249616	156255726	SMG5-TMEM79	D	-+
chr1	156334664	156342002	CCT3-RHBG	D	-+
chr1	156539396	156552515	IQGAP3-TTC24	D	-+
chr1	156708382	156723402	MRPL24-PRCC	D	-+
chr1	161056348	161071151	NECTIN4-KLHDC9	D	-+
chr1	161276758	161287171	MPZ-SDHC	D	-+
chr1	162343644	162351631	SPATA46-C1orf226	D	-+
chr1	166941777	166947819	ILDR2-MAEL	D	-+
chr1	177131109	177143094	ASTN1-BRINP2	D	-+
chr1	179843938	179854177	TOR1AIP2-TOR1AIP1	D	-+
chr1	182366802	182381327	TEDDM1-RGSL1	D	-+
chr1	183601918	183608220	ARPC5-RGL1	D	-+
chr1	185123204	185129212	TRMT1L-SWT1	D	-+
chr1	186341825	186347970	TPR-ODR4	D	-+
chr1	201912716	201927631	LMOD1-TIMM17A	D	-+
chr1	202308112	202320827	UBE2T-PPP1R12B	D	-+
chr1	203052140	203062782	MYOG-ADORA1	D	-+
chr1	207203101	207210711	C1orf116-PFKFB2	D	-+
chr1	212962124	212968170	NSL1-TATDN3	D	-+
chr1	217801432	217807666	GPATCH2-SPATA17	D	-+
chr1	220260804	220270474	BPNT1-IARS2	D	-+
chr1	228642574	228648804	H2AW-H2BU1	D	-+
chr1	229758869	229764994	TAF5L-URB2	D	-+
chr1	230878322	230886130	AGT-CAPN9	D	-+
chr1	231111621	231117727	TTC13-ARV1	D	-+
chr1	231373933	231379953	C1orf131-GNPAT	D	-+
chr1	235488534	235494885	ARID4B-TBCE	D	-+
chr1	244612211	244620679	ADSS2-CATSPERE	D	-+
chr1	246726563	246732746	TFB2M-CNST	D	-+
chr1	247920858	247936471	OR1C1-OR9H1P	D	-+
chr2	3378601	3386446	EIPR1-TRAPPC12	D	-+
chr2	11807321	11820721	NTSR2-LPIN1	D	-+
chr2	24146993	24153155	ATAD2B-UBXN2A	D	-+
chr2	24296243	24302396	SF3B6-FAM228B	D	-+
chr2	26778624	26788453	OTOF-FAM166C	D	-+
chr2	27338996	27349657	CGREF1-ABHD1	D	-+
chr2	27359278	27374872	PRR30-TCF23	D	-+
chr2	27432826	27443237	SLC5A6-CAD	D	-+
chr2	27495685	27508297	SLC30A3-TRIM54	D	-+
chr2	27590205	27596363	EIF2B4-SNX17	D	-+
chr2	27715067	27722706	FNDC4-GCKR	D	-+
chr2	31453724	31460018	CAPN14-EHD3	D	-+
chr2	38975636	38981676	SRSF7-GEMIN6	D	-+
chr2	42718122	42724709	KCNG3-MTA3	D	-+
chr2	62112806	62118859	CCT4-COMMD1	D	-+
chr2	68691426	68697704	FBXO48-APLF	D	-+
chr2	70472747	70487518	C2orf42-PCYOX1	D	-+
chr2	71354369	71360440	MCEE-MPHOSPH10	D	-+
chr2	73457367	73463548	PRADC1-CCT7	D	-+
chr2	74004259	74014310	DUSP11-C2orf78	D	-+
chr2	74645789	74651805	ENSG00000159239-WDR54	D	-+
chr2	74731822	74743590	PCGF1-TLX2	D	-+
chr2	74872465	74884355	M1AP-SEMA4F	D	-+
chr2	85642555	85648837	CAPG-SH2D6	D	-+
chr2	85785655	85791685	GGCX-VAMP8	D	-+
chr2	86330278	86336346	POLR1A-PTCD3	D	-+
chr2	86419595	86429478	IMMT-MRPL35	D	-+
chr2	88360771	88370344	KRCC1-SMYD1	D	-+
chr2	88988036	88994191	EIF2AK3-RPIA	D	-+
chr2	95828136	95834177	ENSG00000289685-ZNF2	D	-+
chr2	96928735	96934897	TMEM127-CIAO1	D	-+
chr2	96984009	96994055	SNRNP200-ITPRIPL1	D	-+
chr2	98277507	98283680	ACTR1B-C2orf92	D	-+
chr2	99221978	99228042	COA5-UNC50	D	-+
chr2	101866328	101872348	TBC1D8-CNOT11	D	-+
chr2	103350347	103356364	MFSD9-TMEM182	D	-+
chr2	105943192	105956989	TGFBRAP1-C2orf49	D	-+
chr2	110368720	110374941	SEPTIN10-SOWAHC	D	-+
chr2	113807444	113819215	IL36B-IL36RN	D	-+
chr2	120121410	120127500	C2orf76-DBI	D	-+
chr2	122491487	122497679	NIFK-TSN	D	-+
chr2	128281462	128296259	IWS1-MYO7B	D	-+
chr2	131097272	131103450	CCDC115-IMP4	D	-+
chr2	136285788	136292025	ZRANB3-R3HDM1	D	-+
chr2	158729842	158736214	ACVR1-UPP2	D	-+
chr2	159310265	159316464	CCDC148-PKP4	D	-+
chr2	170547915	170553998	CFAP210-KLHL23	D	-+
chr2	172861766	172867850	SLC25A12-METAP1D	D	-+
chr2	175257440	175263458	CIR1-SCRN3	D	-+
chr2	176945690	176960449	EVX2-HOXD13	D	-+
chr2	178970066	178980151	PDE11A-RBM45	D	-+
chr2	179340327	179348184	FKBP7-PLEKHA3	D	-+
chr2	201751026	201757050	PPIL3-NIF3L1	D	-+
chr2	202643835	202658184	ALS2-CDK15	D	-+
chr2	207021233	207027309	NDUFS1-EEF1B2	D	-+
chr2	207627052	207633081	MDH1B-FASTKD2	D	-+
chr2	209127798	209133979	IDH1-PIKFYVE	D	-+
chr2	211339376	211345406	LANCL1-CPS1	D	-+
chr2	218895705	218902683	TNS1-RUFY4	D	-+
chr2	219430074	219436303	USP37-CNOT9	D	-+
chr2	219533725	219539792	RNF25-STK36	D	-+
chr2	220032549	220043947	ENSG00000280537-RETREG2	D	-+
chr2	220139624	220147064	TUBA4A-DNAJB2	D	-+
chr2	228026169	228032340	COL4A4-COL4A3	D	-+
chr2	228476556	228485214	SCYGR3-SCYGR4	D	-+
chr2	228586473	228596051	SCYGR6-SCYGR7	D	-+
chr2	241619323	241634283	AQP12B-AQP12A	D	-+
chr2	241833306	241848747	MAB21L4-CROCC2	D	-+
chr2	242573573	242579628	THAP4-ATG4B	D	-+
chr2	242623359	242629500	DTYMK-ING5	D	-+
chr3	14163370	14169515	CHCHD4-TMEM43	D	-+
chr3	14217121	14223317	XPC-LSM3	D	-+
chr3	19985517	19991589	EFHB-RAB5A	D	-+
chr3	37031622	37037841	EPM2AIP1-MLH1	D	-+
chr3	38068133	38083696	PLCD1-DLEC1	D	-+
chr3	42843010	42853938	ENSG00000280571-ENSG00000273291	D	-+
chr3	44800111	44806213	KIAA1143-KIF15	D	-+
chr3	46523724	46539101	LTF-RTP3	D	-+
chr3	46645438	46657015	LRRC2-FAM240A	D	-+
chr3	46732194	46739018	ALS2CL-TMIE	D	-+
chr3	48478866	48491114	CCDC51-ATRIP	D	-+
chr3	49200764	49212031	CCDC71-KLHDC8B	D	-+
chr3	49226291	49238861	C3orf84-IHO1	D	-+
chr3	49834306	49843694	CDHR4-INKA1	D	-+
chr3	49964606	49980440	MON1A-RBM6	D	-+
chr3	51972920	51979361	RRP9-PARP3	D	-+
chr3	52005032	52011722	PCBP4-ABHD14A-ACY1	D	-+
chr3	52441024	52447676	BAP1-PHF7	D	-+
chr3	52485057	52492134	TNNC1-NISCH	D	-+
chr3	52801962	52814611	NEK4-ITIH1	D	-+
chr3	57258634	57264754	HESX1-APPL1	D	-+
chr3	69126559	69137088	UBA3-ARL6IP5	D	-+
chr3	88196035	88202109	CGGBP1-C3orf38	D	-+
chr3	93695847	93701983	PROS1-ARL13B	D	-+
chr3	100116933	100123376	TOMM70-LNP1	D	-+
chr3	108305491	108311552	CIP2A-DZIP3	D	-+
chr3	108833981	108840099	MORC1-C3orf85	D	-+
chr3	113462147	113468880	NAA50-ATP6V1A	D	-+
chr3	118861915	118869222	IGSF11-ENSG00000251012	D	-+
chr3	119184677	119190810	TMEM39A-POGLUT1	D	-+
chr3	121550926	121557030	IQCB1-EAF2	D	-+
chr3	122099078	122106008	MIX23-FAM162A	D	-+
chr3	122509678	122516916	HSPBAP1-SLC49A4	D	-+
chr3	127314110	127320253	TPRA1-MCM2	D	-+
chr3	129144494	129151450	EFCAB12-IFT122	D	-+
chr3	138662979	138669059	FOXL2-FOXL2NB	D	-+
chr3	142679516	142686339	PAQR9-U2SURP	D	-+
chr3	167449727	167456031	PDCD10-SERPINI1	D	-+
chr3	169484349	169494184	ACTRT3-MYNN	D	-+
chr3	184076438	184082498	CLCN2-POLR2H	D	-+
chr3	184996778	185003729	EHHADH-MAP3K13	D	-+
chr3	190037235	190043330	CLDN1-CLDN16	D	-+
chr3	193307900	193313933	ATP13A4-OPA1	D	-+
chr3	196666465	196672545	NCBP2-NCBP2AS2	D	-+
chr3	197684013	197690071	IQCG-LMLN	D	-+
chr4	489945	495999	ZNF721-PIGG	D	-+
chr4	923161	929175	GAK-TMEM175	D	-+
chr4	977683	983785	DGKQ-IDUA	D	-+
chr4	1711071	1717585	SLBP-TACC3	D	-+
chr4	2040630	2046722	NELFA-C4orf48	D	-+
chr4	2962133	2968298	NOP14-GRK4	D	-+
chr4	4288881	4294978	LYAR-ZBTB49	D	-+
chr4	6691189	6698605	KNOWN-S100P	D	-+
chr4	6708592	6720901	MRFAP1L1-BLOC1S4	D	-+
chr4	17510829	17519788	QDPR-CLRN2	D	-+
chr4	25159172	25165285	SEPSECS-PI4K2B	D	-+
chr4	39457551	39463624	RPL9-LIAS	D	-+
chr4	46992598	46998740	GABRA4-GABRB1	D	-+
chr4	57298781	57304907	PPAT-PAICS	D	-+
chr4	71544534	71557249	JCHAIN-UTP3	D	-+
chr4	76925662	76935337	CXCL9-ART3	D	-+
chr4	83348615	83354743	HNRNPDL-ENOPH1	D	-+
chr4	89441927	89447961	PIGY-HERC3	D	-+
chr4	90029549	90035684	FAM13A-TIGD2	D	-+
chr4	100482196	100488238	TRMT10A-MTTP	D	-+
