Hugo_Symbol	Missense_Mutation	Nonsense_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
NPAP1	13	0	0	0	13	12	12
IRS4	10	2	0	0	12	12	12
PCDHB14	11	0	0	0	11	11	11
PCDH8	10	1	0	0	11	10	10
LRRTM1	8	1	0	0	9	9	9
PCDHB1	8	1	0	0	9	9	9
RAD51AP2	9	0	0	0	9	9	9
RBP3	9	0	0	0	9	9	9
KCNA1	8	1	0	0	9	8	8
TRHR	9	0	0	0	9	8	8
OR10Z1	7	1	0	0	8	8	8
OR4K2	8	0	0	0	8	7	7
OR8B12	7	0	0	0	7	7	7
AMY2A	4	2	0	0	6	6	6
FOXM1	6	0	0	0	6	6	6
GRM1	5	1	0	0	6	6	6
HTR1A	6	0	0	0	6	6	6
KCNS2	6	0	0	0	6	6	6
KERA	5	1	0	0	6	6	6
LRRTM3	6	0	0	0	6	6	6
SLC22A12	6	0	0	0	6	6	6
SLC32A1	5	1	0	0	6	6	6
TRIM42	5	1	0	0	6	6	6
NPAS4	4	1	1	0	6	5	5
AMER2	5	0	0	0	5	5	5
C2orf71	4	1	0	0	5	5	5
KLHL40	5	0	0	0	5	5	5
LILRA1	4	1	0	0	5	5	5
MPL	3	2	0	0	5	5	5
OR5H1	5	0	0	0	5	5	5
POTEG	5	0	0	0	5	5	5
TMEM215	5	0	0	0	5	5	5
TYR	4	1	0	0	5	5	5
LRRTM2	4	1	0	0	5	4	4
ADCY8	4	0	0	0	4	4	4
CCER1	3	1	0	0	4	4	4
CEACAM8	4	0	0	0	4	4	4
CHRND	4	0	0	0	4	4	4
CYP11B2	4	0	0	0	4	4	4
DGKK	4	0	0	0	4	4	4
ESX1	4	0	0	0	4	4	4
FDXR	4	0	0	0	4	4	4
GHSR	3	1	0	0	4	4	4
GJA10	4	0	0	0	4	4	4
GPR119	4	0	0	0	4	4	4
GPR142	4	0	0	0	4	4	4
KLHL1	4	0	0	0	4	4	4
MYLK2	4	0	0	0	4	4	4
NPC1L1	4	0	0	0	4	4	4
NPM3	4	0	0	0	4	4	4
ONECUT1	3	1	0	0	4	4	4
PAX1	4	0	0	0	4	4	4
PSG7	4	0	0	0	4	4	4
SLC24A2	4	0	0	0	4	4	4
SPATA31A3	4	0	0	0	4	4	4
SPATA4	4	0	0	0	4	4	4
TRIM51	2	1	1	0	4	4	4
KIRREL2	4	0	0	0	4	3	3
KRT36	4	0	0	0	4	3	3
LILRA4	3	1	0	0	4	3	3
ABCD2	3	0	0	0	3	3	3
ABRA	3	0	0	0	3	3	3
ACCSL	2	1	0	0	3	3	3
ACTL6B	3	0	0	0	3	3	3
ADAMTS20	2	1	0	0	3	3	3
ALK	3	0	0	0	3	3	3
AQP2	3	0	0	0	3	3	3
AVPR1B	3	0	0	0	3	3	3
BEST4	3	0	0	0	3	3	3
BTN1A1	3	0	0	0	3	3	3
C9orf50	3	0	0	0	3	3	3
CBLN4	3	0	0	0	3	3	3
CD1E	3	0	0	0	3	3	3
CFAP43	3	0	0	0	3	3	3
CHRNB2	3	0	0	0	3	3	3
CLVS2	3	0	0	0	3	3	3
CPA1	3	0	0	0	3	3	3
CST8	3	0	0	0	3	3	3
CUBN	3	0	0	0	3	3	3
CYP2A13	2	0	1	0	3	3	3
CYP2A6	3	0	0	0	3	3	3
CYP2F1	3	0	0	0	3	3	3
CYP4A22	3	0	0	0	3	3	3
