Hugo_Symbol	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
CELSR3	15	0	0	0	0	15	15	15
FREM2	14	1	0	0	0	15	14	14
ERCC2	14	0	0	0	0	14	14	14
TAF1L	12	2	0	0	0	14	14	14
NPAP1	13	0	0	0	0	13	12	12
IRS4	10	2	0	0	0	12	12	12
MUC16	11	1	0	0	0	12	12	12
C3orf70	11	0	0	0	0	11	11	11
PCDHA1	11	0	0	0	0	11	11	11
PCDHB14	11	0	0	0	0	11	11	11
PCDH8	10	1	0	0	0	11	10	10
PCDHGA1	8	2	0	0	0	10	9	9
LCMT2	9	0	0	0	0	9	9	9
LRRTM1	8	1	0	0	0	9	9	9
PCDH10	9	0	0	0	0	9	9	9
PCDH17	8	1	0	0	0	9	9	9
PCDHB1	8	1	0	0	0	9	9	9
RAD51AP2	9	0	0	0	0	9	9	9
RBP3	9	0	0	0	0	9	9	9
FAM179B	9	0	0	0	0	9	8	8
KCNA1	8	1	0	0	0	9	8	8
TGOLN2	8	1	0	0	0	9	8	8
TRHR	9	0	0	0	0	9	8	8
TSPYL1	9	0	0	0	0	9	8	8
CD93	8	0	0	0	0	8	8	8
CNNM2	7	1	0	0	0	8	8	8
FAT4	7	1	0	0	0	8	8	8
MED12	8	0	0	0	0	8	8	8
MKRN3	8	0	0	0	0	8	8	8
MOCS3	6	2	0	0	0	8	8	8
OR10Z1	7	1	0	0	0	8	8	8
PCDH18	8	0	0	0	0	8	8	8
TRMT12	7	0	0	0	1	8	8	8
VCPIP1	8	0	0	0	0	8	8	8
SMCR8	8	1	0	0	0	9	7	7
EIF4A2	8	0	0	0	0	8	7	7
HNRNPA1	8	0	0	0	0	8	7	7
MAP10	8	0	0	0	0	8	7	7
OR4K2	8	0	0	0	0	8	7	7
PCDH9	7	1	0	0	0	8	7	7
S1PR1	7	1	0	0	0	8	7	7
CNNM4	7	0	0	0	0	7	7	7
DNAAF2	7	0	0	0	0	7	7	7
EXOC8	6	1	0	0	0	7	7	7
FAM155A	5	2	0	0	0	7	7	7
FAM198B	7	0	0	0	0	7	7	7
KLHDC7A	6	1	0	0	0	7	7	7
KLHL9	6	1	0	0	0	7	7	7
OR8B12	7	0	0	0	0	7	7	7
PBX2	7	0	0	0	0	7	7	7
PNMAL2	7	0	0	0	0	7	7	7
SAMD15	7	0	0	0	0	7	7	7
SNX33	7	0	0	0	0	7	7	7
SP1	5	2	0	0	0	7	7	7
SRSF1	7	0	0	0	0	7	7	7
TCHH	7	0	0	0	0	7	7	7
TDRD6	7	0	0	0	0	7	7	7
UBQLN2	7	0	0	0	0	7	7	7
ZNF511	6	0	0	1	0	7	7	7
CELSR2	8	0	0	0	0	8	6	6
HAUS3	6	1	0	0	0	7	6	6
JRKL	6	1	0	0	0	7	6	6
PPP1R15B	7	0	0	0	0	7	6	6
SIGLEC10	5	2	0	0	0	7	6	6
ALDH16A1	6	0	0	0	0	6	6	6
AMY2A	4	2	0	0	0	6	6	6
C17orf47	6	0	0	0	0	6	6	6
CASP1	6	0	0	0	0	6	6	6
DCAF12	5	1	0	0	0	6	6	6
EIF2B4	5	1	0	0	0	6	6	6
FAM83G	5	1	0	0	0	6	6	6
GRM1	5	1	0	0	0	6	6	6
HTR1A	6	0	0	0	0	6	6	6
ITPRIPL2	6	0	0	0	0	6	6	6
KCNS2	6	0	0	0	0	6	6	6
KERA	5	1	0	0	0	6	6	6
LRRTM3	6	0	0	0	0	6	6	6
METTL2A	6	0	0	0	0	6	6	6
NUDT16	5	1	0	0	0	6	6	6
PHLDA3	5	1	0	0	0	6	6	6
PTGER2	5	1	0	0	0	6	6	6
PURB	6	0	0	0	0	6	6	6
RARS2	6	0	0	0	0	6	6	6
RBM15	4	2	0	0	0	6	6	6
SLC22A12	6	0	0	0	0	6	6	6
SLC32A1	5	1	0	0	0	6	6	6
TIGD5	6	0	0	0	0	6	6	6
TRIM42	5	1	0	0	0	6	6	6
UBA52	3	1	0	2	0	6	6	6
