Chr	Start	End	Name	Score	Strand	ID
chr1	941575	947575	SAMD11	0	+	ENSG00000187634
chr1	956309	962309	NOC2L	0	-	ENSG00000188976
chr1	962719	968719	KLHL17	0	+	ENSG00000187961
chr1	972865	978865	PLEKHN1	0	+	ENSG00000187583
chr1	979093	985093	PERM1	0	-	ENSG00000187642
chr1	997172	1003172	HES4	0	-	ENSG00000188290
chr1	1011540	1017540	ISG15	0	+	ENSG00000187608
chr1	1053118	1059118	AGRN	0	+	ENSG00000188157
chr1	1071306	1077306	RNF223	0	-	ENSG00000237330
chr1	1113361	1119361	C1orf159	0	-	ENSG00000131591
chr1	1203592	1209592	TNFRSF18	0	-	ENSG00000186891
chr1	1211153	1217153	TNFRSF4	0	-	ENSG00000186827
chr1	1229067	1235067	SDF4	0	-	ENSG00000078808
chr1	1232041	1238041	B3GALT6	0	+	ENSG00000176022
chr1	1270864	1276864	UBE2J2	0	-	ENSG00000160087
chr1	1289029	1295029	SCNN1D	0	+	ENSG00000162572
chr1	1306609	1312609	ACAP3	0	-	ENSG00000131584
chr1	1308677	1314677	PUSL1	0	+	ENSG00000169972
chr1	1321687	1327687	INTS11	0	-	ENSG00000127054
chr1	1325896	1331896	CPTP	0	+	ENSG00000224051
chr1	1332314	1338314	TAS1R3	0	+	ENSG00000169962
chr1	1346418	1352418	DVL1	0	-	ENSG00000107404
chr1	1358777	1364777	MXRA8	0	-	ENSG00000162576
chr1	1372207	1378207	AURKAIP1	0	-	ENSG00000175756
chr1	1396335	1402335	CCNL2	0	-	ENSG00000221978
chr1	1404293	1410293	MRPL20	0	-	ENSG00000242485
chr1	1418769	1424769	ANKRD65	0	-	ENSG00000235098
chr1	1439882	1445882	VWA1	0	+	ENSG00000179403
chr1	1467163	1473163	ATAD3C	0	+	ENSG00000215915
chr1	1494848	1500848	ATAD3B	0	+	ENSG00000160072
chr1	1531685	1537685	ATAD3A	0	+	ENSG00000197785
chr1	1571863	1577863	SSU72	0	-	ENSG00000160075
chr1	1597135	1603135	FNDC10	0	-	ENSG00000228594
chr1	1627605	1633605	MIB2	0	+	ENSG00000197530
chr1	1632263	1638263	MMP23B	0	+	ENSG00000189409
chr1	1656012	1662012	CDK11B	0	-	ENSG00000248333
chr1	1689795	1695795	SLC35E2B	0	-	ENSG00000189339
chr1	1721357	1727357	CDK11A	0	-	ENSG00000008128
