Chr	Start	End	Name	Region_Type	Orientation
chr1	962719	969482	KLHL17-PLEKHN1	T	++
chr1	1011540	1023120	ISG15-AGRN	T	++
chr1	1071306	1084818	RNF223-C1orf159	T	--
chr1	1203592	1214340	TNFRSF18-TNFRSF4	T	--
chr1	1211153	1219909	TNFRSF4-SDF4	T	--
chr1	1243722	1256909	C1QTNF12-UBE2J2	T	--
chr1	1325896	1334280	CPTP-TAS1R3	T	++
chr1	1346418	1355689	DVL1-MXRA8	T	--
chr1	1396335	1404909	CCNL2-MRPL20	T	--
chr1	1427255	1437861	TMEM88B-VWA1	T	++
chr1	1439882	1452689	VWA1-ATAD3C	T	++
chr1	1467163	1474765	ATAD3C-ATAD3B	T	++
chr1	1537624	1544673	TMEM240-SSU72	T	--
chr1	1627605	1635163	MIB2-MMP23B	T	++
chr1	1656012	1662529	CDK11B-SLC35E2B	T	--
chr1	1689795	1705379	SLC35E2B-CDK11A	T	--
chr1	1777457	1788285	NADK-GNB1	T	--
chr1	1916279	1924951	TMEM52-CFAP74	T	--
chr1	2523597	2531745	PANK4-HES5	T	--
chr1	2630016	2638976	MMEL1-TTC34	T	--
chr1	3768645	3775749	CCDC27-SMIM1	T	++
chr1	6177321	6188020	CHD5-RPL22	T	--
chr1	6258098	6267269	GPR153-ACOT7	T	--
chr1	6463175	6470122	TNFRSF25-PLEKHG5	T	--
chr1	6517074	6524347	PLEKHG5-NOL9	T	--
chr1	6576755	6582994	TAS1R1-ZBTB48	T	++
chr1	6621030	6627868	PHF13-THAP3	T	++
chr1	7766706	7774296	CAMTA1-VAMP3	T	++
chr1	7778432	7787291	VAMP3-PER3	T	++
chr1	9023423	9038106	SLC2A7-SLC2A5	T	--
chr1	9582173	9591911	SLC25A33-TMEM201	T	++
chr1	10417511	10433102	PGD-CENPS-CORT	T	++
chr1	11044239	11057584	MASP2-SRM	T	--
chr1	11057020	11069618	SRM-EXOSC10	T	--
chr1	11096869	11109535	EXOSC10-MTOR	T	--
chr1	11660327	11667200	FBXO44-FBXO6	T	++
chr1	11751802	11764787	AGTRAP-C1orf167	T	++
chr1	11845345	11860464	NPPA-NPPB	T	--
chr1	11972538	11983181	PLOD1-MFN2	T	++
chr1	12012211	12022466	MFN2-MIIP	T	++
chr1	12883201	12895896	PRAMEF4-PRAMEF10	T	--
chr1	13059878	13071677	HNRNPCL3-PRAMEF25	T	++
chr1	13153009	13166914	PRAMEF26-HNRNPCL4	T	--
chr1	13305907	13318581	PRAMEF33-PRAMEF15	T	++
chr1	15397283	15412888	FHAD1-EFHD2	T	++
chr1	15427339	15441442	EFHD2-CTRC	T	++
chr1	15731769	15739258	PLEKHM2-SLC25A34	T	++
chr1	15738392	15745499	SLC25A34-TMEM82	T	++
chr1	15744982	15759607	TMEM82-FBLIM1	T	++
chr1	16031050	16043252	CLCNKA-CLCNKB	T	++
