Chr	Start	End	Mutation	Size	Middle	Start_C	End_C	Mutations_C
chr1	74564117	74572117	74571494	8000	74568117	-4000	4000	3377
chr1	38834198	38842198	38839519	8000	38838198	-4000	4000	1321
chr1	110019742	110027742	110021976	8000	110023742	-4000	4000	-1766
chr1	190093658	190101658	190098597	8000	190097658	-4000	4000	939
chr1	186439566	186447566	186443900	8000	186443566	-4000	4000	334
chr1	248345713	248353713	248349077	8000	248349713	-4000	4000	-636
chr1	161710352	161718352	161711946	8000	161714352	-4000	4000	-2406
chr1	19278573	19286573	19286262	8000	19282573	-4000	4000	3689
chr1	152149595	152157595	152155595	8000	152153595	-4000	4000	2000
chr1	171634799	171642799	171636268	8000	171638799	-4000	4000	-2531
chr1	205653851	205661851	205659182	8000	205657851	-4000	4000	1331
chr1	28765775	28773775	28769299	8000	28769775	-4000	4000	-476
chr1	149809225	149817225	149812291	8000	149813225	-4000	4000	-934
chr1	151360304	151368304	151364923	8000	151364304	-4000	4000	619
chr1	151695091	151703091	151698830	8000	151699091	-4000	4000	-261
chr1	152405243	152413243	152409902	8000	152409243	-4000	4000	659
chr1	152758052	152766052	152760603	8000	152762052	-4000	4000	-1449
chr1	153977617	153985617	153981976	8000	153981617	-4000	4000	359
chr1	193086866	193094866	193091685	8000	193090866	-4000	4000	819
chr1	39674648	39682648	39682462	8000	39678648	-4000	4000	3814
chr1	47212290	47220290	47216498	8000	47216290	-4000	4000	208
chr1	247602515	247610515	247606502	8000	247606515	-4000	4000	-13
chr1	17280233	17288233	17282990	8000	17284233	-4000	4000	-1243
chr1	18481974	18489974	18483028	8000	18485974	-4000	4000	-2946
chr1	30865466	30873466	30873183	8000	30869466	-4000	4000	3717
chr1	42151820	42159820	42153516	8000	42155820	-4000	4000	-2304
chr1	53463488	53471488	53464813	8000	53467488	-4000	4000	-2675
chr1	84921583	84929583	84926590	8000	84925583	-4000	4000	1007
chr1	100144448	100152448	100148040	8000	100148448	-4000	4000	-408
chr1	149809225	149817225	149813390	8000	149813225	-4000	4000	165
chr1	151043720	151051720	151050674	8000	151047720	-4000	4000	2954
chr1	152716470	152724470	152719689	8000	152720470	-4000	4000	-781
chr1	159947492	159955492	159951799	8000	159951492	-4000	4000	307
chr1	200547497	200555497	200554579	8000	200551497	-4000	4000	3082
chr1	204613170	204621170	204618558	8000	204617170	-4000	4000	1388
chr1	205653851	205661851	205659544	8000	205657851	-4000	4000	1693
chr1	243120428	243128428	243126495	8000	243124428	-4000	4000	2067
chr1	247095962	247103962	247101772	8000	247099962	-4000	4000	1810
chr1	248097103	248105103	248099471	8000	248101103	-4000	4000	-1632
chr1	248677249	248685249	248681643	8000	248681249	-4000	4000	394
chr1	100516277	100524277	100519684	8000	100520277	-4000	4000	-593
chr1	247707813	247715813	247712381	8000	247711813	-4000	4000	568
chr1	154940076	154948076	154947515	8000	154944076	-4000	4000	3439
chr1	37856697	37864697	37857466	8000	37860697	-4000	4000	-3231
chr1	3477113	3485113	3480454	8000	3481113	-4000	4000	-659
chr1	152405243	152413243	152410366	8000	152409243	-4000	4000	1123
chr1	159708289	159716289	159714052	8000	159712289	-4000	4000	1763
chr1	160354952	160362952	160358302	8000	160358952	-4000	4000	-650
chr1	19278573	19286573	19285103	8000	19282573	-4000	4000	2530
chr1	23960347	23968347	23961797	8000	23964347	-4000	4000	-2550
chr1	27375176	27383176	27380117	8000	27379176	-4000	4000	941
chr1	36084275	36092275	36085835	8000	36088275	-4000	4000	-2440
chr1	37530449	37538449	37537571	8000	37534449	-4000	4000	3122
chr1	37562816	37570816	37569079	8000	37566816	-4000	4000	2263
chr1	37992770	38000770	37997456	8000	37996770	-4000	4000	686
chr1	47374839	47382839	47376884	8000	47378839	-4000	4000	-1955
chr1	85261776	85269776	85267647	8000	85265776	-4000	4000	1871
chr1	109234182	109242182	109236488	8000	109238182	-4000	4000	-1694
chr1	148478548	148486548	148483103	8000	148482548	-4000	4000	555
chr1	150261078	150269078	150262162	8000	150265078	-4000	4000	-2916
chr1	151978915	151986915	151986213	8000	151982915	-4000	4000	3298
chr1	152758052	152766052	152760854	8000	152762052	-4000	4000	-1198
chr1	152881047	152889047	152884592	8000	152885047	-4000	4000	-455
chr1	153977617	153985617	153983538	8000	153981617	-4000	4000	1921
chr1	154940076	154948076	154945116	8000	154944076	-4000	4000	1040
chr1	154940076	154948076	154946562	8000	154944076	-4000	4000	2486
chr1	155909045	155917045	155914223	8000	155913045	-4000	4000	1178
chr1	156304968	156312968	156309125	8000	156308968	-4000	4000	157
chr1	156664763	156672763	156670029	8000	156668763	-4000	4000	1266
chr1	159199313	159207313	159200912	8000	159203313	-4000	4000	-2401
chr1	160197886	160205886	160198713	8000	160201886	-4000	4000	-3173
chr1	161161723	161169723	161168025	8000	161165723	-4000	4000	2302
chr1	202315781	202323781	202318238	8000	202319781	-4000	4000	-1543
chr1	204186341	204194341	204192813	8000	204190341	-4000	4000	2472
chr1	232805929	232813929	232807134	8000	232809929	-4000	4000	-2795
chr1	236545005	236553005	236550966	8000	236549005	-4000	4000	1961
chr1	248451725	248459725	248452797	8000	248455725	-4000	4000	-2928
chr1	67697475	67705475	67705172	8000	67701475	-4000	4000	3697
chr1	152102317	152110317	152110100	8000	152106317	-4000	4000	3783
chr1	154920740	154928740	154926408	8000	154924740	-4000	4000	1668
chr1	70848353	70856353	70852748	8000	70852353	-4000	4000	395
chr1	109705551	109713551	109712259	8000	109709551	-4000	4000	2708
chr1	157509377	157517377	157515850	8000	157513377	-4000	4000	2473
chr1	171208686	171216686	171208861	8000	171212686	-4000	4000	-3825
chr1	10416511	10424511	10417396	8000	10420511	-4000	4000	-3115
chr1	215233090	215241090	215235722	8000	215237090	-4000	4000	-1368
chr1	247666812	247674812	247672269	8000	247670812	-4000	4000	1457
chr1	25496209	25504209	25498302	8000	25500209	-4000	4000	-1907
chr1	155610951	155618951	155611578	8000	155614951	-4000	4000	-3373
chr1	158556606	158564606	158562805	8000	158560606	-4000	4000	2199
chr1	159199313	159207313	159200880	8000	159203313	-4000	4000	-2433
chr1	25827913	25835913	25835648	8000	25831913	-4000	4000	3735
