Chr	Start	End	Mutation	Size	Middle	Start_C	End_C	Mutations_C
chr1	32202502	32207732	32207474	5230	32205117	-2615	2615	2357
chr1	11847599	11850118	11847627	2519	11848858	-1259	1260	-1231
chr1	26182702	26187437	26187188	4735	26185069	-2367	2368	2119
chr1	45620780	45623000	45621953	2220	45621890	-1110	1110	63
chr1	33321856	33324631	33323806	2775	33323243	-1387	1388	563
chr1	45620780	45623000	45622814	2220	45621890	-1110	1110	924
chr1	151173367	151175655	151174830	2288	151174511	-1144	1144	319
chr1	151173367	151175655	151174492	2288	151174511	-1144	1144	-19
chr1	151175675	151178927	151176917	3252	151177301	-1626	1626	-384
chr1	32202502	32207732	32207279	5230	32205117	-2615	2615	2162
chr1	151173367	151175655	151174776	2288	151174511	-1144	1144	265
chr1	45620780	45623000	45622606	2220	45621890	-1110	1110	716
chr1	45620780	45623000	45622793	2220	45621890	-1110	1110	903
chr1	151175675	151178927	151178084	3252	151177301	-1626	1626	783
chr1	154990692	154993450	154992746	2758	154992071	-1379	1379	675
chr2	238096683	238101037	238096850	4354	238098860	-2177	2177	-2010
chr2	27304827	27308636	27305034	3809	27306731	-1904	1905	-1697
chr3	48619303	48624248	48621492	4945	48621775	-2472	2473	-283
chr3	48619303	48624248	48620972	4945	48621775	-2472	2473	-803
chr3	50187524	50189638	50187828	2114	50188581	-1057	1057	-753
chr6	27866609	27868605	27867086	1996	27867607	-998	998	-521
chr6	27836509	27838789	27838771	2280	27837649	-1140	1140	1122
chr6	27866609	27868605	27866966	1996	27867607	-998	998	-641
chr6	73392932	73395400	73395000	2468	73394166	-1234	1234	834
chr6	73392932	73395400	73394992	2468	73394166	-1234	1234	826
chr6	73392932	73395400	73394877	2468	73394166	-1234	1234	711
chr6	27836509	27838789	27838335	2280	27837649	-1140	1140	686
chr6	27836509	27838789	27838123	2280	27837649	-1140	1140	474
chr6	27836509	27838789	27838112	2280	27837649	-1140	1140	463
chr6	31531513	31537583	31532822	6070	31534548	-3035	3035	-1726
chr6	27836509	27838789	27838306	2280	27837649	-1140	1140	657
chr6	27836509	27838789	27838745	2280	27837649	-1140	1140	1096
chr6	27866609	27868605	27867101	1996	27867607	-998	998	-506
chr6	27836509	27838789	27837976	2280	27837649	-1140	1140	327
chr6	27866609	27868605	27867416	1996	27867607	-998	998	-191
chr6	27836509	27838789	27837957	2280	27837649	-1140	1140	308
chr6	73392932	73395400	73394982	2468	73394166	-1234	1234	816
chr6	27836509	27838789	27838278	2280	27837649	-1140	1140	629
chr6	27836509	27838789	27838154	2280	27837649	-1140	1140	505
chr7	128773764	128777661	128774616	3897	128775712	-1948	1949	-1096
chr7	128773764	128777661	128775459	3897	128775712	-1948	1949	-253
chr7	100576486	100582989	100582428	6503	100579737	-3251	3252	2691
chr7	128773764	128777661	128775083	3897	128775712	-1948	1949	-629
chr7	128773764	128777661	128775718	3897	128775712	-1948	1949	6
chr7	128773764	128777661	128775458	3897	128775712	-1948	1949	-254
chr8	11328178	11332268	11331684	4090	11330223	-2045	2045	1461
chr9	35559314	35563587	35563033	4273	35561450	-2136	2137	1583
chr9	35559314	35563587	35562548	4273	35561450	-2136	2137	1098
chr9	35559314	35563587	35560530	4273	35561450	-2136	2137	-920
chr9	130892607	130895048	130893471	2441	130893827	-1220	1221	-356
chr11	85684967	85686382	85686135	1415	85685674	-707	708	461
chr11	85684967	85686382	85685546	1415	85685674	-707	708	-128
chr11	85684967	85686382	85685998	1415	85685674	-707	708	324
