Chr	Start	End	Mutation	Size	Middle	Start_C	End_C	Mutations_C
chr1	181088390	181090557	181088914	2167	181089473	-1083	1084	-559
chr1	11053700	11060620	11056717	6920	11057160	-3460	3460	-443
chr1	153618818	153620573	153618854	1755	153619695	-877	878	-841
chr1	32202502	32207732	32207474	5230	32205117	-2615	2615	2357
chr1	156589690	156592871	156592448	3181	156591280	-1590	1591	1168
chr1	154550069	154556304	154555955	6235	154553186	-3117	3118	2769
chr1	6208240	6214118	6212390	5878	6211179	-2939	2939	1211
chr1	150625649	150629945	150629506	4296	150627797	-2148	2148	1709
chr1	155311963	155313341	155312373	1378	155312652	-689	689	-279
chr1	161155682	161161485	161158123	5803	161158583	-2901	2902	-460
chr1	6208240	6214118	6211894	5878	6211179	-2939	2939	715
chr1	202009453	202015827	202011158	6374	202012640	-3187	3187	-1482
chr1	145923787	145930160	145924521	6373	145926973	-3186	3187	-2452
chr1	150625649	150629945	150629466	4296	150627797	-2148	2148	1669
chr1	54883378	54886375	54883745	2997	54884876	-1498	1499	-1131
chr1	35191421	35193804	35193050	2383	35192612	-1191	1192	438
chr1	154958882	154962939	154958907	4057	154960910	-2028	2029	-2003
chr1	201464767	201470045	201468521	5278	201467406	-2639	2639	1115
chr1	161212057	161216693	161214164	4636	161214375	-2318	2318	-211
chr1	153972617	153977782	153974817	5165	153975199	-2582	2583	-382
chr1	42816044	42817506	42816441	1462	42816775	-731	731	-334
chr1	155060158	155062797	155062509	2639	155061477	-1319	1320	1032
chr1	45002551	45008655	45008510	6104	45005603	-3052	3052	2907
chr1	85580671	85582611	85582466	1940	85581641	-970	970	825
chr1	114713576	114714496	114713920	920	114714036	-460	460	-116
chr1	155135584	155138430	155137693	2846	155137007	-1423	1423	686
chr1	161114984	161121140	161118016	6156	161118062	-3078	3078	-46
chr1	200407901	200411046	200408991	3145	200409473	-1572	1573	-482
chr1	110337341	110342887	110342101	5546	110340114	-2773	2773	1987
chr1	58575507	58578070	58576516	2563	58576788	-1281	1282	-272
chr1	44776008	44778123	44777615	2115	44777065	-1057	1058	550
chr1	150806278	150808039	150806710	1761	150807158	-880	881	-448
chr1	153972617	153977782	153973257	5165	153975199	-2582	2583	-1942
chr1	154958882	154962939	154959512	4057	154960910	-2028	2029	-1398
chr1	155060158	155062797	155062548	2639	155061477	-1319	1320	1071
chr1	155182105	155186992	155183813	4887	155184548	-2443	2444	-735
chr1	179591159	179593494	179592602	2335	179592326	-1167	1168	276
chr1	202965290	202968233	202966775	2943	202966761	-1471	1472	14
chr1	150281278	150286016	150283554	4738	150283647	-2369	2369	-93
chr1	156726277	156729343	156729215	3066	156727810	-1533	1533	1405
chr1	205748877	205750880	205750235	2003	205749878	-1001	1002	357
chr1	155123365	155128727	155127956	5362	155126046	-2681	2681	1910
chr1	161071980	161075267	161073272	3287	161073623	-1643	1644	-351
chr1	181088390	181090557	181088945	2167	181089473	-1083	1084	-528
chr1	200737832	200740952	200739795	3120	200739392	-1560	1560	403
chr1	6208240	6214118	6210593	5878	6211179	-2939	2939	-586
chr1	26182702	26187437	26187188	4735	26185069	-2367	2368	2119
chr1	155317947	155318924	155318278	977	155318435	-488	489	-157
chr1	43975882	43977538	43976304	1656	43976710	-828	828	-406
chr1	103525990	103528626	103526221	2636	103527308	-1318	1318	-1087
chr1	211577062	211579845	211578515	2783	211578453	-1391	1392	62
chr1	11053700	11060620	11059273	6920	11057160	-3460	3460	2113
chr1	154267602	154271369	154268785	3767	154269485	-1883	1884	-700
chr1	161169074	161171462	161169695	2388	161170268	-1194	1194	-573
chr1	201464767	201470045	201465853	5278	201467406	-2639	2639	-1553
chr1	155279859	155286466	155282415	6607	155283162	-3303	3304	-747
chr1	155263029	155264030	155263318	1001	155263529	-500	501	-211
chr1	244862886	244865743	244864013	2857	244864314	-1428	1429	-301
chr1	160207714	160211604	160208588	3890	160209659	-1945	1945	-1071
chr1	45620780	45623000	45621953	2220	45621890	-1110	1110	63
chr1	58780835	58786137	58782713	5302	58783486	-2651	2651	-773
chr1	179881808	179884251	179882722	2443	179883029	-1221	1222	-307
chr1	150263349	150266356	150266105	3007	150264852	-1503	1504	1253
chr1	150267428	150270167	150268047	2739	150268797	-1369	1370	-750
chr1	33321856	33324631	33323806	2775	33323243	-1387	1388	563
chr1	179881808	179884251	179882928	2443	179883029	-1221	1222	-101
chr1	963535	968263	964004	4728	965899	-2364	2364	-1895
chr1	42816044	42817506	42816492	1462	42816775	-731	731	-283
chr1	212791154	212795138	212791541	3984	212793146	-1992	1992	-1605
chr1	45326597	45333684	45328036	7087	45330140	-3543	3544	-2104
chr1	155263029	155264030	155263227	1001	155263529	-500	501	-302
chr1	153628108	153632845	153630580	4737	153630476	-2368	2369	104
chr1	155261785	155262911	155262143	1126	155262348	-563	563	-205
chr1	15834147	15835973	15835617	1826	15835060	-913	913	557
chr1	179591159	179593494	179592848	2335	179592326	-1167	1168	522
chr1	6208240	6214118	6211967	5878	6211179	-2939	2939	788
chr1	156741523	156745779	156742576	4256	156743651	-2128	2128	-1075
chr1	155129000	155131746	155131361	2746	155130373	-1373	1373	988
chr1	151398646	151400519	151399711	1873	151399582	-936	937	129
chr1	161047292	161048664	161048438	1372	161047978	-686	686	460
chr1	150577006	150582535	150578456	5529	150579770	-2764	2765	-1314
chr1	45620780	45623000	45622814	2220	45621890	-1110	1110	924
chr1	67684293	67689096	67687841	4803	67686694	-2401	2402	1147
chr1	150267428	150270167	150268720	2739	150268797	-1369	1370	-77
chr1	154550069	154556304	154555518	6235	154553186	-3117	3118	2332
chr1	111192741	111198855	111197228	6114	111195798	-3057	3057	1430
chr1	26889215	26895939	26893404	6724	26892577	-3362	3362	827
chr1	108690135	108693399	108692600	3264	108691767	-1632	1632	833
chr1	154967340	154975235	154974854	7895	154971287	-3947	3948	3567
chr1	145923787	145930160	145926820	6373	145926973	-3186	3187	-153
chr1	156594610	156599170	156595657	4560	156596890	-2280	2280	-1233
chr1	156050621	156055890	156054935	5269	156053255	-2634	2635	1680
chr1	154323517	154328328	154327817	4811	154325922	-2405	2406	1895
chr1	150263349	150266356	150266092	3007	150264852	-1503	1504	1240
chr1	113904126	113906812	113904697	2686	113905469	-1343	1343	-772
chr1	160342439	160345019	160344806	2580	160343729	-1290	1290	1077
chr1	156726277	156729343	156727239	3066	156727810	-1533	1533	-571
chr1	200407901	200411046	200409095	3145	200409473	-1572	1573	-378
chr1	156594610	156599170	156595734	4560	156596890	-2280	2280	-1156
chr1	32333381	32336657	32335011	3276	32335019	-1638	1638	-8
chr1	200407901	200411046	200408787	3145	200409473	-1572	1573	-686
chr1	150263349	150266356	150266043	3007	150264852	-1503	1504	1191
chr1	110337341	110342887	110341965	5546	110340114	-2773	2773	1851
chr1	204410505	204412233	204410670	1728	204411369	-864	864	-699
chr1	155129000	155131746	155131400	2746	155130373	-1373	1373	1027
chr1	161047292	161048664	161047819	1372	161047978	-686	686	-159
chr1	181088390	181090557	181089816	2167	181089473	-1083	1084	343
chr1	155321746	155328952	155322712	7206	155325349	-3603	3603	-2637
chr1	181088390	181090557	181089838	2167	181089473	-1083	1084	365
chr1	85580671	85582611	85582140	1940	85581641	-970	970	499
chr1	43386394	43389005	43386600	2611	43387699	-1305	1306	-1099
chr1	110337341	110342887	110339967	5546	110340114	-2773	2773	-147
chr1	155060158	155062797	155060270	2639	155061477	-1319	1320	-1207
chr1	161047292	161048664	161047895	1372	161047978	-686	686	-83
chr1	149922555	149924928	149923867	2373	149923741	-1186	1187	126
chr1	161037575	161039474	161038626	1899	161038524	-949	950	102
chr1	43386394	43389005	43386588	2611	43387699	-1305	1306	-1111
chr1	156285423	156286712	156285884	1289	156286067	-644	645	-183
chr1	221738029	221743527	221739148	5498	221740778	-2749	2749	-1630
chr1	40691214	40692994	40691830	1780	40692104	-890	890	-274
chr1	153628108	153632845	153631623	4737	153630476	-2368	2369	1147
chr1	211577062	211579845	211578403	2783	211578453	-1391	1392	-50
chr1	150625649	150629945	150627541	4296	150627797	-2148	2148	-256
