0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	Middle	Start	End
chr1	963535	968263	2	1895.0	-657.0																											965899	-2364	2364
chr1	1014022	1021822	1	3646.0																												1017922	-3900	3900
chr1	1022832	1027254	0																													1025043	-2211	2211
chr1	1164463	1171738	0																													1168100	-3637	3638
chr1	1215591	1216972	0																													1216281	-690	691
chr1	1267872	1271496	0																													1269684	-1812	1812
chr1	1309105	1316720	4	-2007.0	-976.0	-967.0	2360.0																									1312912	-3807	3808
chr1	1342813	1347267	0																													1345040	-2227	2227
chr1	1370140	1372391	0																													1371265	-1125	1126
chr1	1405968	1413830	0																													1409899	-3931	3931
chr1	1423306	1428604	0																													1425955	-2649	2649
chr1	1538009	1541656	0																													1539832	-1823	1824
chr1	1602709	1606905	0																													1604807	-2098	2098
chr1	1614359	1617352	0																													1615855	-1496	1497
chr1	1725491	1728192	0																													1726841	-1350	1351
chr1	1777912	1780271	0																													1779091	-1179	1180
chr1	1780322	1786118	0																													1783220	-2898	2898
chr1	2226608	2232196	1	-8.0																												2229402	-2794	2794
chr1	2388166	2392941	2	2295.0	2262.0																											2390553	-2387	2388
chr1	2393373	2395165	0																													2394269	-896	896
chr1	2519538	2525707	5	1802.0	1801.0	1449.0	1325.0	875.0																								2522622	-3084	3085
chr1	6208240	6214118	8	-1211.0	-715.0	586.0	-788.0	-1988.0	-1645.0	-1690.0	-1189.0																					6211179	-2939	2939
chr1	6785207	6789718	0																													6787462	-2255	2256
chr1	7782802	7785543	0																													7784172	-1370	1371
chr1	8025308	8027928	0																													8026618	-1310	1310
chr1	8877550	8880655	0																													8879102	-1552	1553
chr1	9290616	9294604	0																													9292610	-1994	1994
chr1	11053700	11060620	2	443.0	-2113.0																											11057160	-3460	3460
chr1	15834147	15835973	1	-557.0																												15835060	-913	913
chr1	15971348	15977601	0																													15974474	-3126	3127
chr1	16611274	16615778	0																													16613526	-2252	2252
chr1	17437125	17440021	0																													17438573	-1448	1448
chr1	17538204	17545753	0																													17541978	-3774	3775
chr1	18955501	18958044	0																													18956772	-1271	1272
chr1	19253018	19254861	0																													19253939	-921	922
chr1	19311895	19318460	1	-2553.0																												19315177	-3282	3283
chr1	19483860	19486729	0																													19485294	-1434	1435
chr1	19487675	19488831	0																													19488253	-578	578
chr1	20483305	20487334	0																													20485319	-2014	2015
chr1	21343530	21346841	0																													21345185	-1655	1656
chr1	23422988	23426067	0																													23424527	-1539	1540
chr1	23555336	23556869	0																													23556102	-766	767
chr1	23557678	23560173	2	-126.0	884.0																											23558925	-1247	1248
chr1	23742077	23744357	0																													23743217	-1140	1140
chr1	23958954	23961374	0																													23960164	-1210	1210
chr1	25230493	25232618	1	-577.0																												25231555	-1062	1063
chr1	25874873	25878009	0																													25876441	-1568	1568
chr1	26170947	26173169	0																													26172058	-1111	1111
chr1	26470760	26473631	1	-1309.0																												26472195	-1435	1436
chr1	26692212	26698612	0																													26695412	-3200	3200
chr1	26786670	26789109	0																													26787889	-1219	1220
chr1	26889215	26895939	3	-827.0	-128.0	1530.0																										26892577	-3362	3362
chr1	27002757	27010516	1	30.0																												27006636	-3879	3880
chr1	27337300	27341270	0																													27339285	-1985	1985
chr1	27363084	27367245	1	290.0																												27365164	-2080	2081
chr1	28508641	28511311	0																													28509976	-1335	1335
chr1	29179322	29181740	0																													29180531	-1209	1209
chr1	31411662	31414505	0																													31413083	-1421	1422
chr1	32196214	32201054	0																													32198634	-2420	2420
chr1	32202502	32207732	3	-2357.0	1192.0	-2162.0																										32205117	-2615	2615
chr1	32333381	32336657	2	8.0	190.0																											32335019	-1638	1638
chr1	32388382	32392473	0																													32390427	-2045	2046
chr1	33255300	33259816	0																													33257558	-2258	2258
chr1	33321856	33324631	1	-563.0																												33323243	-1387	1388
chr1	35191421	35193804	2	-438.0	-354.0																											35192612	-1191	1192
chr1	35556333	35563060	1	-938.0																												35559696	-3363	3364
chr1	35930123	35931726	0																													35930924	-801	802
chr1	36087282	36090966	1	1150.0																												36089124	-1842	1842
chr1	36306051	36310275	0																													36308163	-2112	2112
chr1	36380554	36384434	0																													36382494	-1940	1940
chr1	36384726	36389466	0																													36387096	-2370	2370
chr1	37473322	37477433	0																													37475377	-2055	2056
chr1	37552317	37555665	1	1304.0																												37553991	-1674	1674
chr1	37805349	37809614	2	579.0	-1628.0																											37807481	-2132	2133
chr1	37985555	37987597	0																													37986576	-1021	1021
chr1	38990210	38992393	0																													38991301	-1091	1092
chr1	39573504	39577639	0																													39575571	-2067	2068
chr1	40691214	40692994	1	274.0																												40692104	-890	890
chr1	40858194	40859926	0																													40859060	-866	866
chr1	41363465	41367966	0																													41365715	-2250	2251
chr1	42784046	42788476	0																													42786261	-2215	2215
chr1	42816044	42817506	2	334.0	283.0																											42816775	-731	731
chr1	43271233	43274984	0																													43273108	-1875	1876
chr1	43360652	43361855	0																													43361253	-601	602
chr1	43363659	43368474	0																													43366066	-2407	2408
chr1	43386394	43389005	2	1099.0	1111.0																											43387699	-1305	1306
chr1	43975882	43977538	4	406.0	76.0	-532.0	610.0																									43976710	-828	828
chr1	43978611	43986441	0																													43982526	-3915	3915
chr1	44776008	44778123	1	-550.0																												44777065	-1057	1058
chr1	45002551	45008655	7	-2907.0	724.0	-1375.0	-2763.0	-2731.0	1678.0	694.0																						45005603	-3052	3052
chr1	45326597	45333684	2	2104.0	-2029.0																											45330140	-3543	3544
chr1	45620780	45623000	4	-63.0	-924.0	-716.0	-903.0																									45621890	-1110	1110
chr1	45623157	45627396	0																													45625276	-2119	2120
chr1	51342705	51346997	0																													51344851	-2146	2146
chr1	51347468	51353024	0																													51350246	-2778	2778
chr1	53236464	53239145	0																													53237804	-1340	1341
chr1	54883378	54886375	1	1131.0																												54884876	-1498	1499
chr1	58543280	58547368	0																													58545324	-2044	2044
chr1	58575507	58578070	2	272.0	272.0																											58576788	-1281	1282
chr1	58780835	58786137	2	773.0	749.0																											58783486	-2651	2651
chr1	65420273	65424490	0																													65422381	-2108	2109
chr1	67429614	67431328	0																													67430471	-857	857
chr1	67684293	67689096	1	-1147.0																												67686694	-2401	2402
chr1	77682859	77685609	0																													77684234	-1375	1375
chr1	77976171	77977756	0																													77976963	-792	793
chr1	84504965	84507348	0																													84506156	-1191	1192
chr1	85200410	85202209	0																													85201309	-899	900
chr1	85273701	85274641	0																													85274171	-470	470
chr1	85275807	85280169	0																													85277988	-2181	2181
chr1	85574641	85578563	0																													85576602	-1961	1961
chr1	85580671	85582611	3	-825.0	-499.0	-909.0																										85581641	-970	970
chr1	89523957	89526174	0																													89525065	-1108	1109
chr1	91021217	91022203	0																													91021710	-493	493
chr1	103525990	103528626	1	1087.0																												103527308	-1318	1318
chr1	107058523	107058627	0																													107058575	-52	52
chr1	107142615	107142742	0																													107142678	-63	64
chr1	108199119	108201441	1	251.0																												108200280	-1161	1161
chr1	108690135	108693399	2	-833.0	-1074.0																											108691767	-1632	1632
chr1	108963054	108966391	0																													108964722	-1668	1669
chr1	109070756	109074884	0																													109072820	-2064	2064
chr1	109483124	109486593	0																													109484858	-1734	1735
chr1	109490617	109492495	1	392.0																												109491556	-939	939
chr1	109546098	109549996	0																													109548047	-1949	1949
chr1	109982949	109985970	0																													109984459	-1510	1511
chr1	110337341	110342887	5	-1987.0	-1851.0	147.0	-1537.0	-1909.0																								110340114	-2773	2773
chr1	111192741	111198855	3	1162.0	-1430.0	-2119.0																										111195798	-3057	3057
chr1	112672693	112675865	0																													112674279	-1586	1586
chr1	113389727	113392011	1	-241.0																												113390869	-1142	1142
chr1	113904126	113906812	2	772.0	812.0																											113905469	-1343	1343
chr1	114509492	114512042	0																													114510767	-1275	1275
chr1	114713576	114714496	1	116.0																												114714036	-460	460
chr1	114716234	114719986	1	-1542.0																												114718110	-1876	1876
chr1	114757313	114759085	0																													114758199	-886	886
chr1	116372497	116375426	0																													116373961	-1464	1465
chr1	116568675	116573267	0																													116570971	-2296	2296
chr1	116665724	116667199	0																													116666461	-737	738
chr1	145923787	145930160	5	2452.0	153.0	-96.0	-438.0	1054.0																								145926973	-3186	3187
chr1	146227817	146229575	0																													146228696	-879	879
chr1	149844826	149846279	0																													149845552	-726	727
chr1	149881565	149884562	0																													149883063	-1498	1499
chr1	149922555	149924928	1	-126.0																												149923741	-1186	1187
chr1	150149511	150155523	1	1561.0																												150152517	-3006	3006
chr1	150263349	150266356	4	-1253.0	-1240.0	-1191.0	1.0																									150264852	-1503	1504
chr1	150267428	150270167	4	750.0	77.0	77.0	736.0																									150268797	-1369	1370
chr1	150281278	150286016	3	93.0	318.0	98.0																										150283647	-2369	2369
chr1	150576527	150576902	0																													150576714	-187	188
chr1	150577006	150582535	2	1314.0	887.0																											150579770	-2764	2765
chr1	150625649	150629945	4	-1709.0	-1669.0	256.0	-1641.0																									150627797	-2148	2148
chr1	150806278	150808039	1	448.0																												150807158	-880	881
chr1	151034134	151037655	2	1599.0	-1629.0																											151035894	-1760	1761
chr1	151189230	151192864	2	881.0	995.0																											151191047	-1817	1817
chr1	151198717	151202076	1	1317.0																												151200396	-1679	1680
chr1	151345180	151350219	0																													151347699	-2519	2520
chr1	151398646	151400519	1	-129.0																												151399582	-936	937
chr1	151400860	151402348	2	742.0	95.0																											151401604	-744	744
chr1	151457515	151459723	1	-825.0																												151458619	-1104	1104
chr1	151538765	151545989	1	2022.0																												151542377	-3612	3612
chr1	151700935	151708597	2	2110.0	-1174.0																											151704766	-3831	3831
chr1	153618818	153620573	1	841.0																												153619695	-877	878
chr1	153628108	153632845	2	-104.0	-1147.0																											153630476	-2368	2369
chr1	153633777	153635521	0																													153634649	-872	872
chr1	153668142	153671246	1	1147.0																												153669694	-1552	1552
chr1	153951063	153956383	6	2349.0	1701.0	-532.0	368.0	1564.0	-1166.0																							153953723	-2660	2660
chr1	153957573	153964497	2	-1667.0	2506.0																											153961035	-3462	3462
chr1	153972617	153977782	5	382.0	1942.0	2415.0	1955.0	562.0																								153975199	-2582	2583
chr1	153988080	153991349	1	-1512.0																												153989714	-1634	1635
chr1	154267602	154271369	1	700.0																												154269485	-1883	1884
chr1	154271572	154272063	0																													154271817	-245	246
chr1	154323517	154328328	1	-1895.0																												154325922	-2405	2406
chr1	154550069	154556304	6	-2769.0	382.0	741.0	-2332.0	736.0	1379.0																							154553186	-3117	3118
chr1	154938941	154943584	0																													154941262	-2321	2322
chr1	154958882	154962939	2	2003.0	1398.0																											154960910	-2028	2029
chr1	154967340	154975235	5	1899.0	946.0	-3567.0	1065.0	-3596.0																								154971287	-3947	3948
chr1	154985202	154987732	0																													154986467	-1265	1265
chr1	154990692	154993450	1	-675.0																												154992071	-1379	1379
chr1	155060158	155062797	3	-1032.0	-1071.0	1207.0																										155061477	-1319	1320
chr1	155123365	155128727	2	-1910.0	-1876.0																											155126046	-2681	2681
chr1	155129000	155131746	2	-988.0	-1027.0																											155130373	-1373	1373
chr1	155134709	155135407	0																													155135058	-349	349
chr1	155135584	155138430	3	-686.0	76.0	-992.0																										155137007	-1423	1423
chr1	155182105	155186992	2	735.0	2416.0																											155184548	-2443	2444
chr1	155255309	155257248	0																													155256278	-969	970
chr1	155261785	155262911	2	205.0	233.0																											155262348	-563	563
chr1	155263029	155264030	3	211.0	302.0	-449.0																										155263529	-500	501
chr1	155271737	155275785	0																													155273761	-2024	2024
chr1	155279859	155286466	5	-2093.0	531.0	747.0	-2581.0	-1592.0																								155283162	-3303	3304
chr1	155317947	155318924	1	157.0																												155318435	-488	489
chr1	155319387	155320229	2	-97.0	-97.0																											155319808	-421	421
chr1	155321746	155328952	7	-1275.0	207.0	138.0	2637.0	-2906.0	651.0	3304.0																						155325349	-3603	3603
chr1	155933885	155938438	0																													155936161	-2276	2277
chr1	156050621	156055890	3	-1680.0	1457.0	1500.0																										156053255	-2634	2635
chr1	156139417	156144687	0																													156142052	-2635	2635
chr1	156144781	156149315	0																													156147048	-2267	2267
chr1	156285423	156286712	2	183.0	-331.0																											156286067	-644	645
chr1	156589690	156592871	1	-1168.0																												156591280	-1590	1591
chr1	156594610	156599170	8	161.0	-1227.0	1233.0	1156.0	-1530.0	1405.0	1800.0	1306.0																					156596890	-2280	2280
chr1	156726277	156729343	3	-1405.0	571.0	583.0																										156727810	-1533	1533
chr1	156741523	156745779	2	1075.0	-536.0																											156743651	-2128	2128
chr1	157137401	157139032	0																													157138216	-815	816
