	Chr	Start	End	Name	Score	Strand	Length	Average_expression
ENSG00000001626	chr7	117287120	117715971	CFTR	0	+	428851	0.918
ENSG00000002745	chr7	121325367	121341104	WNT16	0	+	15737	0.127
ENSG00000002746	chr7	43112629	43566001	HECW1	0	+	453372	0.646
ENSG00000004809	chr6	110424687	110476641	SLC22A16	0	-	51954	0.453
ENSG00000004846	chr7	20615667	20777038	ABCB5	0	+	161371	0.421
ENSG00000004939	chr17	44248390	44268141	SLC4A1	0	-	19751	0.068
ENSG00000004948	chr7	93424486	93574730	CALCR	0	-	150244	0.536
ENSG00000005381	chr17	58269855	58280935	MPO	0	-	11080	0.213
ENSG00000005421	chr7	95297676	95324532	PON1	0	-	26856	0.464
ENSG00000005961	chr17	44372180	44389649	ITGA2B	0	-	17469	0.926
ENSG00000005981	chr7	95478444	95540233	ASB4	0	+	61789	0.196
ENSG00000006059	chr17	41346092	41350828	KRT33A	0	-	4736	0.167
ENSG00000006116	chr16	24256335	24362412	CACNG3	0	+	106077	0.007
ENSG00000006128	chr7	97732084	97740472	TAC1	0	+	8388	0.541
ENSG00000006377	chr7	97005553	97011040	DLX6	0	+	5487	0.632
ENSG00000006606	chr7	75769533	75789896	CCL26	0	-	20363	0.256
ENSG00000006611	chr11	17493895	17544416	USH1C	0	-	50521	0.648
ENSG00000006659	chr19	39704481	39709444	LGALS14	0	+	4963	0.053
ENSG00000006788	chr17	10300865	10373130	MYH13	0	-	72265	0.549
ENSG00000007001	chr2	157876702	158136154	UPP2	0	+	259452	0.139
ENSG00000007174	chr17	11598470	11969748	DNAH9	0	+	371278	0.765
ENSG00000007306	chr19	41673303	41706976	CEACAM7	0	-	33673	0.935
ENSG00000007350	chrX	154295795	154330350	TKTL1	0	+	34555	0.179
ENSG00000007952	chrX	100843324	100874359	NOX1	0	-	31035	0.633
ENSG00000008118	chr1	209583714	209613939	CAMK1G	0	+	30225	0.351
ENSG00000008197	chr6	50713526	50773033	TFAP2D	0	+	59507	0.008
ENSG00000010282	chr3	42692663	42702824	HHATL	0	-	10161	0.123
ENSG00000010379	chr12	220621	262873	SLC6A13	0	-	42252	0.075
ENSG00000010438	chr9	33750679	33799231	PRSS3	0	+	48552	0.384
ENSG00000011332	chr19	38211006	38229714	DPF1	0	-	18708	0.654
ENSG00000011590	chr19	35704558	35717038	ZBTB32	0	+	12480	0.651
ENSG00000011677	chrX	152166234	152451315	GABRA3	0	-	285081	0.942
ENSG00000012504	chr12	100473708	100564414	NR1H4	0	+	90706	0.066
ENSG00000012817	chrY	19703865	19744939	KDM5D	0	-	41074	0.389
ENSG00000015592	chr8	27235308	27258420	STMN4	0	-	23112	0.249
ENSG00000016082	chr5	51383448	51394730	ISL1	0	+	11282	0.176
ENSG00000016490	chr1	86468368	86500259	CLCA1	0	+	31891	0.01
ENSG00000016602	chr1	86547078	86580754	CLCA4	0	+	33676	0.345
ENSG00000021461	chr7	99828013	99866093	CYP3A43	0	+	38080	0.061
ENSG00000021488	chr19	32830509	32869767	SLC7A9	0	-	39258	0.382
ENSG00000021852	chr1	56929207	56966140	C8B	0	-	36933	0.155
ENSG00000030304	chr9	110668779	110806558	MUSK	0	+	137779	0.101
ENSG00000033122	chr1	69567922	70151945	LRRC7	0	+	584023	0.427
ENSG00000034239	chr8	48710789	48735311	EFCAB1	0	-	24522	0.757
ENSG00000036530	chr14	99684298	99727301	CYP46A1	0	+	43003	0.902
ENSG00000036565	chr8	20144855	20183206	SLC18A1	0	-	38351	0.297
ENSG00000036828	chr3	122183668	122291629	CASR	0	+	107961	0.021
ENSG00000039600	chr5	157625679	157671480	SOX30	0	-	45801	0.247
ENSG00000039987	chr19	12751702	12758458	BEST2	0	+	6756	0.029
ENSG00000040731	chr5	24487100	24644978	CDH10	0	-	157878	0.286
ENSG00000042781	chr1	215622891	216423448	USH2A	0	-	800557	0.343
ENSG00000042813	chr7	49850421	50121329	ZPBP	0	-	270908	0.025
ENSG00000044012	chr1	42153410	42155820	GUCA2B	0	+	2410	0.002
ENSG00000048545	chr6	42155406	42181338	GUCA1A	0	+	25932	0.098
ENSG00000050730	chr4	121131408	121227466	TNIP3	0	-	96058	0.731
ENSG00000053328	chr6	110243940	110358349	METTL24	0	-	114409	0.311
ENSG00000054796	chr20	57329803	57343994	SPO11	0	+	14191	0.032
ENSG00000054803	chr20	55997357	56005519	CBLN4	0	-	8162	0.895
ENSG00000055957	chr3	52777595	52792068	ITIH1	0	+	14473	0.103
ENSG00000056291	chr4	72031902	72148305	NPFFR2	0	+	116403	0.538
ENSG00000057468	chr1	75796882	75913242	MSH4	0	+	116360	0.18
ENSG00000060566	chr19	4153631	4173054	CREB3L3	0	+	19423	0.066
ENSG00000060709	chr12	130396133	130768228	RIMBP2	0	-	372095	0.709
ENSG00000061492	chr5	138083990	138092365	WNT8A	0	+	8375	0.007
ENSG00000062096	chrX	3041471	3112727	ARSF	0	+	71256	0.131
ENSG00000062524	chr15	41503637	41513887	LTK	0	-	10250	0.605
ENSG00000063515	chr22	19146993	19150292	GSC2	0	-	3299	0.006
ENSG00000064201	chr11	2301997	2318204	TSPAN32	0	+	16207	0.799
ENSG00000064218	chr9	976655	991732	DMRT3	0	+	15077	0.855
ENSG00000064835	chr3	87259404	87276584	POU1F1	0	-	17180	0.031
ENSG00000065325	chr17	9822206	9892099	GLP2R	0	+	69893	0.27
ENSG00000065609	chr6	83552880	83709691	SNAP91	0	-	156811	0.481
ENSG00000066032	chr2	79185231	80648861	CTNNA2	0	+	1463630	0.93
ENSG00000066405	chr3	137998735	138033655	CLDN18	0	+	34920	0.289
ENSG00000066813	chr16	20536226	20576427	ACSM2B	0	-	40201	0.044
ENSG00000067048	chrY	12904108	12920478	DDX3Y	0	+	16370	0.561
ENSG00000067646	chrY	2935281	2982506	ZFY	0	+	47225	0.309
ENSG00000067842	chrX	153517642	153582939	ATP2B3	0	+	65297	0.197
ENSG00000068985	chrX	49687447	49695984	PAGE1	0	-	8537	0.384
ENSG00000069018	chr5	136212745	136365545	TRPC7	0	-	152800	0.01
ENSG00000069206	chr8	24440930	24526970	ADAM7	0	+	86040	0.039
ENSG00000069696	chr11	637269	640706	DRD4	0	+	3437	0.635
ENSG00000069764	chr16	14672548	14694308	PLA2G10	0	-	21760	0.978
ENSG00000070019	chr12	14612632	14696599	GUCY2C	0	-	83967	0.965
ENSG00000070031	chr11	626309	627181	SCT	0	-	872	0.432
ENSG00000070388	chr19	639879	644373	FGF22	0	+	4494	0.165
ENSG00000070729	chr16	57882340	57971128	CNGB1	0	-	88788	0.164
ENSG00000070748	chr10	49609095	49667942	CHAT	0	+	58847	0.008
ENSG00000070808	chr5	150219491	150290093	CAMK2A	0	-	70602	0.526
ENSG00000070915	chr16	56865207	56915850	SLC12A3	0	+	50643	0.522
ENSG00000070985	chr11	2404515	2423045	TRPM5	0	-	18530	0.3
ENSG00000071203	chr11	60492778	60507430	MS4A12	0	+	14652	0.003
ENSG00000071677	chr2	237566574	237567175	PRLH	0	+	601	0.037
ENSG00000072080	chr2	234050679	234077134	SPP2	0	+	26455	0.009
ENSG00000072182	chr2	219514170	219538772	ASIC4	0	+	24602	0.179
ENSG00000072315	chrX	111768011	112082776	TRPC5	0	-	314765	0.051
ENSG00000072657	chr12	72087266	72670758	TRHDE	0	+	583492	0.454
ENSG00000073067	chr7	983181	989640	CYP2W1	0	+	6459	0.143
ENSG00000073146	chr22	50089879	50161690	MOV10L1	0	+	71811	0.505
ENSG00000073670	chr17	44758988	44781846	ADAM11	0	+	22858	0.794
ENSG00000073734	chr2	168915498	169031324	ABCB11	0	-	115826	0.13
ENSG00000073754	chr1	157830911	157898256	CD5L	0	-	67345	0.043
ENSG00000074276	chr5	176542511	176595974	CDHR2	0	+	53463	0.84
ENSG00000074317	chr5	176620082	176630556	SNCB	0	-	10474	0.098
ENSG00000074771	chr6	155395368	155455839	NOX3	0	-	60471	0.005
