Chr	Start	End	Mutation	Size	Middle	Start_C	End_C	Mutations_C
chr1	32360321	32367284	32363805	6963	32363802	-3481	3482	3
chr1	145845583	145848365	145847270	2782	145846974	-1391	1391	296
chr1	150470714	150472742	150471903	2028	150471728	-1014	1014	175
chr1	153771364	153774208	153772667	2844	153772786	-1422	1422	-119
chr1	93582068	93585358	93582741	3290	93583713	-1645	1645	-972
chr1	181088390	181090557	181088914	2167	181089473	-1083	1084	-559
chr1	11053700	11060620	11056717	6920	11057160	-3460	3460	-443
chr1	15926508	15928947	15928519	2439	15927727	-1219	1220	792
chr1	31622642	31629892	31626858	7250	31626267	-3625	3625	591
chr1	43702147	43705575	43703590	3428	43703861	-1714	1714	-271
chr1	153618818	153620573	153618854	1755	153619695	-877	878	-841
chr1	32202502	32207732	32207474	5230	32205117	-2615	2615	2357
chr1	156589690	156592871	156592448	3181	156591280	-1590	1591	1168
chr1	20637042	20640758	20637903	3716	20638900	-1858	1858	-997
chr1	109237658	109240175	109237770	2517	109238916	-1258	1259	-1146
chr1	154550069	154556304	154555955	6235	154553186	-3117	3118	2769
chr1	154943668	154946271	154945116	2603	154944969	-1301	1302	147
chr1	155266297	155267644	155266853	1347	155266970	-673	674	-117
chr1	156937683	156942123	156940313	4440	156939903	-2220	2220	410
chr1	161121454	161124393	161124279	2939	161122923	-1469	1470	1356
chr1	161173127	161176094	161173837	2967	161174610	-1483	1484	-773
chr1	165752018	165752897	165752168	879	165752457	-439	440	-289
chr1	173988609	173992978	173992960	4369	173990793	-2184	2185	2167
chr1	205526398	205531112	205530687	4714	205528755	-2357	2357	1932
chr1	214332725	214334587	214334031	1862	214333656	-931	931	375
chr1	222628290	222630361	222629475	2071	222629325	-1035	1036	150
chr1	226068700	226072173	226071473	3473	226070436	-1736	1737	1037
chr1	244854945	244856700	244856308	1755	244855822	-877	878	486
chr1	154925015	154928076	154926408	3061	154926545	-1530	1531	-137
chr1	26182702	26187437	26183369	4735	26185069	-2367	2368	-1700
chr1	180273799	180275177	180274002	1378	180274488	-689	689	-486
chr1	214332725	214334587	214333953	1862	214333656	-931	931	297
chr1	1638370	1642737	1638532	4367	1640553	-2183	2184	-2021
chr1	6208240	6214118	6212390	5878	6211179	-2939	2939	1211
chr1	111192741	111198855	111194636	6114	111195798	-3057	3057	-1162
chr1	150625649	150629945	150629506	4296	150627797	-2148	2148	1709
chr1	155311963	155313341	155312373	1378	155312652	-689	689	-279
chr1	200848929	200851014	200849215	2085	200849971	-1042	1043	-756
chr1	2495943	2503581	2499127	7638	2499762	-3819	3819	-635
chr1	52353138	52355171	52353461	2033	52354154	-1016	1017	-693
chr1	11847599	11850118	11847627	2519	11848858	-1259	1260	-1231
chr1	109237658	109240175	109237802	2517	109238916	-1258	1259	-1114
chr1	11669859	11675057	11673766	5198	11672458	-2599	2599	1308
chr1	161121454	161124393	161122110	2939	161122923	-1469	1470	-813
chr1	153951063	153956383	153951374	5320	153953723	-2660	2660	-2349
chr1	161155682	161161485	161158123	5803	161158583	-2901	2902	-460
chr1	26779388	26781241	26779863	1853	26780314	-926	927	-451
chr1	151530004	151534658	151532528	4654	151532331	-2327	2327	197
chr1	155279859	155286466	155285255	6607	155283162	-3303	3304	2093
chr1	179086885	179094678	179094136	7793	179090781	-3896	3897	3355
chr1	32767962	32774402	32770414	6440	32771182	-3220	3220	-768
chr1	6208240	6214118	6211894	5878	6211179	-2939	2939	715
chr1	202009453	202015827	202011158	6374	202012640	-3187	3187	-1482
chr1	204195919	204203172	204202895	7253	204199545	-3626	3627	3350
chr1	145923787	145930160	145924521	6373	145926973	-3186	3187	-2452
chr1	150625649	150629945	150629466	4296	150627797	-2148	2148	1669
chr1	44634433	44636469	44635693	2036	44635451	-1018	1018	242
chr1	54883378	54886375	54883745	2997	54884876	-1498	1499	-1131
chr1	181047393	181052180	181050064	4787	181049786	-2393	2394	278
chr1	112695108	112699703	112698081	4595	112697405	-2297	2298	676
chr1	112455454	112457889	112457215	2435	112456671	-1217	1218	544
chr1	150963764	150965163	150964252	1399	150964463	-699	700	-211
chr1	145845583	145848365	145847587	2782	145846974	-1391	1391	613
chr1	35191421	35193804	35193050	2383	35192612	-1191	1192	438
chr1	37481025	37484310	37483802	3285	37482667	-1642	1643	1135
chr1	154958882	154962939	154958907	4057	154960910	-2028	2029	-2003
chr1	159935742	159938062	159936454	2320	159936902	-1160	1160	-448
