Chr	Start	End	Name	Score	Strand	ID
chr1	920923	926923	SAMD11	0	+	ENSG00000187634
chr1	941203	947203	NOC2L	0	-	ENSG00000188976
chr1	957584	963584	KLHL17	0	+	ENSG00000187961
chr1	963482	969482	PLEKHN1	0	+	ENSG00000187583
chr1	972204	978204	PERM1	0	-	ENSG00000187642
chr1	995962	1001962	HES4	0	-	ENSG00000188290
chr1	998138	1004138	ISG15	0	+	ENSG00000187608
chr1	1017120	1023120	AGRN	0	+	ENSG00000188157
chr1	1067967	1073967	RNF223	0	-	ENSG00000237330
chr1	1078818	1084818	C1orf159	0	-	ENSG00000131591
chr1	1200508	1206508	TNFRSF18	0	-	ENSG00000186891
chr1	1208340	1214340	TNFRSF4	0	-	ENSG00000186827
chr1	1213909	1219909	SDF4	0	-	ENSG00000078808
chr1	1229237	1235237	B3GALT6	0	+	ENSG00000176022
chr1	1239446	1245446	C1QTNF12	0	-	ENSG00000184163
chr1	1250909	1256909	UBE2J2	0	-	ENSG00000160087
chr1	1277436	1283436	SCNN1D	0	+	ENSG00000162572
chr1	1289390	1295390	ACAP3	0	-	ENSG00000131584
chr1	1305597	1311597	PUSL1	0	+	ENSG00000169972
chr1	1308585	1314585	INTS11	0	-	ENSG00000127054
chr1	1321756	1327756	CPTP	0	+	ENSG00000224051
chr1	1328280	1334280	TAS1R3	0	+	ENSG00000169962
chr1	1332276	1338276	DVL1	0	-	ENSG00000107404
chr1	1349689	1355689	MXRA8	0	-	ENSG00000162576
chr1	1370730	1376730	AURKAIP1	0	-	ENSG00000175756
chr1	1382711	1388711	CCNL2	0	-	ENSG00000221978
chr1	1398909	1404909	MRPL20	0	-	ENSG00000242485
chr1	1415420	1421420	ANKRD65	0	-	ENSG00000235098
chr1	1431861	1437861	VWA1	0	+	ENSG00000179403
chr1	1446689	1452689	ATAD3C	0	+	ENSG00000215915
chr1	1468765	1474765	ATAD3B	0	+	ENSG00000160072
chr1	1509162	1515162	ATAD3A	0	+	ENSG00000197785
chr1	1538673	1544673	SSU72	0	-	ENSG00000160075
chr1	1595012	1601012	FNDC10	0	-	ENSG00000228594
chr1	1612454	1618454	MIB2	0	+	ENSG00000197530
chr1	1629163	1635163	MMP23B	0	+	ENSG00000189409
chr1	1632225	1638225	CDK11B	0	-	ENSG00000248333
chr1	1656529	1662529	SLC35E2B	0	-	ENSG00000189339
