0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	Middle	Start	End
chr1	631375	632472	0																																													631923	-548	549
chr1	633617	634933	2	285.0	304.0																																											634275	-658	658
chr1	787732	791444	0																																													789588	-1856	1856
chr1	903446	911352	0																																													907399	-3953	3953
chr1	943077	949970	0																																													946523	-3446	3447
chr1	963535	968263	2	1895.0	-657.0																																											965899	-2364	2364
chr1	1014022	1021822	1	3646.0																																												1017922	-3900	3900
chr1	1022832	1027254	0																																													1025043	-2211	2211
chr1	1027312	1034348	0																																													1030830	-3518	3518
chr1	1035505	1043004	1	-1436.0																																												1039254	-3749	3750
chr1	1054391	1061712	3	2609.0	2677.0	2675.0																																										1058051	-3660	3661
chr1	1062906	1065326	0																																													1064116	-1210	1210
chr1	1164463	1171738	0																																													1168100	-3637	3638
chr1	1215591	1216972	0																																													1216281	-690	691
chr1	1254620	1258777	2	1452.0	1356.0																																											1256698	-2078	2079
chr1	1259488	1261554	0																																													1260521	-1033	1033
chr1	1267872	1271496	0																																													1269684	-1812	1812
chr1	1309105	1316720	4	-2007.0	-976.0	-967.0	2360.0																																									1312912	-3807	3808
chr1	1342813	1347267	0																																													1345040	-2227	2227
chr1	1370140	1372391	0																																													1371265	-1125	1126
chr1	1385742	1390941	1	1033.0																																												1388341	-2599	2600
chr1	1405968	1413830	0																																													1409899	-3931	3931
chr1	1423306	1428604	0																																													1425955	-2649	2649
chr1	1440759	1444791	0																																													1442775	-2016	2016
chr1	1525395	1529896	0																																													1527645	-2250	2251
chr1	1538009	1541656	0																																													1539832	-1823	1824
chr1	1551550	1555670	0																																													1553610	-2060	2060
chr1	1559446	1562036	0																																													1560741	-1295	1295
chr1	1602709	1606905	0																																													1604807	-2098	2098
chr1	1614359	1617352	0																																													1615855	-1496	1497
chr1	1638370	1642737	1	2021.0																																												1640553	-2183	2184
chr1	1662946	1666372	0																																													1664659	-1713	1713
chr1	1682621	1686359	0																																													1684490	-1869	1869
chr1	1713207	1715720	0																																													1714463	-1256	1257
chr1	1717494	1720839	0																																													1719166	-1672	1673
chr1	1725491	1728192	0																																													1726841	-1350	1351
chr1	1752175	1756443	0																																													1754309	-2134	2134
chr1	1777912	1780271	0																																													1779091	-1179	1180
chr1	1780322	1786118	0																																													1783220	-2898	2898
chr1	1871018	1872873	0																																													1871945	-927	928
chr1	1876432	1879312	0																																													1877872	-1440	1440
chr1	1880637	1881981	0																																													1881309	-672	672
chr1	2084283	2089702	0																																													2086992	-2709	2710
chr1	2104490	2109487	0																																													2106988	-2498	2499
chr1	2110935	2114453	0																																													2112694	-1759	1759
chr1	2144049	2148658	0																																													2146353	-2304	2305
chr1	2153874	2156409	0																																													2155141	-1267	1268
chr1	2186892	2191124	1	2005.0																																												2189008	-2116	2116
