	Chr	Start	End	Name	Score	Strand
ENSG00000002586	chrX	2691187	2741309	CD99	0	+
ENSG00000002586	chrY	2691187	2741309	CD99	0	+
ENSG00000004939	chr17	44248390	44268141	SLC4A1	0	-
ENSG00000006116	chr16	24256335	24362412	CACNG3	0	+
ENSG00000006659	chr19	39704481	39709444	LGALS14	0	+
ENSG00000008197	chr6	50713526	50773033	TFAP2D	0	+
ENSG00000008438	chr19	46019153	46023053	PGLYRP1	0	-
ENSG00000010379	chr12	220621	262873	SLC6A13	0	-
ENSG00000012504	chr12	100473708	100564414	NR1H4	0	+
ENSG00000016490	chr1	86468368	86500259	CLCA1	0	+
ENSG00000021461	chr7	99828013	99866093	CYP3A43	0	+
ENSG00000030304	chr9	110668779	110806558	MUSK	0	+
ENSG00000036473	chrX	38352586	38421446	OTC	0	+
ENSG00000036828	chr3	122183668	122291629	CASR	0	+
ENSG00000039987	chr19	12751702	12758458	BEST2	0	+
ENSG00000042813	chr7	49850421	50121329	ZPBP	0	-
ENSG00000044012	chr1	42153410	42155820	GUCA2B	0	+
ENSG00000048545	chr6	42155406	42181338	GUCA1A	0	+
ENSG00000054796	chr20	57329803	57343994	SPO11	0	+
ENSG00000061492	chr5	138083990	138092365	WNT8A	0	+
ENSG00000063515	chr22	19146993	19150292	GSC2	0	-
ENSG00000064835	chr3	87259404	87276584	POU1F1	0	-
ENSG00000066813	chr16	20536226	20576427	ACSM2B	0	-
ENSG00000069018	chr5	136212745	136365545	TRPC7	0	-
ENSG00000069206	chr8	24440930	24526970	ADAM7	0	+
ENSG00000070748	chr10	49609095	49667942	CHAT	0	+
ENSG00000071203	chr11	60492778	60507430	MS4A12	0	+
ENSG00000071677	chr2	237566574	237567175	PRLH	0	+
ENSG00000072080	chr2	234050679	234077134	SPP2	0	+
ENSG00000072315	chrX	111768011	112082776	TRPC5	0	-
ENSG00000073754	chr1	157830911	157898256	CD5L	0	-
ENSG00000074317	chr5	176620082	176630556	SNCB	0	-
ENSG00000074771	chr6	155395368	155455839	NOX3	0	-
ENSG00000075429	chr17	66835117	66894751	CACNG5	0	+
ENSG00000077498	chr11	89177875	89295759	TYR	0	+
ENSG00000078579	chr8	16992181	17002345	FGF20	0	-
ENSG00000079557	chr4	73481745	73504001	AFM	0	+
ENSG00000080511	chr19	10013249	10022279	RDH8	0	+
ENSG00000080572	chrX	107206611	107244247	DNAAF6	0	+
ENSG00000080910	chr1	196943738	196959622	CFHR2	0	+
ENSG00000081800	chr7	123113531	123199972	SLC13A1	0	-
ENSG00000086506	chr16	180459	181179	HBQ1	0	+
ENSG00000088782	chr20	157454	159163	DEFB127	0	+
ENSG00000088926	chr4	186266189	186289681	F11	0	+
ENSG00000089116	chr12	113462033	113472280	LHX5	0	-
ENSG00000090402	chr3	164978898	165078496	SI	0	-
ENSG00000090512	chr3	186635969	186653141	FETUB	0	+
ENSG00000091664	chr11	22338381	22379503	SLC17A6	0	+
ENSG00000092067	chr14	23117306	23119255	CEBPE	0	-
ENSG00000094661	chr19	15082211	15092970	OR1I1	0	+
ENSG00000095110	chr11	114521645	114559895	NXPE1	0	-
ENSG00000095981	chr6	39314698	39322968	KCNK16	0	-
ENSG00000096264	chr6	41335608	41350889	NCR2	0	+
ENSG00000096395	chr6	33794673	33804003	MLN	0	-
ENSG00000099617	chr19	1285873	1301431	EFNA2	0	+
ENSG00000099721	chrY	6865918	6911752	AMELY	0	-
ENSG00000100012	chr22	30447959	30472017	SEC14L3	0	-
ENSG00000100249	chr22	29058672	29061831	C22orf31	0	-
ENSG00000100341	chr22	43879678	43892013	PNPLA5	0	-
ENSG00000100557	chr14	57469300	57493867	CCDC198	0	-
ENSG00000100565	chr14	76826372	76870304	LRRC74A	0	+
ENSG00000100593	chr14	77474394	77498816	ISM2	0	-
ENSG00000100652	chr14	69775416	69797241	SLC10A1	0	-
ENSG00000100884	chr14	24070837	24078100	CPNE6	0	+
ENSG00000101074	chr20	44337043	44351238	R3HDML	0	+
ENSG00000101076	chr20	44355700	44432845	HNF4A	0	+
ENSG00000101200	chr20	3082556	3084724	AVP	0	-
ENSG00000101203	chr20	63293186	63334851	COL20A1	0	+
ENSG00000101292	chr20	5299218	5316954	PROKR2	0	-
ENSG00000101327	chr20	1978757	1994285	PDYN	0	-
ENSG00000101405	chr20	3071620	3072517	OXT	0	+
ENSG00000101438	chr20	38724486	38729372	SLC32A1	0	+
ENSG00000101440	chr20	34194569	34269344	ASIP	0	+
ENSG00000101446	chr20	45512461	45515622	SPINT3	0	-
ENSG00000101812	chrX	104039956	104042454	H2BW2	0	+
ENSG00000101890	chrX	109372906	109482086	GUCY2F	0	-
ENSG00000101892	chrX	120362085	120383249	ATP1B4	0	+
ENSG00000101951	chrX	49829260	49834264	PAGE4	0	+
ENSG00000101981	chrX	139530739	139563459	F9	0	+
ENSG00000102021	chrX	115289715	115307563	LUZP4	0	+
ENSG00000102055	chrX	42777366	42778163	PPP1R2C	0	-
ENSG00000102076	chrX	154144243	154159032	OPN1LW	0	+
ENSG00000102104	chrX	18639688	18672108	RS1	0	-
ENSG00000102195	chrX	151176584	151181465	GPR50	0	+
ENSG00000102239	chrX	136487947	136493780	BRS3	0	+
ENSG00000102539	chr13	49220338	49222377	MLNR	0	+
ENSG00000102794	chr13	76948511	76958638	ACOD1	0	+
ENSG00000102891	chr16	56565073	56568957	MT4	0	+
ENSG00000103375	chr16	25215731	25228932	AQP8	0	+
ENSG00000104499	chr8	142834247	142916506	GML	0	+
ENSG00000104804	chr19	48880967	48898744	TULP2	0	-
ENSG00000104818	chr19	49031890	49033238	CGB2	0	+
ENSG00000104826	chr19	49015980	49017091	LHB	0	-
ENSG00000104827	chr19	49022869	49024333	CGB3	0	-
ENSG00000104938	chr19	7763210	7769605	CLEC4M	0	+
ENSG00000104941	chr19	45795713	45815308	RSPH6A	0	-
ENSG00000105198	chr19	39602524	39607474	LGALS13	0	+
ENSG00000105205	chr19	39731255	39738029	CLC	0	-
ENSG00000105251	chr19	4279266	4290722	SHD	0	+
ENSG00000105261	chr19	36111143	36113711	OVOL3	0	+
ENSG00000105370	chr19	51379909	51387974	LIM2	0	-
ENSG00000105392	chr19	47819779	47843330	CRX	0	+
ENSG00000105398	chr19	47870467	47886315	SULT2A1	0	-
ENSG00000105428	chr19	5455417	5456856	ZNRF4	0	+
ENSG00000105507	chr19	48029383	48044079	CABP5	0	-
ENSG00000105550	chr19	48755524	48758333	FGF21	0	+
ENSG00000105605	chr19	53909278	53943950	CACNG7	0	+
ENSG00000105675	chr19	35550031	35563658	ATP4A	0	-
ENSG00000105954	chr7	25224570	25228486	NPVF	0	-
ENSG00000106128	chr7	30938669	30993254	GHRHR	0	+
ENSG00000106302	chr7	123828983	123877481	HYAL4	0	+
ENSG00000106304	chr7	123925237	123971414	SPAM1	0	+
ENSG00000106331	chr7	127610292	127618142	PAX4	0	-
ENSG00000106341	chr7	31687215	31708455	PPP1R17	0	+
ENSG00000106384	chr7	101195007	101201038	MOGAT3	0	-
ENSG00000106410	chr7	144397240	144410227	NOBOX	0	-
ENSG00000106436	chr7	101613330	101629296	MYL10	0	-
ENSG00000106648	chr7	151956379	152019929	GALNTL5	0	+
ENSG00000107187	chr9	136196250	136205128	LHX3	0	-
ENSG00000107447	chr10	96304409	96338564	DNTT	0	+
ENSG00000107831	chr10	101770109	101780371	FGF8	0	-
